,x
1,Aglantha_digitale
2,Ameritella_agilis
3,Amphicteis_gunneri
4,Amphitrite_cirrata
5,Aphrodita_hastata
6,Asterias_rubens
7,Aurelia_aurita
8,Balanus_crenatus
9,Balanus_rostratus
10,Boltenia_ovifera
11,Brada_villosa_CMC01
12,Calanus_finmarchicus
13,Calanus_hyperboreus
14,Catablema_vesicarium
15,Centropages_hamatus
16,Cerebratulus_sp.
17,Cetorhinus_maximus
18,Chionoecetes_opilio
19,Chlamys_islandica
20,Clione_limacina
21,Clymenella_zonalis
22,Clytia_hemisphaerica
23,Crossaster_papposus
24,Ctenodiscus_crispatus
25,Cucumaria_frondosa
26,Cyanea_capillata
27,Dendrobeania_murrayana
28,Dorvillea_kastjani
29,Echinarachnius_parma
30,Ennucula_tenuis
31,Euclymene_zonalis
32,Eudendrium_rameum
33,Evadne_nordmanni
34,Florometra_serratissima
35,Glycera_capitata
36,Goniada_maculata
37,Halichondria_panicea
38,Halopsis_ocellata
39,Hyas_coarctatus
40,Laetmonice_filicornis
41,Lafoea_dumosa
42,Lanassa_venusta
43,Laonice_cirrata
44,Leptasterias_polaris
45,Lizzia_blondina
46,Lysippe_labiata
47,Maldane_sarsi_CMC02
48,Meganyctiphanes_norvegica
49,Melicertum_octocostatum
50,Melinna_heterodonta
51,Membranipora_membranacea
52,Metridia_lucens
53,Micrura_varicolor
54,Mya_arenaria
55,Mytilus_edulis
56,Mytilus_galloprovincialis
57,Mytilus_trossulus
58,Nanomia_cara
59,Neoamphitrite_affinis
60,Nicomache_lumbricalis
61,Nothria_conchylega_CMC02
62,Nuculana_pernula
63,Obelia_geniculata
64,Obelia_longissima
65,Oithona_similis
66,Onchidoris_bilamellata
67,Ophelina_acuminata_CMC01
68,Ophelina_acuminata_CMC02
69,Ophiacantha_bidentata
70,Ophiopholis_aculeata
71,Ophiura_robusta
72,Ophiura_sarsii
73,Orthopyxis_integra
74,Pennatula_phosphorea
75,Phacellophora_camtschatica
76,Phyllodoce_groenlandica
77,Pista_maculata
78,Podon_intermedius
79,Polycirrus_sp.
80,Priapulus_caudatus
81,Proclea_malmgreni
82,Pseudocalanus_newmani
83,Pseudocardium_sachalinense
84,Psolus_phantapus
85,Pteraster_militaris
86,Sabellides_octocirrata
87,Scaphander_punctostriatus
88,Scoloplos_acutus
89,Scomber_scombrus
90,Spisula_solidissima
91,Staurostoma_mertensii
92,Sternaspis_scutata
93,Strongylocentrotus_pallidus
94,Terebellides_stroemii_CMC01
95,Terebellides_stroemii_CMC02
96,Terebellides_stroemii_CMC04
97,Thelepus_cincinnatus
98,Tortanus_discaudatus
99,Yoldiella_frigida
