	Sample-1	Sample-10	Sample-11	Sample-12	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-2	Sample-20	Sample-21	Sample-22	Sample-24	Sample-25	Sample-26	Sample-27	Sample-28	Sample-29	Sample-3	Sample-30	Sample-31	Sample-33	Sample-34	Sample-35	Sample-36	Sample-37	Sample-38	Sample-39	Sample-4	Sample-40	Sample-41	Sample-42	Sample-43	Sample-44	Sample-45	Sample-46	Sample-47	Sample-48	Sample-49	Sample-5	Sample-50	Sample-51	Sample-52	Sample-53	Sample-54	Sample-55	Sample-56	Sample-57	Sample-58	Sample-59	Sample-6	Sample-61	Sample-62	Sample-63	Sample-64	Sample-65	Sample-66	Sample-67	Sample-68	Sample-69	Sample-7	Sample-70	Sample-71	Sample-72	Sample-73	Sample-74	Sample-76	Sample-77	Sample-78	Sample-79	Sample-8	Sample-80	Sample-81	Sample-82	Sample-83	Sample-84	Sample-85	Sample-86	Sample-87	Sample-88	Sample-89	Sample-9	Sample-90	Sample-91	Sample-92	Sample-93	Sample-94	Sample-95	Sample-96	Sample-97	Sample-98	Sample-99
Sample-1	0	1	0.77	1	1	1	1	1	1	1	1	1	1	1	1	1	0.903333333333333	1	0.998666666666667	1	0.761333333333333	0.97	1	0.836666666666667	1	1	1	1	1	0.994	1	1	1	1	1	1	1	1	1	1	1	1	1	0.982666666666667	1	0.998	1	0.77	1	0.77	1	0.999333333333333	1	1	1	1	1	1	1	1	1	1	0.77	1	1	1	1	1	0.925333333333333	1	0.908	1	1	0.948666666666667	1	0.983333333333333	1	0.77	1	0.769333333333333	1	1	1	0.77	0.915333333333333	1	1	1	0.98	1	1	1	1	1
Sample-10	1	0	1	0.976666666666667	1	0.999333333333333	1	0.983333333333333	1	1	0.946666666666667	1	1	1	1	0.994666666666667	1	0.808	1	0.310666666666667	1	1	0.76	1	0.958666666666667	1	0.996666666666667	1	0.545333333333333	1	0.868	0.638	0.997333333333333	0.792	0.998666666666667	0.999333333333333	1	0.734	1	0.988666666666667	1	1	0.845333333333333	1	1	1	1	1	1	1	0.999333333333333	1	0.718666666666667	1	1	1	0.994	1	1	1	0.718666666666667	0.999333333333333	1	1	1	1	1	1	1	1	1	1	0.998	1	1	1	1	1	1	1	1	1	1	1	1	0.998666666666667	1	0.998666666666667	1	1	0.989333333333333	0.983333333333333	1	1
Sample-11	0.77	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.906	1	1	1	0.554666666666667	0.97	1	0.836666666666667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999333333333333	1	0.998666666666667	1	0.998	1	0.582	1	0.698	1	0.999333333333333	1	1	1	1	1	1	1	0.999333333333333	1	1	0.746666666666667	1	1	1	1	1	0.925333333333333	1	0.985333333333333	1	1	0.948666666666667	1	0.983333333333333	1	0.554666666666667	1	0.686	1	1	1	0.617333333333333	0.915333333333333	1	1	1	1	1	1	1	1	1
Sample-12	1	0.976666666666667	1	0	0.999333333333333	0.988666666666667	1	1	0.811333333333333	1	0.507333333333333	0.930666666666667	1	0.986	0.962	1	1	0.976666666666667	1	0.962666666666667	1	1	0.961333333333333	1	0.964	1	0.996666666666667	1	0.976666666666667	0.978	0.691333333333333	0.976666666666667	1	0.976666666666667	1	0.996666666666667	0.982	0.846666666666667	0.998666666666667	0.980666666666667	0.998666666666667	1	0.976666666666667	1	1	1	1	1	1	1	0.993333333333333	1	0.976666666666667	1	0.811333333333333	1	0.996666666666667	1	1	1	0.967333333333333	0.998	1	0.995333333333333	0.994	0.951333333333333	0.994	0.981333333333333	1	0.987333333333333	1	1	0.997333333333333	1	1	0.998666666666667	1	1	1	1	0.811333333333333	1	1	1	1	0.811333333333333	1	0.996	0.811333333333333	0.865333333333333	0.961333333333333	0.976666666666667	0.970666666666667	1
Sample-14	1	1	1	0.999333333333333	0	0.999333333333333	1	1	0.999333333333333	1	1	0.999333333333333	1	0.999333333333333	0.999333333333333	1	1	1	1	0.999333333333333	1	1	0.999333333333333	1	0.999333333333333	1	1	1	1	0.999333333333333	0.999333333333333	1	1	1	1	0.999333333333333	0.999333333333333	0.999333333333333	0.999333333333333	0.999333333333333	0.999333333333333	1	1	1	1	1	1	1	1	1	0.999333333333333	1	1	1	0.999333333333333	1	0.999333333333333	1	1	1	0.999333333333333	0.999333333333333	1	0.999333333333333	0.999333333333333	0.999333333333333	0.999333333333333	0.999333333333333	1	0.999333333333333	1	1	1	1	1	0.999333333333333	1	1	1	1	0.999333333333333	1	1	1	1	0.999333333333333	1	0.999333333333333	0.999333333333333	0.999333333333333	0.999333333333333	0.999333333333333	0.999333333333333	1
Sample-15	1	0.999333333333333	1	0.988666666666667	0.999333333333333	0	1	1	0.989333333333333	1	0.999333333333333	0.989333333333333	1	0.989333333333333	0.989333333333333	1	1	0.999333333333333	1	0.989333333333333	1	1	0.998666666666667	1	0.988666666666667	1	0.999333333333333	1	0.999333333333333	0.989333333333333	0.988666666666667	0.999333333333333	1	0.999333333333333	1	0.997333333333333	0.989333333333333	0.994666666666667	0.998666666666667	0.991333333333333	0.998666666666667	1	0.999333333333333	1	1	1	1	1	1	1	0.999333333333333	1	0.999333333333333	1	0.989333333333333	1	0.996666666666667	1	1	1	0.99	0.998	1	0.995333333333333	0.994	0.989333333333333	0.994	0.989333333333333	1	0.989333333333333	1	1	0.999333333333333	1	1	0.998666666666667	1	1	1	1	0.989333333333333	1	1	1	1	0.989333333333333	1	0.996	0.989333333333333	0.989333333333333	0.989333333333333	0.989333333333333	0.989333333333333	1
Sample-16	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.996	1	1	1	1	1	1	1	0.999333333333333	1	1	1	1	1	1	0.999333333333333	1	1	1	1	1	1	1	1	1	1	1	0.999333333333333	1	1	0.999333333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sample-17	1	0.983333333333333	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0.962	1	0.998	1	1	1	1	1	1	1	1	0.999333333333333	1	0.988	1	0.996666666666667	0.962	0.998666666666667	1	1	1	1	0.999333333333333	1	1	1	1	1	1	1	1	1	1	1	1	0.996	1	0.994666666666667	1	1	1	1	1	1	0.508	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998	1	1	1	1	1	1	1	1	0.997333333333333	1	0.977333333333333	1	0.999333333333333	0.986666666666667	0.964	1	1
Sample-18	1	1	1	0.811333333333333	0.999333333333333	0.989333333333333	1	1	0	1	1	0.93	1	0.986	0.962	1	1	1	1	0.962666666666667	1	1	0.999333333333333	1	0.972	1	1	1	1	0.978	0.282	1	1	1	1	0.987333333333333	0.982	0.995333333333333	0.998666666666667	0.992	0.998666666666667	1	1	1	1	1	1	1	1	1	0.999333333333333	1	1	1	0.256666666666667	1	0.996666666666667	1	1	0.984666666666667	0.990666666666667	0.998	1	0.983333333333333	0.978666666666667	0.951333333333333	0.994	0.981333333333333	1	0.987333333333333	1	1	1	1	1	0.998666666666667	1	1	1	1	0.116	1	1	1	1	0.249333333333333	1	0.987333333333333	0.0566666666666667	0.865333333333333	0.961333333333333	0.976666666666667	0.970666666666667	1
Sample-19	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.94	1	1	1	1	1	1	1	0.996666666666667	1	1	1	1	1	0.999333333333333	1	1	1	0.98	1	1	1	1	1	1	1	1	1	0.976	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
