sample-id	concentration	depth	location	station
#q2:types	numeric	numeric	categorical	categorical
485525	621	111	EasternShore	ESI-8
485526	1650	111	EasternShore	ESI-8
485532	383	112	EasternShore	ESI-8
485533	1995	112	EasternShore	ESI-8
485539	741	111	EasternShore	ESI-8
485540	1213	111	EasternShore	ESI-8
485543	707	70.8	EasternShore	ESI-7
485544	1049	70.8	EasternShore	ESI-7
485545	807	73.2	EasternShore	ESI-7
485546	1893	73.2	EasternShore	ESI-7
485547	523	72.4	EasternShore	ESI-7
485548	2082	72.4	EasternShore	ESI-7
485563	1792	36.5	EasternShore	ESI-6
485564	1882	36.5	EasternShore	ESI-6
485568	334	39.6	EasternShore	ESI-6
485569	2161	39.6	EasternShore	ESI-6
485573	822	33.6	EasternShore	ESI-6
485574	1821	33.6	EasternShore	ESI-6
485589	1135	17.5	EasternShore	ESI_05
485590	1644	17.5	EasternShore	ESI_05
485594	1928	18.2	EasternShore	ESI_05
485595	1063	18.2	EasternShore	ESI_05
485599	3961	18	EasternShore	ESI_05
485600	1714	18	EasternShore	ESI_05
485603	500	116	EasternShore	ESI_16
485604	317	116	EasternShore	ESI_16
485605	572	116	EasternShore	ESI_16
485606	1722	116	EasternShore	ESI_16
485607	325	116	EasternShore	ESI_16
485608	1922	116	EasternShore	ESI_16
485610	454	69.9	EasternShore	ESI_15
485611	1456	69.9	EasternShore	ESI_15
485612	902	68.9	EasternShore	ESI_15
485613	1716	68.9	EasternShore	ESI_15
485614	781	68	EasternShore	ESI_15
485615	1705	68	EasternShore	ESI_15
485617	1867	26.3	EasternShore	ESI_14
485618	2984	26.3	EasternShore	ESI_14
485619	1277	41.1	EasternShore	ESI_14
485620	1609	41.1	EasternShore	ESI_14
485621	1251	25.7	EasternShore	ESI_14
485622	2455	25.7	EasternShore	ESI_14
485624	721	32.1	EasternShore	ESI_13
485625	793	32.1	EasternShore	ESI_13
485626	1254	30.9	EasternShore	ESI_13
485627	1745	30.9	EasternShore	ESI_13
485628	454	31.9	EasternShore	ESI_13
485629	1375	31.9	EasternShore	ESI_13
485631	781	108	EasternShore	ESI_12
485632	3257	108	EasternShore	ESI_12
485633	905	98.1	EasternShore	ESI_12
485634	3719	98.1	EasternShore	ESI_12
485635	845	102	EasternShore	ESI_12
485636	4361	102	EasternShore	ESI_12
485638	758	77.4	EasternShore	ESI_11
485639	5165	77.4	EasternShore	ESI_11
485640	741	70.5	EasternShore	ESI_11
485641	4376	70.5	EasternShore	ESI_11
485642	509	76.8	EasternShore	ESI_11
485643	3666	76.8	EasternShore	ESI_11
485645	1098	42.2	EasternShore	ESI_10
485646	2665	42.2	EasternShore	ESI_10
485647	1133	41.9	EasternShore	ESI_10
485648	2817	41.9	EasternShore	ESI_10
485649	1375	41.5	EasternShore	ESI_10
485650	3687	41.5	EasternShore	ESI_10
485652	1176	17.5	EasternShore	ESI_09
485653	3852	17.5	EasternShore	ESI_09
485654	1358	17.1	EasternShore	ESI_09
485655	4887	17.1	EasternShore	ESI_09
485656	1699	17.3	EasternShore	ESI_09
485657	4691	17.3	EasternShore	ESI_09
485659	615	100	EasternShore	ESI_04
485660	911	100	EasternShore	ESI_04
485661	454	103	EasternShore	ESI_04
485662	1517	103	EasternShore	ESI_04
485663	598	103	EasternShore	ESI_04
485664	756	103	EasternShore	ESI_04
485666	388	69.5	EasternShore	ESI_03
485667	1896	69.5	EasternShore	ESI_03
485668	1006	72.2	EasternShore	ESI_03
485669	1801	72.2	EasternShore	ESI_03
485670	331	68.2	EasternShore	ESI_03
485671	2353	68.2	EasternShore	ESI_03
485673	919	52.6	EasternShore	ESI_02
485674	2762	52.6	EasternShore	ESI_02
485675	948	52	EasternShore	ESI_02
485676	2548	52	EasternShore	ESI_02
485677	603	51.8	EasternShore	ESI_02
485678	4198	51.8	EasternShore	ESI_02
485680	1285	20.5	EasternShore	ESI_01
485681	2504	20.5	EasternShore	ESI_01
485682	635	21.3	EasternShore	ESI_01
485683	2820	21.3	EasternShore	ESI_01
485684	1511	19.8	EasternShore	ESI_01
485685	2750	19.8	EasternShore	ESI_01
485609	22		EasternShore	ESI_15
485658	0		EasternShore	ESI_09
485686	0		EasternShore	ESI_01
485549	0		EasternShore	ESI-7
DFOGUL21_41102	51	182	BrownsBank	BBL_05
DFOGUL21_41103	91	1091	BrownsBank	BBL_06
DFOGUL21_41104	265	1887	BrownsBank	BBL_07
DFOGUL21_41105	0	2933	Gully	LL_08
DFOGUL21_41106	1138	57	Gully	LL_06
DFOGUL21_41107	279	138	Gully	LL_03
