ASV	Sample-1	Sample-10	Sample-100	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-2	Sample-20	Sample-21	Sample-22	Sample-23	Sample-24	Sample-25	Sample-26	Sample-27	Sample-28	Sample-29	Sample-3	Sample-30	Sample-31	Sample-32	Sample-33	Sample-34	Sample-35	Sample-36	Sample-37	Sample-38	Sample-39	Sample-4	Sample-40	Sample-41	Sample-42	Sample-43	Sample-44	Sample-45	Sample-46	Sample-47	Sample-48	Sample-49	Sample-5	Sample-50	Sample-51	Sample-52	Sample-53	Sample-54	Sample-55	Sample-56	Sample-57	Sample-58	Sample-59	Sample-6	Sample-60	Sample-61	Sample-62	Sample-63	Sample-64	Sample-65	Sample-66	Sample-67	Sample-68	Sample-69	Sample-7	Sample-70	Sample-71	Sample-72	Sample-73	Sample-74	Sample-75	Sample-76	Sample-77	Sample-78	Sample-79	Sample-8	Sample-80	Sample-81	Sample-82	Sample-83	Sample-84	Sample-85	Sample-86	Sample-87	Sample-88	Sample-89	Sample-9	Sample-90	Sample-91	Sample-92	Sample-93	Sample-94	Sample-95	Sample-96	Sample-97	Sample-98	Sample-99
494b33aaf1628981f4d53d9180126471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	743	0	0	0	0	304	0	0	891237	0	17571	0	225404	0	0	0	12997	10794	0	245945	0	0	0	0	0	0	0	0	465431	0	1659977	0	33	0	983	0	926185	0	0	788510	0	4859	0	0	0	35748	0	0	3557	10	0	0	0	0	0	0	0	1097	0	0	0	0	71416	0	5666	0	0	0	570765	0	0	564	0	79062	0	0	0	0	0	0	0
7238cf31ef869780a9b52993e59c04cd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1129361	0	0	0	0	0	0	0	0	0	0	0	0	1209617	0	0	0	0	258493	0	164284	0	768487	0	595624	0	0	0	19	0	0	590575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348218	0	0	0	0	0	0	0	0	0	0	0
ad628c4d99e3d276aeb60f2e255b4f5d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365360	0	0	0	0	0	0	0	0	0	20	412641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242187	0	0	0	0	0	0	0	996239	0	0	0	0	0	0	0	0	0	0	0	0	426112	0	0	0	0	0	0	0	0	0	0	0	0	818115	0	762903
9d2f50b5fca4d8c402056a44810c6604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335499	791500	0	0	0	0	0	0	0	730504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2172b628aa6b8402be583812b283108f	0	0	0	0	0	0	0	0	0	0	0	0	0	722349	0	1072992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1190137	0	0	0	0	0	0	0
d649f5a9d24dc7657e2e7e2af16b890a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	151	0	0	415125	0	8136	0	106406	0	0	0	5972	4919	0	115443	0	0	0	0	0	0	0	0	219493	0	779607	0	0	0	441	0	434041	0	0	364867	0	2386	0	0	0	16593	0	0	1706	0	0	0	0	0	0	0	0	542	0	0	6	0	33373	0	2682	0	0	0	268025	0	0	234	0	37393	0	0	0	0	0	0	0
29d863072640a6aa9beb0c6279f37692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	513819	0	0	0	0	0	0	0	0	0	0	0	0	557730	0	0	0	0	119604	0	76277	0	356507	0	272755	0	0	0	0	0	0	272913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165274	0	0	0	0	0	0	0	0	0	0	0
70912d95d1c79ac2ffac244633286a6e	14711	1711	0	48593	2037	0	44552	1123	27172	2558	42744	2118	2179	18723	3424	21170	1781	21709	3226	19889	6200	45979	1567	23782	28464	3806	0	42780	5603	62000	1641	74810	1704	26352	2778	2506	33923	4061	34278	2167	31337	7046	35342	5199	34889	20810	4829	37386	1767	32914	1142	65954	4208	85833	1617	88317	1381	2584	82096	3118	54767	845	32473	2006	46243	1978	34566	79536	20664	16170	13925	39766	15692	0	72638	2527	45428	7951	2357	39570	3138	74564	5617	42070	5879	50667	7341	66756	3481	51987	54748	6535	100139	5079	27392	13952	65692	11121	36348	9275
ddfd45de204a552e1d8951f0c30e3571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	2	0	112	0	0	357346	0	6822	0	85575	0	0	0	5030	4207	0	95761	0	0	0	0	0	0	0	0	183315	0	652937	0	0	0	443	0	372648	0	0	310967	0	1871	0	0	0	14175	0	0	1428	0	0	0	0	0	0	0	0	455	0	0	0	0	28072	0	2170	0	0	0	227305	0	0	226	0	30835	0	0	0	0	0	6	0
9fe83fe101e39b52b82b53a8bfbc2282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446105	0	0	0	0	0	0	0	0	0	0	0	0	482281	0	0	0	0	101963	0	65158	0	303324	0	238576	0	0	0	0	0	0	236799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143316	0	0	0	0	0	0	0	0	0	0	0
