	observed_features
Sample-1	27
Sample-10	7
Sample-11	25
Sample-12	14
Sample-14	19
Sample-15	12
Sample-16	13
Sample-17	46
Sample-18	10
Sample-19	10
Sample-2	11
Sample-20	67
Sample-21	82
Sample-22	85
Sample-24	55
Sample-25	6
Sample-26	39
Sample-27	9
Sample-28	40
Sample-29	8
Sample-3	12
Sample-30	58
Sample-31	53
Sample-33	82
Sample-34	13
Sample-35	13
Sample-36	68
Sample-37	87
Sample-38	18
Sample-39	7
Sample-4	8
Sample-40	18
Sample-41	52
Sample-42	9
Sample-43	39
Sample-44	57
Sample-45	46
Sample-46	7
Sample-47	76
Sample-48	67
Sample-49	19
Sample-5	20
Sample-50	13
Sample-51	90
Sample-52	73
Sample-53	102
Sample-54	34
Sample-55	17
Sample-56	63
Sample-57	12
Sample-58	54
Sample-59	83
Sample-6	6
Sample-61	77
Sample-62	7
Sample-63	53
Sample-64	67
Sample-65	42
Sample-66	31
Sample-67	51
Sample-68	6
Sample-69	68
Sample-7	12
Sample-70	69
Sample-71	81
Sample-72	94
Sample-73	76
Sample-74	69
Sample-76	21
Sample-77	22
Sample-78	14
Sample-79	13
Sample-8	13
Sample-80	51
Sample-81	19
Sample-82	28
Sample-83	15
Sample-84	24
Sample-85	58
Sample-86	29
Sample-87	12
Sample-88	60
Sample-89	21
Sample-9	28
Sample-90	39
Sample-91	11
Sample-92	63
Sample-93	30
Sample-94	7
Sample-95	33
Sample-96	8
Sample-97	52
Sample-98	56
Sample-99	82
