sample-id,watersample,concentration,depth,surface,location,station,temperature,ph,salinity,12S_Shannon,12S_Simpson,16S_Shannon,16S_Simpson
Sample-1,485525,621,111,Bottom,EasternShore,ESI_08,,,,1.097718977,0.639259675,0,0
Sample-10,485546,1893,73.2,Surface,EasternShore,ESI_07,,,,,,,
Sample-11,485547,523,72.4,Bottom,EasternShore,ESI_07,,,,0.600920574,0.386564571,0.240118483,0.121295145
Sample-12,485548,2082,72.4,Surface,EasternShore,ESI_07,,,,,,,
Sample-13,485549,0,,BLANK,EasternShore,ESI_07,,,,,,,
Sample-14,485563,1792,36.5,Bottom,EasternShore,ESI_06,,,,,,,
Sample-15,485564,1882,36.5,Surface,EasternShore,ESI_06,,,,,,,
Sample-16,485568,334,39.6,Bottom,EasternShore,ESI_06,,,,,,,
Sample-17,485569,2161,39.6,Bottom,EasternShore,ESI_06,,,,0.778852654,0.467612552,0.833387111,0.284579643
Sample-18,485573,822,33.6,Bottom,EasternShore,ESI_06,,,,0.274607323,0.144344858,0,0
Sample-19,485574,1821,33.6,Surface,EasternShore,ESI_06,,,,,,,
Sample-2,485526,1650,111,Surface,EasternShore,ESI_08,,,,,,,
Sample-20,485589,1135,17.5,Bottom,EasternShore,ESI_05,,,,1.808303374,0.799644629,1.401235797,0.558800221
Sample-21,485590,1644,17.5,Surface,EasternShore,ESI_05,,,,1.913361668,0.811961805,1.554507748,0.606127503
Sample-22,485594,1928,18.2,Bottom,EasternShore,ESI_05,,,,1.966300734,0.82218618,1.892753705,0.689820367
Sample-23,485595,1063,18.2,Surface,EasternShore,ESI_05,,,,0,0,0,0
Sample-24,485599,3961,18,Bottom,EasternShore,ESI_05,,,,0.445788759,0.273516949,0,0
Sample-25,485600,1714,18,Surface,EasternShore,ESI_05,,,,,,,
Sample-26,485603,500,116,Bottom,EasternShore,ESI_16,,,,0.792509718,0.453983865,0.517592127,0.147229359
Sample-27,485604,317,116,Surface,EasternShore,ESI_16,,,,,,,
Sample-28,485605,572,116,Bottom,EasternShore,ESI_16,,,,0,0,,
Sample-29,485606,1722,116,Surface,EasternShore,ESI_16,,,,,,,
Sample-3,485532,383,112,Bottom,EasternShore,ESI_08,,,,,,,
Sample-30,485607,325,116,Bottom,EasternShore,ESI_16,,,,0.64832702,0.418563445,1.312473495,0.557666291
Sample-31,485608,1922,116,Surface,EasternShore,ESI_16,,,,0.874993895,0.471987298,0.823102492,0.231131518
Sample-32,485609,22,,BLANK,EasternShore,ESI_15,,,,0.579915171,0.391111111,,
Sample-33,485610,454,69.9,Bottom,EasternShore,ESI_15,,,,,,,
Sample-34,485611,1456,69.9,Surface,EasternShore,ESI_15,,,,,,,
Sample-35,485612,902,68.9,Bottom,EasternShore,ESI_15,,,,,,,
Sample-36,485613,1716,68.9,Surface,EasternShore,ESI_15,,,,1.289390884,0.643555381,1.328519311,0.508150614
Sample-37,485614,781,68,Bottom,EasternShore,ESI_15,,,,1.353696242,0.705186405,1.027814005,0.289634703
Sample-38,485615,1705,68,Surface,EasternShore,ESI_15,,,,,,,
Sample-39,485617,1867,26.3,Bottom,EasternShore,ESI_14,,,,,,,
Sample-4,485533,1995,112,Surface,EasternShore,ESI_08,,,,,,,
Sample-40,485618,2984,26.3,Surface,EasternShore,ESI_14,,,,,,,
Sample-41,485619,1277,41.1,Bottom,EasternShore,ESI_14,,,,1.129872661,0.623789329,0.96578668,0.373914261
Sample-42,485620,1609,41.1,Surface,EasternShore,ESI_14,,,,,,,
Sample-43,485621,1251,25.7,Surface,EasternShore,ESI_14,,,,,,,
