,x
Sample.1,0
Sample.100,0.48
Sample.11,0.121295145393113
Sample.17,0.284579643296404
Sample.18,0
Sample.20,0.558800220871142
Sample.21,0.606127503251657
Sample.22,0.689820366962249
Sample.23,0
Sample.24,0
Sample.26,0.147229359273942
Sample.30,0.557666291185524
Sample.31,0.23113151790119
Sample.36,0.508150614258428
Sample.37,0.289634703245998
Sample.41,0.373914261235959
Sample.44,0.281648920836558
Sample.47,0.19017424832773
Sample.48,0.566763152965774
Sample.51,0.164547655007677
Sample.52,0.590247101902098
Sample.53,0
Sample.54,0.379770689435334
Sample.55,0.17631126965253
Sample.56,0.314407064138726
Sample.57,0.475068338203412
Sample.58,0.508199412185811
Sample.59,0
Sample.61,0
Sample.63,0.298894779377342
Sample.64,0.655853759812503
Sample.65,0.175506383369229
Sample.66,0.163675479907416
Sample.67,0.355731347258589
Sample.69,0.531208280218674
Sample.70,0.341391419873117
Sample.72,0.661954156226837
Sample.73,0.240972658233753
Sample.74,0.540753513692638
Sample.80,0.285123966942149
Sample.81,0
Sample.85,0.236445738299656
Sample.89,0.161048502319546
Sample.90,0.124399787774342
Sample.92,0.193059719243413
Sample.93,0
Sample.94,0
Sample.95,0.0462168691572424
Sample.97,0.371700197682839
Sample.98,0.216595330105068
Sample.99,0.597512376270785
