sample-id	watersample	concentration	depth	surface	location	station	temperature	ph	dissolvedoxy	salinity
#q2:types	categorical	numeric	numeric	categorical	categorical	categorical	numeric	numeric	numeric	numeric
Sample-1	485525	621	111	Bottom	EasternShore	ESI-8				
Sample-2	485526	1650	111	Surface	EasternShore	ESI-8				
Sample-3	485532	383	112	Bottom	EasternShore	ESI-8				
Sample-4	485533	1995	112	Surface	EasternShore	ESI-8				
Sample-5	485539	741	111	Bottom	EasternShore	ESI-8				
Sample-6	485540	1213	111	Surface	EasternShore	ESI-8				
Sample-7	485543	707	70.8	Bottom	EasternShore	ESI-7				
Sample-8	485544	1049	70.8	Surface	EasternShore	ESI-7				
Sample-9	485545	807	73.2	Bottom	EasternShore	ESI-7				
Sample-10	485546	1893	73.2	Surface	EasternShore	ESI-7				
Sample-11	485547	523	72.4	Bottom	EasternShore	ESI-7				
Sample-12	485548	2082	72.4	Surface	EasternShore	ESI-7				
Sample-13	485549	0		BLANK	EasternShore	ESI-7				
Sample-14	485563	1792	36.5	Bottom	EasternShore	ESI-6				
Sample-15	485564	1882	36.5	Surface	EasternShore	ESI-6				
Sample-16	485568	334	39.6	Bottom	EasternShore	ESI-6				
Sample-17	485569	2161	39.6	Surface	EasternShore	ESI-6				
Sample-18	485573	822	33.6	Bottom	EasternShore	ESI-6				
Sample-19	485574	1821	33.6	Surface	EasternShore	ESI-6				
Sample-20	485589	1135	17.5	Bottom	EasternShore	ESI_05				
Sample-21	485590	1644	17.5	Surface	EasternShore	ESI_05				
Sample-22	485594	1928	18.2	Bottom	EasternShore	ESI_05				
Sample-23	485595	1063	18.2	Surface	EasternShore	ESI_05				
Sample-24	485599	3961	18	Bottom	EasternShore	ESI_05				
Sample-25	485600	1714	18	Surface	EasternShore	ESI_05				
Sample-26	485603	500	116	Bottom	EasternShore	ESI_16				
Sample-27	485604	317	116	Surface	EasternShore	ESI_16				
Sample-28	485605	572	116	Bottom	EasternShore	ESI_16				
Sample-29	485606	1722	116	Surface	EasternShore	ESI_16				
Sample-30	485607	325	116	Bottom	EasternShore	ESI_16				
Sample-31	485608	1922	116	Surface	EasternShore	ESI_16				
Sample-32	485609	22		BLANK	EasternShore	ESI_15				
Sample-33	485610	454	69.9	Bottom	EasternShore	ESI_15				
Sample-34	485611	1456	69.9	Surface	EasternShore	ESI_15				
Sample-35	485612	902	68.9	Bottom	EasternShore	ESI_15				
Sample-36	485613	1716	68.9	Surface	EasternShore	ESI_15				
Sample-37	485614	781	68	Bottom	EasternShore	ESI_15				
Sample-38	485615	1705	68	Surface	EasternShore	ESI_15				
Sample-39	485617	1867	26.3	Bottom	EasternShore	ESI_14				
Sample-40	485618	2984	26.3	Surface	EasternShore	ESI_14				
Sample-41	485619	1277	41.1	Bottom	EasternShore	ESI_14				
Sample-42	485620	1609	41.1	Surface	EasternShore	ESI_14				
Sample-43	485621	1251	25.7	Surface	EasternShore	ESI_14				
Sample-44	485622	2455	25.7	Bottom	EasternShore	ESI_14				
Sample-45	485624	721	32.1	Bottom	EasternShore	ESI_13				
Sample-46	485625	793	32.1	Surface	EasternShore	ESI_13				
Sample-47	485626	1254	30.9	Bottom	EasternShore	ESI_13				
Sample-48	485627	1745	30.9	Surface	EasternShore	ESI_13				
Sample-49	485628	454	31.9	Bottom	EasternShore	ESI_13				
Sample-50	485629	1375	31.9	Surface	EasternShore	ESI_13				
Sample-51	485631	781	108	Bottom	EasternShore	ESI_12				
Sample-52	485632	3257	108	Surface	EasternShore	ESI_12				
Sample-53	485633	905	98.1	Bottom	EasternShore	ESI_12				
Sample-54	485634	3719	98.1	Surface	EasternShore	ESI_12				
Sample-55	485635	845	102	Bottom	EasternShore	ESI_12				
Sample-56	485636	4361	102	Surface	EasternShore	ESI_12				
Sample-57	485638	758	77.4	Bottom	EasternShore	ESI_11				
Sample-58	485639	5165	77.4	Surface	EasternShore	ESI_11				
Sample-59	485640	741	70.5	Bottom	EasternShore	ESI_11				
Sample-60	485641	4376	70.5	Surface	EasternShore	ESI_11				
Sample-61	485642	509	76.8	Bottom	EasternShore	ESI_11				
Sample-62	485643	3666	76.8	Surface	EasternShore	ESI_11				
