Sample ID,Cruise,Site,lat,long,Cast ID,Date,Time
482305,River,St. Mary's River,45.174,-61.98,,13-Aug-21,12:30
482306,River,Moser River,44.976,-62.253,,13-Aug-21,14:16
382307,River,West River,44.925,-62.543,,13-Aug-21,15:05
482312,Per2021171,ESI-8,44.6699,-62.3556,171D002," ""Aug 09 2021"""," ""13:54:33"""
482313,Per2021171,ESI-8,44.6699,-62.3556,171D002," ""Aug 09 2021"""," ""13:58:54"""
482314,Per2021171,ESI-8,44.6699,-62.3556,171D002," ""Aug 09 2021"""," ""13:59:58"""
482315,Per2021171,ESI-8,44.6699,-62.3556,171D002," ""Aug 09 2021"""," ""14:00:53"""
482316,Per2021171,ESI-8,44.6699,-62.3556,171D002," ""Aug 09 2021"""," ""14:01:14"""
482317,Per2021171,ESI-8,44.6699,-62.3556,171D002," ""Aug 09 2021"""," ""14:01:35"""
482311,Per2021171,ESI-8,44.669,-62.3457,171A002," ""Aug 09 2021"""," ""11:46:10"""
482318,Per2021171,ESI-7,44.7214,-62.3984,171B003," ""Aug 09 2021"""," ""16:06:38"""
482319,Per2021171,ESI-7,44.7214,-62.3984,171B003," ""Aug 09 2021"""," ""16:08:43"""
482320,Per2021171,ESI-7,44.7214,-62.3984,171B003," ""Aug 09 2021"""," ""16:09:38"""
482321,Per2021171,ESI-7,44.7214,-62.3984,171B003," ""Aug 09 2021"""," ""16:10:00"""
482322,Per2021171,ESI-7,44.7214,-62.3984,171B003," ""Aug 09 2021"""," ""16:10:22"""
482323,Per2021171,ESI-7,44.7214,-62.3984,171B003," ""Aug 09 2021"""," ""16:10:28"""
482324,Per2021171,ESI-6,44.7734,-62.4378,171D005," ""Aug 09 2021"""," ""19:48:33"""
482325,Per2021171,ESI-6,44.7734,-62.4378,171D005," ""Aug 09 2021"""," ""19:50:38"""
482326,Per2021171,ESI-6,44.7734,-62.4378,171D005," ""Aug 09 2021"""," ""19:51:02"""
482327,Per2021171,ESI-6,44.7734,-62.4378,171D005," ""Aug 09 2021"""," ""19:51:09"""
482328,Per2021171,ESI-5,44.8228,-62.4844,171C007," ""Aug 09 2021"""," ""21:04:36"""
482329,Per2021171,ESI-5,44.8228,-62.4844,171C007," ""Aug 09 2021"""," ""21:06:03"""
482330,Per2021171,ESI-5,44.8228,-62.4844,171C007," ""Aug 09 2021"""," ""21:06:11"""
482396,Per2021171,ESI-00,44.8891,-62.4838,171-008," ""Aug 09 2021"""," ""22:18:38"""
482397,Per2021171,ESI-00,44.8891,-62.4838,171-008," ""Aug 09 2021"""," ""22:20:08"""
482389,Per2021171,ESI-16,44.5028,-62.8451,171c008," ""Aug 11 2021"""," ""14:17:22"""
482390,Per2021171,ESI-16,44.5029,-62.8436,171B008," ""Aug 11 2021"""," ""13:56:09"""
482391,Per2021171,ESI-16,44.5028,-62.8451,171c008," ""Aug 11 2021"""," ""14:20:55"""
482392,Per2021171,ESI-16,44.5028,-62.8451,171c008," ""Aug 11 2021"""," ""14:21:45"""
482393,Per2021171,ESI-16,44.5028,-62.8451,171c008," ""Aug 11 2021"""," ""14:22:06"""
482394,Per2021171,ESI-16,44.5028,-62.8451,171c008," ""Aug 11 2021"""," ""14:22:27"""
482395,Per2021171,ESI-16,44.5028,-62.8451,171c008," ""Aug 11 2021"""," ""14:22:33"""
482383,Per2021171,ESI-15,44.5581,-62.8868,171c009," ""Aug 11 2021"""," ""16:05:13"""
482384,Per2021171,ESI-15,44.5581,-62.8868,171c009," ""Aug 11 2021"""," ""16:07:00"""
482385,Per2021171,ESI-15,44.5581,-62.8868,171c009," ""Aug 11 2021"""," ""16:07:51"""
482386,Per2021171,ESI-15,44.5581,-62.8868,171c009," ""Aug 11 2021"""," ""16:08:15"""
482387,Per2021171,ESI-15,44.5581,-62.8868,171c009," ""Aug 11 2021"""," ""16:08:34"""
482388,Per2021171,ESI-15,44.5581,-62.8868,171c009," ""Aug 11 2021"""," ""16:08:40"""
482379,Per2021171,ESI-14,44.6084,-62.9302,171c010," ""Aug 11 2021"""," ""17:14:35"""
482380,Per2021171,ESI-14,44.6084,-62.9302,171c010," ""Aug 11 2021"""," ""17:16:12"""
482381,Per2021171,ESI-14,44.6084,-62.9302,171c010," ""Aug 11 2021"""," ""17:16:33"""
482382,Per2021171,ESI-14,44.6084,-62.9302,171c010," ""Aug 11 2021"""," ""17:16:39"""
482376,Per2021171,ESI-13,44.6609,-62.975,171b011," ""Aug 11 2021"""," ""18:46:47"""
482377,Per2021171,ESI-13,44.6609,-62.975,171b011," ""Aug 11 2021"""," ""18:47:07"""
482378,Per2021171,ESI-13,44.6609,-62.975,171b011," ""Aug 11 2021"""," ""19:02:30"""
482368,Per2021171,ESI-12,44.5932,-62.5973,171c012," ""Aug 12 2021"""," ""12:43:07"""
482369,Per2021171,ESI-12,44.5915,-62.597,171b012," ""Aug 12 2021"""," ""12:22:17"""
482370,Per2021171,ESI-12,44.5932,-62.5973,171c012," ""Aug 12 2021"""," ""12:46:09"""
482371,Per2021171,ESI-12,44.5932,-62.5973,171c012," ""Aug 12 2021"""," ""12:47:03"""
482372,Per2021171,ESI-12,44.5932,-62.5973,171c012," ""Aug 12 2021"""," ""12:47:24"""
482373,Per2021171,ESI-12,44.5932,-62.5973,171c012," ""Aug 12 2021"""," ""12:47:46"""
482374,Per2021171,ESI-12,44.5932,-62.5973,171c012," ""Aug 12 2021"""," ""12:47:52"""
482362,Per2021171,ESI-11,44.6413,-62.6392,171c013," ""Aug 12 2021"""," ""14:16:01"""
482363,Per2021171,ESI-11,44.6413,-62.6392,171c013," ""Aug 12 2021"""," ""14:18:10"""
482364,Per2021171,ESI-11,44.6413,-62.6392,171c013," ""Aug 12 2021"""," ""14:19:00"""
482365,Per2021171,ESI-11,44.6413,-62.6392,171c013," ""Aug 12 2021"""," ""14:19:22"""
482366,Per2021171,ESI-11,44.6413,-62.6392,171c013," ""Aug 12 2021"""," ""14:19:43"""
482367,Per2021171,ESI-11,44.6413,-62.6392,171c013," ""Aug 12 2021"""," ""14:19:49"""
482358,Per2021171,ESI-10,44.6947,-62.68,171c014," ""Aug 12 2021"""," ""16:24:26"""
482359,Per2021171,ESI-10,44.6947,-62.68,171c014," ""Aug 12 2021"""," ""16:26:43"""
482360,Per2021171,ESI-10,44.6947,-62.68,171c014," ""Aug 12 2021"""," ""16:27:03"""
482361,Per2021171,ESI-10,44.6947,-62.68,171c014," ""Aug 12 2021"""," ""16:27:09"""
482355,Per2021171,ESI-9,44.7408,-62.7262,171c015," ""Aug 12 2021"""," ""17:30:14"""
482356,Per2021171,ESI-9,44.7408,-62.7262,171c015," ""Aug 12 2021"""," ""17:31:53"""
482357,Per2021171,ESI-9,44.7408,-62.7262,171c015," ""Aug 12 2021"""," ""17:31:59"""
482348,Per2021171,ESI-4,44.7539,-62.0983,171c016," ""Aug 13 2021"""," ""13:49:45"""
482349,Per2021171,ESI-4,44.7535,-62.0994,171b016," ""Aug 13 2021"""," ""13:31:56"""
482350,Per2021171,ESI-4,44.7539,-62.0983,171c016," ""Aug 13 2021"""," ""13:52:43"""
482351,Per2021171,ESI-4,44.7539,-62.0983,171c016," ""Aug 13 2021"""," ""13:53:37"""
482352,Per2021171,ESI-4,44.7539,-62.0983,171c016," ""Aug 13 2021"""," ""13:53:58"""
482353,Per2021171,ESI-4,44.7539,-62.0983,171c016," ""Aug 13 2021"""," ""13:54:21"""
482354,Per2021171,ESI-4,44.7539,-62.0983,171c016," ""Aug 13 2021"""," ""13:54:27"""
482342,Per2021171,ESI-3,44.8054,-62.1432,171c017," ""Aug 13 2021"""," ""15:13:31"""
482343,Per2021171,ESI-3,44.8054,-62.1432,171c017," ""Aug 13 2021"""," ""15:15:26"""
482344,Per2021171,ESI-3,44.8054,-62.1432,171c017," ""Aug 13 2021"""," ""15:16:17"""
482345,Per2021171,ESI-3,44.8054,-62.1432,171c017," ""Aug 13 2021"""," ""15:16:37"""
482346,Per2021171,ESI-3,44.8054,-62.1432,171c017," ""Aug 13 2021"""," ""15:16:59"""
482347,Per2021171,ESI-3,44.8054,-62.1432,171c017," ""Aug 13 2021"""," ""15:17:06"""
482335,Per2021171,ESI-2,44.8561,-62.1862,171c018," ""Aug 13 2021"""," ""17:04:20"""
482336,Per2021171,ESI-2,44.8561,-62.1862,171c018," ""Aug 13 2021"""," ""17:06:29"""
482337,Per2021171,ESI-2,44.8561,-62.1862,171c018," ""Aug 13 2021"""," ""17:06:51"""
482338,Per2021171,ESI-2,44.8561,-62.1862,171c018," ""Aug 13 2021"""," ""17:07:12"""
482339,Per2021171,ESI-2,44.8561,-62.1862,171c018," ""Aug 13 2021"""," ""17:07:18"""
482331,Per2021171,ESI-1,44.907,-62.2308,171c019," ""Aug 14 2021"""," ""16:59:23"""
482332,Per2021171,ESI-1,44.907,-62.2308,171c019," ""Aug 14 2021"""," ""17:00:46"""
482333,Per2021171,ESI-1,44.907,-62.2308,171c019," ""Aug 14 2021"""," ""17:01:07"""
482334,Per2021171,ESI-1,44.907,-62.2308,171c019," ""Aug 14 2021"""," ""17:01:13"""
