sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Sample-1	3076096	2988579	97.15	2986274	2522134	81.99	2395523	77.88
Sample-10	2448965	2396623	97.86	2395179	2165270	88.42	2024881	82.68
Sample-11	2112620	1931834	91.44	1930569	1724482	81.63	1448124	68.55
Sample-12	76	0	0	0	0	0	0	0
Sample-13	209	1	0.48	1	1	0.48	1	0.48
Sample-14	365691	359391	98.28	359290	0	0	0	0
Sample-15	1008776	986885	97.83	984507	750374	74.38	730863	72.45
Sample-16	864345	811673	93.91	810664	592734	68.58	564949	65.36
Sample-17	1862877	1830454	98.26	1829890	1045312	56.11	989757	53.13
Sample-18	760887	740370	97.3	739628	661498	86.94	638281	83.89
Sample-19	1649719	1579623	95.75	1578245	1203178	72.93	1166622	70.72
Sample-2	3840422	3763637	98	3757827	3345436	87.11	3002160	78.17
Sample-20	55228	53145	96.23	53110	0	0	0	0
Sample-21	498760	472025	94.64	471194	397054	79.61	391203	78.44
Sample-22	1684510	1646715	97.76	1643098	1472859	87.44	1398039	82.99
Sample-23	716947	641974	89.54	640925	452926	63.17	443717	61.89
Sample-24	1897910	1859569	97.98	1853696	1549768	81.66	1384419	72.94
Sample-25	2397609	2343331	97.74	2341568	1779736	74.23	1551363	64.7
Sample-26	28618	20248	70.75	20232	2590	9.05	2496	8.72
Sample-27	491955	466114	94.75	465179	2604	0.53	2604	0.53
Sample-28	4725398	4636780	98.12	4624382	4465644	94.5	4121181	87.21
Sample-29	187954	179653	95.58	179307	69926	37.2	69540	37
Sample-3	240	1	0.42	1	1	0.42	1	0.42
Sample-30	1242499	1205046	96.99	1200837	894853	72.02	741185	59.65
Sample-31	379333	345179	91	344330	126770	33.42	121576	32.05
Sample-32	1350278	1270286	94.08	1270024	1234567	91.43	1199401	88.83
Sample-33	668881	649447	97.09	648898	557540	83.35	531225	79.42
Sample-34	672315	651085	96.84	650968	587774	87.43	560656	83.39
Sample-35	250541	188529	75.25	188157	179932	71.82	171625	68.5
