materialSampleID,eventDate,eventTime,samplingStation,waterColumn,Replicate,controlType,sampleDepth,CTD Bottle,CastID,SampleID,volumeFiltered,dateFiltration,latitudeDegrees,latitudeMinutes,longitudeDegrees,longitudeMinutes,recordedBy,Notes,tide,depthWaterTemp,totalDNAconc,unitsDNAconc
Sample-1,Aug 6 2022,9:39,ESI_01,Bottom,1,,19.4,1,473A001,493751,1,Oct 21 2022,44,54.3245,62,13.9069,"Nick Jeffery, Ryan Stanley","could not get the CTD to reconnect after deployment. Checked all connections, reconnected all and nothing was coming up ",,,,
Sample-2,Aug 6 2022,9:39,ESI_01,Bottom,2,,19.4,2,473A001,493752,1,Oct 21 2022,44,54.3245,62,13.9069,"Nick Jeffery, Ryan Stanley",files have the cruise number wrong. ,,,,
Sample-3,Aug 6 2022,9:39,ESI_01,Bottom,3,,19.4,3,473A001,493753,1,Oct 21 2022,44,54.3245,62,13.9069,"Nick Jeffery, Ryan Stanley",,,,,
Sample-4,Aug 6 2022,9:39,ESI_01,Surface,1,,19.4,4,473A001,493754,1,Oct 21 2022,44,54.3245,62,13.9069,"Nick Jeffery, Ryan Stanley",,,,,
Sample-5,Aug 6 2022,9:39,ESI_01,Surface,2,,19.4,5,473A001,493755,1,Oct 21 2022,44,54.3245,62,13.9069,"Nick Jeffery, Ryan Stanley",,,,,
Sample-6,Aug 6 2022,9:39,ESI_01,BLANK,BLANK,field blank,19.4,NA,473A001,493757,1,Oct 21 2022,NA,51.2183,62,30.1652,"Nick Jeffery, Ryan Stanley",ESI-1 BLANK,,,,
Sample-7,Aug 7 2022,10:04,ESI_00,Bottom,1,,16.1,1,473A002,493758,1,Oct 21 2022,44,51.2183,62,30.1652,"Nick Jeffery, Ryan Stanley",swells negated us leaving harbour so we are testing the CTD after the fix,,,,
Sample-8,Aug 7 2022,10:04,ESI_00,Bottom,2,,16.1,2,473A002,493759,1,Oct 21 2022,44,51.2183,62,30.1652,"Nick Jeffery, Ryan Stanley",files have the cruise number wrong. ,,,,
Sample-9,Aug 7 2022,10:04,ESI_00,Bottom,3,,16.1,3,473A002,493760,1,Oct 21 2022,44,51.2183,62,30.1652,"Nick Jeffery, Ryan Stanley",CTD may have touched bottom as it came up with a nemertean worm and some sediment. Went down to the sounding so should have had more draft. ,,,,
Sample-10,Aug 7 2022,10:04,ESI_00,Surface,1,,16.1,4,473A002,493761,1,Oct 21 2022,44,51.2183,62,30.1652,"Nick Jeffery, Ryan Stanley",,,,,
Sample-11,Aug 7 2022,10:04,ESI_00,Surface,2,,16.1,5,473A002,493762,1,Oct 21 2022,44,51.2183,62,30.1652,"Nick Jeffery, Ryan Stanley",,,,,
Sample-12,Aug 7 2022,10:04,ESI_00,BLANK,BLANK,field blank,16.1,NA,473A002,493764,1,Oct 21 2022,44,51.2183,62,30.1652,"Nick Jeffery, Ryan Stanley",ESI-00 BLANK,,,,
Sample-13,Aug 8 2022,8:50,ESI_02,BLANK,BLANK,field blank,52.7,NA,473A003,493765,1,Oct 21 2022,44,51.2885,62,11.2294,"Nick Jeffery, Ryan Stanley",Aug 8 blank,,,,
Sample-14,Aug 8 2022,8:50,ESI_02,Bottom,1,,52.7,1,473A003,493766,1,Oct 21 2022,44,51.2885,62,11.2294,"Nick Jeffery, Ryan Stanley",Connection issues and wasn't able to change the programming but the bottles fired and we were able to get it armed at least,,,,
Sample-15,Aug 8 2022,8:50,ESI_02,Bottom,2,,52.7,2,473A003,493767,1,Oct 21 2022,44,51.2885,62,11.2294,"Nick Jeffery, Ryan Stanley",,,,,
Sample-16,Aug 8 2022,8:50,ESI_02,Bottom,3,,52.7,3,473A003,493768,1,Oct 21 2022,44,51.2885,62,11.2294,"Nick Jeffery, Ryan Stanley",cast 21 is this cast when downloading the CTD data the cable came out. Will need to redownload,,,,
Sample-17,Aug 8 2022,8:50,ESI_02,Surface,1,,52.7,4,473A003,493769,1,Oct 21 2022,44,51.2885,62,11.2294,"Nick Jeffery, Ryan Stanley",The AFM file was downloaded successfully and the AFM was armed successfully,,,,
Sample-18,Aug 8 2022,8:50,ESI_02,Surface,2,,52.7,5,473A003,493770,1,Oct 21 2022,44,51.2885,62,11.2294,"Nick Jeffery, Ryan Stanley",,,,,
Sample-19,Aug 8 2022,9:42,ESI_03,Bottom,1,,69.2,1,473A004,493772,1,Oct 21 2022,44,48.163,62,8.6192,"Nick Jeffery, Ryan Stanley",,,,,
Sample-20,Aug 8 2022,9:42,ESI_03,Bottom,2,,69.2,2,473A004,493773,1,Oct 21 2022,44,48.163,62,8.6192,"Nick Jeffery, Ryan Stanley","very wavy might have been an issue with the riggering sqeunce or potntially the CTD bottoming out and the latch letting go. No mud but the CTD was panned to 70 m with an initial sounding of 70.4. However, the boat drifted shallower to as low as 67 pushing the CTD depth closer to the botom with a 3.5 m draft. ",,,,
Sample-21,Aug 8 2022,9:42,ESI_03,Bottom,3,,69.2,3,473A004,493774,1,Oct 21 2022,44,48.163,62,8.6192,"Nick Jeffery, Ryan Stanley",,,,,
Sample-22,Aug 8 2022,9:42,ESI_03,Surface,1,,69.2,4,473A004,493775,1,Oct 21 2022,44,48.163,62,8.6192,"Nick Jeffery, Ryan Stanley",Confirm the depth these were fired at. Saved the setup file as ESI_03_08_08_2022_edna.psa,,,,
Sample-23,Aug 8 2022,9:42,ESI_03,Surface,2,,69.2,5,473A004,493776,1,Oct 21 2022,44,48.163,62,8.6192,"Nick Jeffery, Ryan Stanley","the 'top' bottles 4,5,6 may have fired at the bottom according to seasave. ",,,,
Sample-24,Aug 8 2022,10:35,ESI_04,Bottom,1,,99.1,1,473A005,493778,1,Oct 21 2022,44,45.0861,62,6.0422,"Nick Jeffery, Ryan Stanley",Bottles felt more like they should (as opposed to the last two casts) and the seasave suggests they were fired appropriately ,,,,
Sample-25,Aug 8 2022,10:35,ESI_04,Bottom,2,,99.1,2,473A005,493779,1,Oct 21 2022,44,45.0861,62,6.0422,"Nick Jeffery, Ryan Stanley",,,,,
Sample-26,Aug 8 2022,10:35,ESI_04,Surface,1,,99.1,4,473A005,493781,1,Oct 21 2022,44,45.0861,62,6.0422,"Nick Jeffery, Ryan Stanley",Connection to the CTD via the junction was seemless so data was downloaded that way,,,,
Sample-27,Aug 8 2022,10:35,ESI_04,Surface,2,,99.1,5,473A005,493782,1,Oct 21 2022,44,45.0861,62,6.0422,"Nick Jeffery, Ryan Stanley",,,,,
Sample-28,Aug 8 2022,14:05,ESI_08,BLANK,BLANK,field blank,BLANK,BLANK,473A006,493784,1,Oct 21 2022,44,40.2376,62,20.9575,"Nick Jeffery, Ryan Stanley",tipped over,,,,
Sample-29,Aug 8 2022,14:05,ESI_08,Bottom,1,,110,1,473A006,493785,1,Oct 21 2022,44,40.2376,62,20.9575,"Nick Jeffery, Ryan Stanley",,,,,
Sample-30,Aug 8 2022,14:05,ESI_08,Bottom,2,,110,2,473A006,493786,1,Oct 21 2022,44,40.2376,62,20.9575,"Nick Jeffery, Ryan Stanley",,,,,
Sample-31,Aug 8 2022,14:05,ESI_08,Surface,1,,110,4,473A006,493788,1,Oct 21 2022,44,40.2376,62,20.9575,"Nick Jeffery, Ryan Stanley",,,,,
Sample-32,Aug 8 2022,14:05,ESI_08,Surface,2,,110,5,473A006,493789,1,Oct 21 2022,44,40.2376,62,20.9575,"Nick Jeffery, Ryan Stanley",,,,,
Sample-33,Aug 8 2022,15:00,ESI_07,Bottom,1,,72.6,1,473A007,493791,1,Oct 21 2022,44,43.3394,62,23.499,"Nick Jeffery, Ryan Stanley",,,,,
Sample-34,Aug 8 2022,15:00,ESI_07,Bottom,2,,72.6,2,473A007,493792,1,Oct 21 2022,44,43.3394,62,23.499,"Nick Jeffery, Ryan Stanley",,,,,
Sample-35,Aug 8 2022,15:00,ESI_07,Bottom,3,,72.6,3,473A007,493793,1,Oct 21 2022,44,43.3394,62,23.499,"Nick Jeffery, Ryan Stanley",,,,,
