Species	493867	493868	493869	493870	493871	493872	493873	493874	493875	493876	493877	493878	493879	493880	493881	493882	493883	493884	493885	493886	493860	493887	493888	493889	493890	493891	493892	493893	493894	493895	493896	493861	493897	493898	493899	493900	493901	493902	493903	493904	493905	493906	493862	493907	493908	493909	493910	493911	493912	493913	493914	493915	493916	493863	493917	493918	493919	493920	493921	493922	493923	493924	493925	493926	493864	493927	493928	493929	493931	493932	493934	493935	493936	493937	493938	493865	493866
Other eukaryotes	191785	294373	541301	116268	94427	792740	416382	130509	233110	25434	39754	3144935	1077517	2299485	28301	215681	132774	1778879	1363801	75725	241921	45317	38538	89228	271682	1139815	325857	179968	39612	145220	0	368843	662774	560919	701669	581023	16887	218834	4463533	1469124	827585	45037	870260	102615	44909	2432099	623827	25680	762876	97888	97084	2405814	801498	812445	1153555	50063	300220	266802	743443	789957	3303208	10064	213622	9287	129140	9164	349709	381268	201124	11387	115350	800314	389	44837	56271	805854	312916
 Ammodytes sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Anarhichas lupus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476969	0	0	0	912930	809049	0	0	0	0	0	307733	0	0	0	0	0	0	0	0	0	0	0
 Clupea sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Clupea harengus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	737472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Enchelyopus cimbrius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Gadus sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	0	0	0	0	0	8607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Glyptocephalus cynoglossus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4067	0	0	0	0	0	0	0	0	0	0	0	0	0	1821	0	0	0	0	0	0	0	0	0	0	0
 Hemitripterus americanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1044588	2173620	2218038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Hippoglossoides sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	253869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Iluocoetes fimbriatus	0	0	0	0	0	0	0	0	0	0	0	2121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206582	0	0	0	0	0	0	0	0	0	0	0
 Mallotus villosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1154529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
