Species	Sample.1	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.2	Sample.20	Sample.21	Sample.22	Sample.23	Sample.24	Sample.25	Sample.26	Sample.27	Sample.28	Sample.29	Sample.3	Sample.30	Sample.31	Sample.32	Sample.33	Sample.34	Sample.35	Sample.36	Sample.37	Sample.38	Sample.39	Sample.4	Sample.40	Sample.41	Sample.42	Sample.43	Sample.44	Sample.45	Sample.46	Sample.47	Sample.48	Sample.49	Sample.5	Sample.50	Sample.51	Sample.52	Sample.53	Sample.54	Sample.55	Sample.56	Sample.57	Sample.58	Sample.59	Sample.6	Sample.60	Sample.61	Sample.62	Sample.63	Sample.64	Sample.65	Sample.66	Sample.67	Sample.68	Sample.69	Sample.7	Sample.70	Sample.71	Sample.72	Sample.73	Sample.74	Sample.75	Sample.76	Sample.77	Sample.78	Sample.79	Sample.8	Sample.80	Sample.81	Sample.83	Sample.9
1		0	191785	294373	541301	116268	94427	792740	416382	130509	233110	25434	0	39754	3144935	1077517	2299485	28301	215681	132774	1778879	1363801	75725	241921	45317	38538	89228	271682	1139815	325857	179968	39612	145220	0	368843	662774	560919	701669	581023	16887	218834	4463533	1469124	827585	45037	870260	102615	44909	2432099	623827	25680	762876	97888	97084	2405814	801498	812445	1153555	50063	300220	266802	743443	789957	3303208	10064	213622	9287	129140	9164	349709	381268	201124	11387	115350	800314	389	44837	56271	805854	0	0	0	312916
2	 Ammodytes sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	 Anarhichas lupus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476969	0	0	0	912930	809049	0	0	0	0	0	307733	0	0	0	0	0	0	0	0	0	0	0	0	2	0
4	 Clupea sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	 Clupea harengus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	737472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	 Enchelyopus cimbrius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	 Gadus sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	0	0	0	0	0	8607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	 Glyptocephalus cynoglossus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4067	0	0	0	0	0	0	0	0	0	0	0	0	0	1821	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	 Hemitripterus americanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1044588	2173620	2218038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	 Hippoglossoides sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
