Species,Confidence,Sample.1,Sample.10,Sample.11,Sample.12,Sample.13,Sample.14,Sample.15,Sample.16,Sample.17,Sample.18,Sample.19,Sample.2,Sample.20,Sample.21,Sample.22,Sample.23,Sample.24,Sample.25,Sample.26,Sample.27,Sample.28,Sample.29,Sample.3,Sample.30,Sample.31,Sample.32,Sample.33,Sample.34,Sample.35,Sample.36,Sample.37,Sample.38,Sample.39,Sample.4,Sample.40,Sample.41,Sample.42,Sample.43,Sample.44,Sample.45,Sample.46,Sample.47,Sample.48,Sample.49,Sample.5,Sample.50,Sample.51,Sample.52,Sample.53,Sample.54,Sample.55,Sample.56,Sample.57,Sample.58,Sample.59,Sample.6,Sample.60,Sample.61,Sample.62,Sample.63,Sample.64,Sample.65,Sample.66,Sample.67,Sample.68,Sample.69,Sample.7,Sample.70,Sample.71,Sample.72,Sample.73,Sample.74,Sample.75,Sample.76,Sample.77,Sample.78,Sample.79,Sample.8,Sample.80,Sample.81,Sample.83,Sample.9
Lizzia blondina,0.999999999999999,0,0,1578,0,0,1030,16,0,0,22,0,0,8,0,47,0,491,0,0,2,9,0,43,0,300703,0,4,0,0,0,0,74446,0,0,0,0,0,0,44,664187,0,0,0,95,779761,594782,17864,0,0,33040,0,0,484250,0,0,1483999,0,614989,792051,1141408,0,0,0,0,21,165,506,0,0,0,0,0,0,0,0,0,0,1935,0,0,0,0
 Scomber scombrus,0.999740618377568,0,0,0,0,547885,0,0,9549,0,0,0,0,0,0,0,0,1299071,0,0,3,0,0,0,0,0,0,0,0,0,0,916051,0,0,0,0,0,0,0,843982,0,0,0,0,0,0,0,663975,3,0,0,0,86161,0,0,0,0,0,0,5,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,917365,0,0,0,0
 Scomber scombrus,0.999963664883111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599416,0,1233568,0,501981,0,0,0,0,0,784246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017058,0,0,0,0,0,0,0
 Hemitripterus americanus,0.992089786116849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619457,1742033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Anarhichas lupus,0.998670824580703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426475,0,0,0,786179,648836,0,0,0,0,0,198031,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 Sebastes,0.996383554900023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934189,0,452880,0,0,0,0,0,0,4,0,0,0,0,0
 Mallotus villosus,0.999928361000797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Scomberesox saurus,0.972887044556056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647720,0,0,0,0,0,0,0
 Enchelyopus cimbrius,0.999995361427566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Anarhichas lupus,0.998674770658897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94590,0,0,0,0,0,0,0,0,0,0,0,0,0,0
