sample-id	watersample	concentration	depth	surface	location	station	temperature	ph	dissolvedoxy	salinity
#q2:types	categorical	numeric	numeric	categorical	categorical	categorical	numeric	numeric	numeric	numeric
Sample-1	493840	0.68	0	BLANK	SaintAnnsBank	ESI_12				
Sample-2	493859	0.12	0	BLANK	SaintAnnsBank	TRANS_01				
Sample-3	493860	5.36	24.5	Bottom	SaintAnnsBank	TRANS_01				
Sample-4	493861	8.41	24.5	Bottom	SaintAnnsBank	TRANS_01				
Sample-5	493862	8.51	24.5	Bottom	SaintAnnsBank	TRANS_01				
Sample-6	493863	6.94	24.5	Surface	SaintAnnsBank	TRANS_01				
Sample-7	493864	4.26	24.5	Surface	SaintAnnsBank	TRANS_01				
Sample-8	493865	5.5	24.5	Surface	SaintAnnsBank	TRANS_01				
Sample-9	493866	4.12	34.8	Bottom	SaintAnnsBank	TRANS_02				
Sample-10	493867	6.61	34.8	Bottom	SaintAnnsBank	TRANS_02				
Sample-11	493868	5.22	34.8	Bottom	SaintAnnsBank	TRANS_02				
Sample-12	493869	10.43	34.8	Surface	SaintAnnsBank	TRANS_02				
Sample-13	493870	10.65	34.8	Surface	SaintAnnsBank	TRANS_02				
Sample-14	493871	6.94	34.8	Surface	SaintAnnsBank	TRANS_02				
Sample-15	493872	3.64	61.8	Bottom	SaintAnnsBank	TRANS_03				
Sample-16	493873	3.07	61.8	Bottom	SaintAnnsBank	TRANS_03				
Sample-17	493874	2.48	61.8	Bottom	SaintAnnsBank	TRANS_03				
Sample-18	493875	9.15	61.8	Surface	SaintAnnsBank	TRANS_03				
Sample-19	493876	10.2	61.8	Surface	SaintAnnsBank	TRANS_03				
Sample-20	493877	7.89	61.8	Surface	SaintAnnsBank	TRANS_03				
Sample-21	493878	1.39	81.6	Bottom	SaintAnnsBank	TRANS_04				
Sample-22	493879	1.35	81.6	Bottom	SaintAnnsBank	TRANS_04				
Sample-23	493880	1.63	81.6	Bottom	SaintAnnsBank	TRANS_04				
Sample-24	493881	6.43	81.6	Surface	SaintAnnsBank	TRANS_04				
Sample-25	493882	11.38	81.6	Surface	SaintAnnsBank	TRANS_04				
Sample-26	493883	14.18	81.6	Surface	SaintAnnsBank	TRANS_04				
Sample-27	493884	1.26	93.4	Bottom	SaintAnnsBank	TRANS_05				
Sample-28	493885	1.24	93.4	Bottom	SaintAnnsBank	TRANS_05				
Sample-29	493886	1.46	93.4	Bottom	SaintAnnsBank	TRANS_05				
Sample-30	493887	8.18	93.4	Surface	SaintAnnsBank	TRANS_05				
Sample-31	493888	9.51	93.4	Surface	SaintAnnsBank	TRANS_05				
Sample-32	493889	8.33	93.4	Surface	SaintAnnsBank	TRANS_05				
Sample-33	493890	1.36	137	Bottom	SaintAnnsBank	TRANS_06				
