materialSampleID,eventDate,eventTime,samplingStation,targetWaterColumn,controlType,replicate,volumeFiltered,dateFiltration,waterColumnDepth,CTD Bottle,ctdCastID,waterSample,filterType,totalDNAconc,unitsDNAconc,Lat,,Long,,recordedBy,Notes,waterTemp,tide,deptWaterTemp
Sample-1,Aug 10 2022,14:00,ESI_12,BLANK,field blank,BLANK,1,Oct 20 2022,BLANK,BLANK,473A014,493840,Sterivex PVDF 0.22um,0.68,ng/ul,44,35.261,62,35.8511,"Nick Jeffery, Ryan Stanley",field blank from ESI used to fill samples,,,
Sample-2,Aug 14 2022,10:05,SAB_TRANS_01,BLANK,field blank,BLANK,1,Oct 20 2022,24.5,BLANK,473A018,493859,Sterivex PVDF 0.22um,0.12,ng/ul,45,59.3684,59,12.6352,"Nick Jeffery, Ryan Stanley",Note the pH sensor buffer bottle fell off in transit between ESI and SAB. Assume that the pH data is unreliable.,,,
Sample-3,Aug 14 2022,10:05,SAB_TRANS_01,Bottom,,1,1,Oct 20 2022,24.5,1,473A018,493860,Sterivex PVDF 0.22um,5.36,ng/ul,45,59.3684,59,12.6352,"Nick Jeffery, Ryan Stanley",Crew reported seeing a school of flying fish from the bridge. First time the Captain had seen them in his career. Should look for these in the Surface eDNA,,,
Sample-4,Aug 14 2022,10:05,SAB_TRANS_01,Bottom,,2,1,Oct 20 2022,24.5,2,473A018,493861,Sterivex PVDF 0.22um,8.41,ng/ul,45,59.3684,59,12.6352,"Nick Jeffery, Ryan Stanley",,,,
Sample-5,Aug 14 2022,10:05,SAB_TRANS_01,Bottom,,3,1,Oct 20 2022,24.5,3,473A018,493862,Sterivex PVDF 0.22um,8.51,ng/ul,45,59.3684,59,12.6352,"Nick Jeffery, Ryan Stanley",cast 36,,,
Sample-6,Aug 14 2022,10:05,SAB_TRANS_01,Surface,,1,1,Oct 20 2022,24.5,4,473A018,493863,Sterivex PVDF 0.22um,6.94,ng/ul,45,59.3684,59,12.6352,"Nick Jeffery, Ryan Stanley",Profile looked like almost no water structure reading 19 top to bottom. The engineer was also reading water as high as 21 from the boat cooling intake,,,
Sample-7,Aug 14 2022,10:05,SAB_TRANS_01,Surface,,2,1,Oct 20 2022,24.5,5,473A018,493864,Sterivex PVDF 0.22um,4.26,ng/ul,45,59.3684,59,12.6352,"Nick Jeffery, Ryan Stanley",,,,
Sample-8,Aug 14 2022,10:05,SAB_TRANS_01,Surface,,3,1,Oct 20 2022,24.5,6,473A018,493865,Sterivex PVDF 0.22um,5.5,ng/ul,45,59.3684,59,12.6352,"Nick Jeffery, Ryan Stanley",,,,
Sample-9,Aug 14 2022,10:20,SAB_TRANS_02,Bottom,,1,1,Oct 20 2022,34.8,1,473A019,493866,Sterivex PVDF 0.22um,4.12,ng/ul,45,59.8379,59,12.4093,"Nick Jeffery, Ryan Stanley",Cast 37 ,,,
Sample-10,Aug 14 2022,10:20,SAB_TRANS_02,Bottom,,2,1,Oct 20 2022,34.8,2,473A019,493867,Sterivex PVDF 0.22um,6.61,ng/ul,45,59.8379,59,12.4093,"Nick Jeffery, Ryan Stanley",,,,
