sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Sample-1	14844	14416	97.12	14405	11682	78.7	11276	75.96
Sample-10	19595	18734	95.61	18613	10101	51.55	10101	51.55
Sample-11	42584	41309	97.01	41121	31636	74.29	30661	72
Sample-12	482626	470813	97.55	470201	444086	92.01	440103	91.19
Sample-13	522024	508133	97.34	507913	480400	92.03	468969	89.84
Sample-14	13510	13164	97.44	13103	4565	33.79	4565	33.79
Sample-15	9916	9440	95.2	9355	1087	10.96	1087	10.96
Sample-16	14110	13715	97.2	13592	4710	33.38	4710	33.38
Sample-17	7746	7347	94.85	7266	1263	16.31	1263	16.31
Sample-18	20541	19654	95.68	19580	12859	62.6	12566	61.18
Sample-19	7495	7260	96.86	7192	1091	14.56	1091	14.56
Sample-2	49631	48235	97.19	47979	46440	93.57	39207	79
Sample-20	442638	429626	97.06	428940	409621	92.54	404374	91.36
Sample-21	6769971	6499999	96.01	6498559	6062230	89.55	5895020	87.08
Sample-22	29471	28631	97.15	28397	22963	77.92	22284	75.61
Sample-23	3897140	3803900	97.61	3796129	3634427	93.26	3537411	90.77
Sample-24	200047	194862	97.41	194453	182882	91.42	180967	90.46
Sample-25	79706	77396	97.1	76993	67933	85.23	65070	81.64
Sample-26	263111	256749	97.58	255317	241993	91.97	239112	90.88
Sample-27	5295046	5156430	97.38	5149759	4914210	92.81	4691733	88.61
Sample-28	8789	8479	96.47	8363	4014	45.67	4014	45.67
Sample-29	12451	12062	96.88	11928	5525	44.37	5525	44.37
Sample-3	56329	54773	97.24	54452	47166	83.73	46424	82.42
Sample-30	7722	7511	97.27	7450	655	8.48	655	8.48
Sample-31	17548	16916	96.4	16840	9711	55.34	9711	55.34
Sample-32	7869	7672	97.5	7609	860	10.93	860	10.93
Sample-33	5323991	5152680	96.78	5149719	4913254	92.29	4768049	89.56
Sample-34	2509117	2440875	97.28	2437404	2341456	93.32	2244980	89.47
Sample-35	9077959	8893940	97.97	8890192	8461808	93.21	8287854	91.3
Sample-36	9212	8971	97.38	8911	1201	13.04	1201	13.04
Sample-37	7346	7195	97.94	7155	355	4.83	355	4.83
Sample-38	34293	33339	97.22	33202	27012	78.77	26976	78.66
Sample-39	2535671	2394359	94.43	2393451	2218915	87.51	1979109	78.05
Sample-4	14016	13602	97.05	13555	7996	57.05	7996	57.05
Sample-40	253469	237775	93.81	237348	215727	85.11	210991	83.24
Sample-41	6245787	6102592	97.71	6093751	5812537	93.06	5509068	88.2
Sample-42	1032137	1007969	97.66	1006062	963024	93.3	944015	91.46
Sample-43	823141	798302	96.98	796189	502038	60.99	491983	59.77
Sample-44	87501	85363	97.56	85160	76496	87.42	75811	86.64
Sample-45	154647	150686	97.44	149965	139141	89.97	137170	88.7
Sample-46	12754	12255	96.09	12102	5108	40.05	5108	40.05
Sample-47	1497272	1461759	97.63	1459146	1396419	93.26	1370714	91.55
Sample-48	611482	596761	97.59	596422	569168	93.08	562856	92.05
Sample-49	13715	13319	97.11	13246	4736	34.53	4577	33.37
Sample-5	26002	25338	97.45	25277	17566	67.56	17566	67.56
Sample-50	209976	204853	97.56	204629	190534	90.74	186083	88.62
Sample-51	7782	7506	96.45	7445	267	3.43	267	3.43
Sample-52	5549371	5417061	97.62	5415229	5227054	94.19	4991559	89.95
Sample-53	307125	298514	97.2	298189	277786	90.45	271599	88.43
Sample-54	183720	177664	96.7	177251	157671	85.82	150081	81.69
Sample-55	678375	661797	97.56	660508	631425	93.08	619401	91.31
Sample-56	9907	9580	96.7	9538	4116	41.55	4114	41.53
Sample-57	6206	6023	97.05	5961	352	5.67	352	5.67
Sample-58	15798	15085	95.49	14895	8079	51.14	7771	49.19
Sample-59	101784	99270	97.53	98862	90374	88.79	87835	86.3
Sample-6	9861	9630	97.66	9534	3944	40	3881	39.36
Sample-60	5746631	5620889	97.81	5618305	5394845	93.88	5091642	88.6
Sample-61	6403	6180	96.52	6106	403	6.29	403	6.29
Sample-62	15669	15046	96.02	14964	7509	47.92	7368	47.02
Sample-63	328510	320626	97.6	320100	305761	93.08	298278	90.8
Sample-64	373788	364099	97.41	363608	341374	91.33	331894	88.79
Sample-65	11553372	11271854	97.56	11260943	10798537	93.47	10547787	91.3
Sample-66	6106167	5963651	97.67	5958496	5660604	92.7	5592863	91.59
Sample-67	640245	626551	97.86	626130	596178	93.12	586511	91.61
Sample-68	12184	11857	97.32	11807	2777	22.79	2777	22.79
Sample-69	13232	12938	97.78	12885	4297	32.47	4297	32.47
Sample-7	8149	7891	96.83	7835	444	5.45	444	5.45
Sample-70	10890511	10612052	97.44	10605674	10114316	92.87	9709651	89.16
Sample-71	7981760	7796003	97.67	7780718	7395673	92.66	7159284	89.7
Sample-72	121395	118710	97.79	118394	106955	88.1	104722	86.27
Sample-73	25557	24558	96.09	24464	18329	71.72	18011	70.47
Sample-74	26151	25376	97.04	25281	14074	53.82	14030	53.65
Sample-75	712	692	97.19	655	0	0	0	0
Sample-76	7153249	7006370	97.95	7002580	6720407	93.95	6584111	92.04
Sample-77	8700	7779	89.41	7702	1450	16.67	1450	16.67
Sample-78	12983	12592	96.99	12528	5946	45.8	5946	45.8
Sample-79	14906	14560	97.68	14490	6706	44.99	6706	44.99
Sample-8	6515	6259	96.07	6193	1984	30.45	1984	30.45
Sample-80	66	20	30.3	18	18	27.27	18	27.27
Sample-81	8	0	0	0	0	0	0	0
Sample-82	15	0	0	0	0	0	0	0
Sample-83	1333	529	39.68	520	520	39.01	520	39.01
Sample-9	10229	9886	96.65	9765	845	8.26	845	8.26
