sample-id	watersample	concentration	depth	surface	location	station
Sample-1	X493840	0.68	0	BLANK	SaintAnnsBank	ESI_12
Sample-2	X493859	0.12	0	BLANK	SaintAnnsBank	TRANS_01
Sample-3	X493860	5.36	24.5	Bottom	SaintAnnsBank	TRANS_01
Sample-4	X493861	8.41	24.5	Bottom	SaintAnnsBank	TRANS_01
Sample-5	X493862	8.51	24.5	Bottom	SaintAnnsBank	TRANS_01
Sample-6	X493863	6.94	24.5	Surface	SaintAnnsBank	TRANS_01
Sample-7	X493864	4.26	24.5	Surface	SaintAnnsBank	TRANS_01
Sample-8	X493865	5.5		24.5	Surface	SaintAnnsBank	TRANS_01
Sample-9	X493866	4.12	34.8	Bottom	SaintAnnsBank	TRANS_02
Sample-10	X493867	6.61	34.8	Bottom	SaintAnnsBank	TRANS_02
Sample-11	X493868	5.22	34.8	Bottom	SaintAnnsBank	TRANS_02
Sample-12	X493869	10.43	34.8	Surface	SaintAnnsBank	TRANS_02
Sample-13	X493870	10.65	34.8	Surface	SaintAnnsBank	TRANS_02
Sample-14	X493871	6.94	34.8	Surface	SaintAnnsBank	TRANS_02
Sample-15	X493872	3.64	61.8	Bottom	SaintAnnsBank	TRANS_03
Sample-16	X493873	3.07	61.8	Bottom	SaintAnnsBank	TRANS_03
Sample-17	X493874	2.48	61.8	Bottom	SaintAnnsBank	TRANS_03
Sample-18	X493875	9.15	61.8	Surface	SaintAnnsBank	TRANS_03
Sample-19	X493876	10.2	61.8	Surface	SaintAnnsBank	TRANS_03
Sample-20	X493877	7.89	61.8	Surface	SaintAnnsBank	TRANS_03
Sample-21	X493878	1.39	81.6	Bottom	SaintAnnsBank	TRANS_04
Sample-22	X493879	1.35	81.6	Bottom	SaintAnnsBank	TRANS_04
Sample-23	X493880	1.63	81.6	Bottom	SaintAnnsBank	TRANS_04
Sample-24	X493881	6.43	81.6	Surface	SaintAnnsBank	TRANS_04
Sample-25	X493882	11.38	81.6	Surface	SaintAnnsBank	TRANS_04
Sample-26	X493883	14.18	81.6	Surface	SaintAnnsBank	TRANS_04
Sample-27	X493884	1.26	93.4	Bottom	SaintAnnsBank	TRANS_05
Sample-28	X493885	1.24	93.4	Bottom	SaintAnnsBank	TRANS_05
Sample-29	X493886	1.46	93.4	Bottom	SaintAnnsBank	TRANS_05
Sample-30	X493887	8.18	93.4	Surface	SaintAnnsBank	TRANS_05
Sample-31	X493888	9.51	93.4	Surface	SaintAnnsBank	TRANS_05
Sample-32	X493889	8.33	93.4	Surface	SaintAnnsBank	TRANS_05
Sample-33	X493890	1.36	137	Bottom	SaintAnnsBank	TRANS_06
Sample-34	X493891	1.03	137	Bottom	SaintAnnsBank	TRANS_06
Sample-35	X493892	1.51	137	Bottom	SaintAnnsBank	TRANS_06
Sample-36	X493893	12.32	137	Surface	SaintAnnsBank	TRANS_06
Sample-37	X493894	9.91	137	Surface	SaintAnnsBank	TRANS_06
Sample-38	X493895	14.37	137	Surface	SaintAnnsBank	TRANS_06
Sample-39	X493896	0.57	38	Bottom	SaintAnnsBank	TRANS_09
Sample-40	X493897	7.51	38	Bottom	SaintAnnsBank	TRANS_09
Sample-41	X493898	4.88	38	Bottom	SaintAnnsBank	TRANS_09
Sample-42	X493899	4.02	38	Bottom	SaintAnnsBank	TRANS_09
Sample-43	X493900	11.23	38	Surface	SaintAnnsBank	TRANS_09
Sample-44	X493901	13.15	38	Surface	SaintAnnsBank	TRANS_09
Sample-45	X493902	8.34	38	Surface	SaintAnnsBank	TRANS_09
Sample-46	X493903	3.38	58	Bottom	SaintAnnsBank	TRANS_10
Sample-47	X493904	3.33	58	Bottom	SaintAnnsBank	TRANS_10
Sample-48	X493905	4.29	58	Bottom	SaintAnnsBank	TRANS_10
Sample-49	X493906	14.25	58	Surface	SaintAnnsBank	TRANS_10
Sample-50	X493907	13.48	58	Surface	SaintAnnsBank	TRANS_10
Sample-51	X493908	8.14	58	Surface	SaintAnnsBank	TRANS_10
Sample-52	X493909	2.48	93.5	Bottom	SaintAnnsBank	TRANS_11
Sample-53	X493910	1.46	93.5	Bottom	SaintAnnsBank	TRANS_11
Sample-54	X493911	1.05	93.5	Bottom	SaintAnnsBank	TRANS_11
Sample-55	X493912	6.42	93.5	Surface	SaintAnnsBank	TRANS_11
Sample-56	X493913	10.25	93.5	Surface	SaintAnnsBank	TRANS_11
Sample-57	X493914	9.58	93.5	Surface	SaintAnnsBank	TRANS_11
Sample-58	X493915	0.81	104.8	Bottom	SaintAnnsBank	TRANS_12
Sample-59	X493916	1.17	104.8	Bottom	SaintAnnsBank	TRANS_12
Sample-60	X493917	1.18	104.8	Bottom	SaintAnnsBank	TRANS_12
Sample-61	X493918	9.16	104.8	Surface	SaintAnnsBank	TRANS_12
Sample-62	X493919	8	104.8	Surface	SaintAnnsBank	TRANS_12
Sample-63	X493920	9	104.8	Surface	SaintAnnsBank	TRANS_12
