sample-id,watersample,concentration,depth,surface,location,station
Sample-13,X493870,10.65,34.8,Surface,SaintAnnsBank,TRANS_02
Sample-16,X493873,3.07,61.8,Bottom,SaintAnnsBank,TRANS_03
Sample-21,X493878,1.39,81.6,Bottom,SaintAnnsBank,TRANS_04
Sample-23,X493880,1.63,81.6,Bottom,SaintAnnsBank,TRANS_04
Sample-24,X493881,6.43,81.6,Surface,SaintAnnsBank,TRANS_04
Sample-27,X493884,1.26,93.4,Bottom,SaintAnnsBank,TRANS_05
Sample-37,X493894,9.91,137,Surface,SaintAnnsBank,TRANS_06
Sample-4,X493861,8.41,24.5,Bottom,SaintAnnsBank,TRANS_01
Sample-40,X493897,7.51,38,Bottom,SaintAnnsBank,TRANS_09
Sample-41,X493898,4.88,38,Bottom,SaintAnnsBank,TRANS_09
Sample-42,X493899,4.02,38,Bottom,SaintAnnsBank,TRANS_09
Sample-43,X493900,11.23,38,Surface,SaintAnnsBank,TRANS_09
Sample-44,X493901,13.15,38,Surface,SaintAnnsBank,TRANS_09
Sample-46,X493903,3.38,58,Bottom,SaintAnnsBank,TRANS_10
Sample-49,X493906,14.25,58,Surface,SaintAnnsBank,TRANS_10
Sample-51,X493908,8.14,58,Surface,SaintAnnsBank,TRANS_10
Sample-52,X493909,2.48,93.5,Bottom,SaintAnnsBank,TRANS_11
Sample-56,X493913,10.25,93.5,Surface,SaintAnnsBank,TRANS_11
Sample-58,X493915,0.81,104.8,Bottom,SaintAnnsBank,TRANS_12
Sample-60,X493917,1.18,104.8,Bottom,SaintAnnsBank,TRANS_12
Sample-62,X493919,8,104.8,Surface,SaintAnnsBank,TRANS_12
Sample-63,X493920,9,104.8,Surface,SaintAnnsBank,TRANS_12
Sample-64,X493921,1.19,126.5,Bottom,SaintAnnsBank,TRANS_13
Sample-65,X493922,1.98,126.5,Bottom,SaintAnnsBank,TRANS_13
Sample-66,X493923,1.67,126.5,Bottom,SaintAnnsBank,TRANS_13
Sample-7,X493864,4.26,24.5,Surface,SaintAnnsBank,TRANS_01
Sample-70,X493927,2.04,236,Bottom,SaintAnnsBank,TRANS_14
Sample-72,X493929,1.52,236,Bottom,SaintAnnsBank,TRANS_14
Sample-77,X493936,7.21,183,Surface,SaintAnnsBank,TRANS_07
Sample-79,X493938,0,183,Surface,SaintAnnsBank,TRANS_07
Sample-8,X493865,5.5,24.5,Surface,SaintAnnsBank,TRANS_01
