sample-id	watersample	concentration	depth	surface	station	season
#q2:types	categorical	numeric	numeric	categorical	categorical	categorical
Sample-1	2023SAB_01	2.40	79.7	Bottom	SAB_05	summer
Sample-2	2023SAB_02	1.68	110	Bottom	SAB_08	summer
Sample-3	2023SAB_03	2.43	30.9	Bottom	SAB_11	summer
Sample-4	2023SAB_04	2.91	30.9	Bottom	SAB_11	summer
Sample-5	2023SAB_05	2.21	56.1	Bottom	SAB_13	summer
Sample-6	2023SAB_06	1.84	56.1	Bottom	SAB_13	summer
Sample-7	2023SAB_07	1.76	56.1	Bottom	SAB_13	summer
Sample-8	2023SAB_09	5.99	34.7	Bottom	SAB_14	summer
Sample-9	2023SAB_10	1.97	62.1	Bottom	SAB_15	summer
Sample-10	2023SAB_100	1.14	79.2	Bottom	SAB_30	summer
Sample-11	2023SAB_101	1.16	79.8	Bottom	SAB_31	summer
Sample-12	2023SAB_102	3.26	25	Bottom	SAB_60	summer
Sample-13	2023SAB_103	1.75	25	Bottom	SAB_60	summer
Sample-14	2023SAB_104	1.47	79.8	Bottom	SAB_31	summer
Sample-15	2023SAB_105	1.78	79.8	Bottom	SAB_31	summer
Sample-16	2023SAB_106	2.58	25	Bottom	SAB_60	summer
Sample-17	2023SAB_107	2.77	35	Bottom	SAB_61	summer
Sample-18	2023SAB_108	2.11	35	Bottom	SAB_61	summer
Sample-19	2023SAB_109	4.23	28	Bottom	SAB_62	summer
Sample-20	2023SAB_11	2.56	62.1	Bottom	SAB_15	summer
Sample-21	2023SAB_110	2.72	28	Bottom	SAB_62	summer
Sample-22	2023SAB_111	3.69	28	Bottom	SAB_62	summer
Sample-23	2023SAB_112	3.01	57	Bottom	SAB_63	summer
Sample-24	2023SAB_113	2.47	57	Bottom	SAB_63	summer
Sample-25	2023SAB_114	2.06	122	Bottom	SAB_22REAL	summer
Sample-26	2023SAB_115	1.85	122	Bottom	SAB_22REAL	summer
Sample-27	2023SAB_116	1.42	122	Bottom	SAB_22REAL	summer
Sample-28	2023SAB_117	1.71	93	Bottom	SAB_21REAL	summer
Sample-29	2023SAB_118	1.62	93	Bottom	SAB_21REAL	summer
Sample-30	2023SAB_119	1.75	93	Bottom	SAB_21REAL	summer
Sample-31	2023SAB_12	1.89	62.1	Bottom	SAB_15	summer
Sample-32	2023SAB_120	2.01	148	Bottom	SAB_25REAL	summer
Sample-33	2023SAB_121	3.05	148	Bottom	SAB_25REAL	summer
Sample-34	2023SAB_122	1.52	148	Bottom	SAB_25REAL	summer
Sample-35	2023SAB_13	7.00	28.9	Bottom	SAB_16	summer
Sample-36	2023SAB_14	8.45	28.9	Bottom	SAB_16	summer
Sample-37	2023SAB_15	2.44	59	Bottom	SAB_17	summer
Sample-38	2023SAB_16	2.22	140.1	Bottom	SAB_18	summer
Sample-39	2023SAB_17	3.81	140.1	Bottom	SAB_18	summer
Sample-40	2023SAB_18	2.05	140.1	Bottom	SAB_18	summer
Sample-41	2023SAB_19	2.47	140.1	Surface	SAB_18	summer
Sample-42	2023SAB_20	2.04	140.1	Surface	SAB_18	summer
Sample-43	2023SAB_21	12.5	143	Surface	SAB_19	summer
Sample-44	2023SAB_22	3.11	53	Bottom	SAB_28	summer
Sample-45	2023SAB_24	1.48	71.7	Bottom	SAB_01	summer
Sample-46	2023SAB_25	1.46	71.7	Bottom	SAB_01	summer
Sample-47	2023SAB_26	2.03	71.7	Bottom	SAB_01	summer
Sample-48	2023SAB_27	1.38	88.5	Bottom	SAB_02	summer
Sample-49	2023SAB_28	1.50	88.5	Bottom	SAB_02	summer
Sample-50	2023SAB_29	1.70	88.5	Bottom	SAB_02	summer
Sample-51	2023SAB_30	1.26	85.6	Bottom	SAB_03	summer
Sample-52	2023SAB_31	1.35	85.6	Bottom	SAB_03	summer
Sample-53	2023SAB_32	1.50	85.6	Bottom	SAB_03	summer
Sample-54	2023SAB_33	1.59	89.5	Bottom	SAB_04	summer
Sample-55	2023SAB_34	1.25	89.5	Bottom	SAB_04	summer
Sample-56	2023SAB_35	1.32	89.5	Bottom	SAB_04	summer
Sample-57	2023SAB_36	1.65	79.7	Bottom	SAB_05	summer
Sample-58	2023SAB_37	1.47	79.7	Bottom	SAB_05	summer
Sample-59	2023SAB_38	1.32	81.4	Bottom	SAB_06	summer
