species,confidence,Sample.1,Sample.10,Sample.11,Sample.12,Sample.13,Sample.14,Sample.15,Sample.16,Sample.17,Sample.18,Sample.19,Sample.2,Sample.20,Sample.21,Sample.22,Sample.23,Sample.24,Sample.25,Sample.26,Sample.27,Sample.28,Sample.29,Sample.3,Sample.30,Sample.31,Sample.32,Sample.33,Sample.34,Sample.35,Sample.36,Sample.37,Sample.38,Sample.39,Sample.4,Sample.40,Sample.41,Sample.42,Sample.43,Sample.44,Sample.45,Sample.46,Sample.47,Sample.48,Sample.49,Sample.5,Sample.50,Sample.51,Sample.52,Sample.53,Sample.54,Sample.55,Sample.56,Sample.6,Sample.7,Sample.8,Sample.9
Micromonas_pusilla,1,592,690,425,468,424,515,742,236,754,1464,900,725,1398,704,16,10812,13759,11106,4886,3461,834,5520,180,10664,13615,8609,5826,7775,7023,11185,13429,19917,11810,783,17330,3524,15435,15612,25,16,9162,9639,9445,904,418,1453,1049,9,28,27,19,23,1211,816,587,691
Micromonas_pusilla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,156,0,0,0,0,0,0,199,0,0,0,91,140,0,0,0,0,159,0,0,142,0,0,134,198,148,0,0,0,0,0,0,0,0,0,0,0,0,0
Pholoe_minuta,1,0,0,0,0,0,0,0,0,4,0,0,0,142,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Pholoe_minuta,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boltenia_echinata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,23,14,0,0,0,0,0,0,0,0,0,5,0,0,32,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber_scombrus,1,0,0,0,0,0,0,0,0,0,0,0,7,3,8,0,5,5,7,0,0,0,0,0,5,0,41,86,56,147,236,90,85,98,0,51,15,49,88,0,0,21,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudocalanus_mimus,1,0,0,0,11,22,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,28,0,0
Eurytemora_herdmani,1,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macoma_calcarea,1,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macoma_calcarea,1,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
