materialSampleID,samplingStation,eventDate,eventTime,dateFiltration,timeFiltration,recordedBy,sampleDepth,waterColumnDepth,target_depth,replicate,controlType,CastID,SampleID,decimalLatitude,decimalLongitude,volumeFiltered,perservation,ABLsample ID,ABL_Extraction_ID,totalDNAconc,unitsDNAconc,ExtractedBy,tide,depthWaterTemp
Sample-1,ESI_05,4/21/2023,12:36:00,4/21/2023,12:36:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",11.9,11.9,Bottom,1,,757A004,141019,44 49.3125,-62 28.7752,3,Self-preserve,43840,TUBES807,6.6,ng/ul,Mallory VW,,
Sample-2,ESI_06,4/21/2023,11:01:00,4/21/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",31.7,31.7,Surface,2,,757A003,141017,44 46.1446,-62 26.2013,3.25,Self-preserve,43841,TUBES807,5.07,ng/ul,Mallory VW,,
Sample-3,ESI_06,4/21/2023,11:01:00,4/21/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",31.7,31.7,Bottom,2,,757A003,141014,44 46.1446,-62 26.2013,,Frozen,43842,TUBES807,2.8,ng/ul,Mallory VW,,
Sample-4,ESI_07,4/21/2023,9:58:00,4/21/2023,9:58:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",77,77,Surface,2,,757A002,141011,44 43.0568,-62 23.5654,2,Frozen,43843,TUBES807,3.8,ng/ul,Mallory VW,,
Sample-5,ESI_07,4/21/2023,9:58:00,4/21/2023,9:58:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",77,77,Bottom,2,,757A002,141008,44 43.0568,-62 23.5654,3,Frozen,43844,TUBES807,2.69,ng/ul,Mallory VW,,
Sample-6,ESI_05,4/21/2023,12:36:00,4/21/2023,12:36:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",11.9,11.9,Bottom,3,,757A004,141021,44 49.3125,-62 28.7752,,Frozen,43845,TUBES807,5.03,ng/ul,Mallory VW,,
Sample-7,ESI_07,4/21/2023,9:58:00,4/21/2023,9:58:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",77,77,Surface,3,,757A002,141012,44 43.0568,-62 23.5654,2,Frozen,43846,TUBES807,4.46,ng/ul,Mallory VW,,
Sample-8,ESI_08,4/21/2023,8:32:00,4/21/2023,8:32:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",114,114,Bottom,3,,757A001,141003,44 40.0813,-62 20.8761,3.5,Frozen,43847,TUBES807,5.66,ng/ul,Mallory VW,,
Sample-9,ESI_07,4/21/2023,9:58:00,4/21/2023,9:58:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",77,77,Bottom,3,,757A002,141009,44 43.0568,-62 23.5654,3,Frozen,43848,TUBES807,4.38,ng/ul,Mallory VW,,
Sample-10,ESI_07,4/21/2023,9:58:00,4/21/2023,9:58:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",77,77,Bottom,1,,757A002,141007,44 43.0568,-62 23.5654,3,Frozen,43849,TUBES807,6.62,ng/ul,Mallory VW,,
Sample-11,ESI_05,4/21/2023,12:36:00,4/21/2023,12:36:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",11.9,11.9,Surface,1,,757A004,141022,44 49.3125,-62 28.7752,3.04,Self-preserve,43850,TUBES807,4.39,ng/ul,Mallory VW,,
Sample-12,ESI_08,4/21/2023,8:32:00,4/21/2023,8:32:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",114,114,Surface,1,,757A001,141004,44 40.0813,-62 20.8761,1.5,Frozen,43851,TUBES807,3.93,ng/ul,Mallory VW,,
Sample-13,ESI_05,4/21/2023,12:36:00,4/21/2023,12:36:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",11.9,11.9,Surface,3,,757A004,141024,44 49.3125,-62 28.7752,3,Frozen,43852,TUBES807,2.63,ng/ul,Mallory VW,,
Sample-14,ESI_06,4/21/2023,11:01:00,4/21/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",31.7,31.7,Bottom,1,,757A003,141013,44 46.1446,-62 26.2013,1.75,Self-preserve,43853,TUBES807,3.41,ng/ul,Mallory VW,,
Sample-15,ESI_08,4/21/2023,8:32:00,4/21/2023,8:32:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",114,114,Bottom,1,,757A001,141001,44 40.0813,-62 20.8761,3.5,Frozen,43854,TUBES807,2.57,ng/ul,Mallory VW,,
Sample-16,ESI_06,4/21/2023,11:01:00,4/21/2023,11:01:00,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade",31.7,31.7,Bottom,3,,757A003,141015,44 46.1446,-62 26.2013,1.1,Self-preserve,43855,TUBES807,3.82,ng/ul,Mallory VW,,
