sample-id	watersample	concentration	depth	surface	station	volume
#q2:types	categorical	numeric	numeric	categorical	categorical	numeric
2023SAB-01	413357	2.40	79.7		SAB_05	3.31
2023SAB-02	413365	1.68	110		SAB_08	3.21
2023SAB-03	413375	2.43	30.9		SAB_11	3.23
2023SAB-04	413377	2.91	30.9		SAB_11	3.22
2023SAB-05	413381	2.21	56.1		SAB_13	3.31
2023SAB-06	413382	1.84	56.1		SAB_13	3.2
2023SAB-07	413383	1.76	56.1		SAB_13	3.2
2023SAB-08	413384	0.292	0		BLANK	2
2023SAB-09	413386	5.99	34.7		SAB_14	3.21
2023SAB-10	413388	1.97	62.1		SAB_15	3.22
2023SAB-100	413446	1.14	79.2		SAB_30	3.09
2023SAB-101	413449	1.16	79.8		SAB_31	3.16
2023SAB-102	413450	3.26	25		SAB_60	3.58
2023SAB-103	413451	1.75	25		SAB_60	3.22
2023SAB-104	413447	1.47	79.8		SAB_31	3.15
2023SAB-105	413448	1.78	79.8		SAB_31	3.08
2023SAB-106	413452	2.58	25		SAB_60	3.29
2023SAB-107	413453	2.77	35		SAB_61	3.82
2023SAB-108	413455	2.11	35		SAB_61	3.32
2023SAB-109	413456	4.23	28		SAB_62	3.37
2023SAB-11	413389	2.56	62.1		SAB_15	3.2
2023SAB-110	413457	2.72	28		SAB_62	3.25
2023SAB-111	413458	3.69	28		SAB_62	3.25
2023SAB-112	413459	3.01	57		SAB_63	3.23
2023SAB-113	413460	2.47	57		SAB_63	3.17
2023SAB-114	413462	2.06	122		SAB_22REAL	3.61
2023SAB-115	413463	1.85	122		SAB_22REAL	3.3
2023SAB-116	413464	1.42	122		SAB_22REAL	3.28
2023SAB-117	413465	1.71	93		SAB_21REAL	3.2
2023SAB-118	413466	1.62	93		SAB_21REAL	3.19
2023SAB-119	413467	1.75	93		SAB_21REAL	3.21
2023SAB-12	413390	1.89	62.1		SAB_15	3.17
2023SAB-120	413468	2.01	148		SAB_25REAL	3.17
2023SAB-121	413469	3.05	148		SAB_25REAL	3.19
2023SAB-122	413470	1.52	148		SAB_25REAL	3.24
2023SAB-13	413391	7.00	28.9		SAB_16	3.16
2023SAB-14	413393	8.45	28.9		SAB_16	3.16
2023SAB-15	413395	2.44	59		SAB_17	3.22
2023SAB-16	413397	2.22	140.1		SAB_18	3.24
2023SAB-17	413398	3.81	140.1		SAB_18	3.22
2023SAB-18	413399	2.05	140.1		SAB_18	3.33
2023SAB-19	413400	2.47	140.1		SAB_18	3.22
2023SAB-20	413401	2.04	140.1		SAB_18	3.42
2023SAB-21	413407	12.5	143		SAB_19	3.21
2023SAB-22	413438	3.11	53		SAB_28	3.14
2023SAB-23	413343	1.4	0		BLANK	2
2023SAB-24	413344	1.48	71.7		SAB_01	3.3
2023SAB-25	413345	1.46	71.7		SAB_01	3.25
2023SAB-26	413346	2.03	71.7		SAB_01	3.37
2023SAB-27	413347	1.38	88.5		SAB_02	3.25
