materialSampleID,watersample,sampleDepth,waterColumnLocation,samplingStation,controlType,volumeFiltered,dateFiltered,timeFiltration,totalDNAconc,unitsDNAconc,eventDate,eventTime,decimalLatitude,decimalLongitude,recordedBy,tide,waterTemp,depthWaterTemp
2023SAB-01,413357,79.7,Bottom,SAB_05,,3.31,8/14/2023,10:59:00,2.4,ng/ul,8/14/2023,10:59:00,45 50.8110,59 31.4227,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-02,413365,110,Bottom,SAB_08,,3.21,8/14/2023,12:35:00,1.68,ng/ul,8/14/2023,12:35:00,45 49.5620,59 25.0054,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-03,413375,30.9,Bottom,SAB_11,,3.23,8/15/2023,13:46:00,2.43,ng/ul,8/15/2023,13:46:00,45 58.9943,59 13.8738,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-04,413377,30.9,Bottom,SAB_11,,3.22,8/15/2023,13:46:00,2.91,ng/ul,8/15/2023,13:46:00,45 58.9943,59 13.8738,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-05,413381,56.1,Bottom,SAB_13,,3.31,8/15/2023,17:38:00,2.21,ng/ul,8/15/2023,17:38:00,45 56.8813,59 29.0542,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-06,413382,56.1,Bottom,SAB_13,,3.2,8/15/2023,17:38:00,1.84,ng/ul,8/15/2023,17:38:00,45 56.8813,59 29.0542,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-07,413383,56.1,Bottom,SAB_13,,3.2,8/15/2023,17:38:00,1.76,ng/ul,8/15/2023,17:38:00,45 56.8813,59 29.0542,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-08,413384,0,BLANK,BLANK,field blank,2,8/15/2023,17:38:00,0.292,ng/ul,8/15/2023,17:38:00,NA,NA,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-09,413386,34.7,Bottom,SAB_14,,3.21,8/16/2023,10:20:00,5.99,ng/ul,8/16/2023,10:20:00,45 59.7796,59 12.4175,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-10,413388,62.1,Bottom,SAB_15,,3.22,8/16/2023,10:50:00,1.97,ng/ul,8/16/2023,10:50:00,46 00.5891,59 11.8446,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-100,413446,79.2,Bottom,SAB_30,,3.09,8/18/2023,12:07:00,1.14,ng/ul,8/18/2023,12:07:00,46 02.2520,59 20.4784,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-101,413449,79.8,Bottom,SAB_31,,3.16,8/18/2023,13:02:00,1.16,ng/ul,8/18/2023,13:02:00,46 02.5841,59 21.2320,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-102,413450,25,Bottom,SAB_60,,3.58,8/21/2023,8:39:00,3.26,ng/ul,8/21/2023,8:39:00,46 05.7437,59 38.1062,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-103,413451,25,Bottom,SAB_60,,3.22,8/21/2023,8:39:00,1.75,ng/ul,8/21/2023,8:39:00,46 05.7437,59 38.1062,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-104,413447,79.8,Bottom,SAB_31,,3.15,8/18/2023,13:02:00,1.47,ng/ul,8/18/2023,13:02:00,46 02.5841,59 21.2320,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-105,413448,79.8,Bottom,SAB_31,,3.08,8/18/2023,13:02:00,1.78,ng/ul,8/18/2023,13:02:00,46 02.5841,59 21.2320,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
