species,confidence,X2023SAB.01,X2023SAB.02,X2023SAB.03,X2023SAB.04,X2023SAB.05,X2023SAB.06,X2023SAB.07,X2023SAB.08,X2023SAB.09,X2023SAB.10,X2023SAB.100,X2023SAB.101,X2023SAB.102,X2023SAB.103,X2023SAB.104,X2023SAB.105,X2023SAB.106,X2023SAB.107,X2023SAB.108,X2023SAB.109,X2023SAB.11,X2023SAB.110,X2023SAB.111,X2023SAB.112,X2023SAB.113,X2023SAB.114,X2023SAB.115,X2023SAB.116,X2023SAB.117,X2023SAB.118,X2023SAB.119,X2023SAB.12,X2023SAB.120,X2023SAB.121,X2023SAB.122,X2023SAB.13,X2023SAB.14,X2023SAB.15,X2023SAB.16,X2023SAB.17,X2023SAB.18,X2023SAB.19,X2023SAB.20,X2023SAB.21,X2023SAB.22,X2023SAB.23,X2023SAB.24,X2023SAB.25,X2023SAB.26,X2023SAB.27,X2023SAB.28,X2023SAB.29,X2023SAB.30,X2023SAB.31,X2023SAB.32,X2023SAB.33,X2023SAB.34,X2023SAB.35,X2023SAB.36,X2023SAB.37,X2023SAB.38,X2023SAB.39,X2023SAB.40,X2023SAB.41,X2023SAB.42,X2023SAB.43,X2023SAB.44,X2023SAB.45,X2023SAB.46,X2023SAB.47,X2023SAB.48,X2023SAB.49,X2023SAB.50,X2023SAB.51,X2023SAB.52,X2023SAB.53,X2023SAB.54,X2023SAB.55,X2023SAB.56,X2023SAB.57,X2023SAB.58,X2023SAB.59,X2023SAB.60,X2023SAB.61,X2023SAB.62,X2023SAB.63,X2023SAB.64,X2023SAB.65,X2023SAB.66,X2023SAB.67,X2023SAB.68,X2023SAB.69,X2023SAB.70,X2023SAB.71,X2023SAB.72,X2023SAB.73,X2023SAB.74,X2023SAB.75,X2023SAB.76,X2023SAB.77,X2023SAB.78,X2023SAB.79,X2023SAB.80,X2023SAB.81,X2023SAB.82,X2023SAB.83,X2023SAB.84,X2023SAB.85,X2023SAB.86,X2023SAB.87,X2023SAB.88,X2023SAB.89,X2023SAB.90,X2023SAB.91,X2023SAB.92,X2023SAB.93,X2023SAB.94,X2023SAB.95,X2023SAB.96,X2023SAB.97,X2023SAB.98,X2023SAB.99,X2023SCATARIE.001,X2023SCATARIE.002,X2023SCATARIE.003
Micromonas_pusilla,1,32,0,14,12,19,15,0,0,0,11,0,0,0,16,13,20,0,0,0,0,28,17,0,0,9,0,0,0,0,0,0,31,0,0,0,17,21,18,56,71,127,0,0,0,0,0,12,0,18,16,17,13,0,0,0,0,11,10,0,12,0,14,0,0,0,0,12,13,0,16,0,0,0,13,21,0,0,0,27,11,0,0,46,34,0,0,0,0,0,0,0,17,0,0,22,0,0,0,0,0,0,0,16,19,0,0,0,0,15,11,0,0,0,0,12,0,15,14,0,0,11,18,12,14,0
Micromonas_pusilla,1,12161,873,8436,11013,6615,5637,7999,19,4371,6405,5662,3972,4163,15019,4940,6999,3437,6198,4552,2718,10643,5901,3879,5160,7459,297,187,226,1073,1755,2498,4705,306,139,154,11017,7310,7864,6650,12469,13063,793,979,5013,8383,15,7360,5674,10371,4909,4470,5462,6294,2494,5731,4611,3263,3394,9046,6587,5165,4654,4436,2562,5022,4547,8012,2173,790,884,27,6525,3869,14911,14984,7613,7802,7832,7373,7703,9729,7754,9182,10329,1254,795,678,488,2854,572,712,1070,15,11716,9895,9708,2797,3349,4570,7465,5837,8273,8067,12105,2553,1343,2819,2531,6307,4852,11241,4673,4885,8947,5904,8022,8388,3435,3597,1597,3593,5189,5132,8458,28
Micromonas_pusilla,1,227,0,169,214,158,0,0,0,0,139,0,0,0,317,0,0,0,0,0,0,174,135,131,108,0,0,0,0,0,0,0,0,0,0,0,190,0,147,0,195,0,0,0,0,169,0,153,0,263,0,0,108,0,0,0,0,0,0,143,0,156,134,0,0,0,0,149,0,0,0,0,126,119,403,245,222,0,170,222,155,223,152,0,180,0,0,0,0,0,0,0,0,0,263,178,161,0,0,0,186,144,219,0,326,0,0,0,0,0,114,237,0,0,262,142,218,205,0,0,0,0,146,108,197,0
Scomber_scombrus,1,0,0,0,0,0,0,0,0,0,0,0,0,39,14,0,0,20,28,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,83,35,50,23,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,18,10,0,53,0,0,38,0,0,0,0,0,0,0,0,0,241,0,0,0,0,17,0,0,0,0,0,0,0,0
Macoma_calcarea,1,0,0,0,0,475,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiura_robusta,1,16,90,0,21,74,124,96,0,3,127,17,32,0,10,0,24,0,0,2,0,162,0,0,0,5,0,13,5,0,0,0,125,0,0,2,234,0,160,0,0,0,43,29,0,1522,0,14,31,23,19,13,18,17,30,15,17,7,11,13,12,25,12,15,0,30,18,0,32,110,125,0,0,13,0,5,10,0,0,0,0,0,0,126,150,932,103,158,104,0,72,46,129,0,89,83,48,0,0,328,328,287,16,2,8,0,122,0,0,218,322,161,161,219,1716,1280,735,922,9,0,0,11,43,20,0,0
Terebellides_stroemii_CMC04,1,0,29,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,0,7,7,0,0,7,28,0,14,3,34,0,16,79,101,0,74,30,0,0,0,0,0,0,0,0,0,0,12,0,153,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0
Dorvillea_kastjani,1,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,43,0,80,0,64,40,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,109,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,24,0,46,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6,0
Nicomache_lumbricalis,1,10,0,0,0,0,0,55,0,0,0,0,2,0,0,0,0,3,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,24,0,6,0,14,0,0,0,9,46,11,26,32,15,14,29,0,16,20,23,116,6,0,0,27,166,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,13,3,0,0,0,4,0,0,0,0,0
Solaster_endeca,1,0,0,0,0,0,0,0,0,0,0,31,93,0,14,21,14,35,0,0,0,36,0,0,14,47,50,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,11,0,11,34,12,9,0,0,0,16,0,0,0,0,0,45,11,0,47,77,0,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,15,0,0,69,0,0,0,0,0,0,0,0,0,0,40,16,35,0,0,0,8,32,0,0,0
Micromonas_pusilla,0.99,149,0,114,150,0,84,66,0,0,0,0,0,0,62,0,0,0,0,0,0,86,62,57,0,0,0,0,0,0,0,0,0,0,0,0,91,93,70,0,0,0,0,0,0,77,0,68,54,127,58,58,59,73,0,0,0,0,0,0,0,0,55,64,0,0,0,107,0,0,44,0,0,0,173,154,119,117,100,118,139,110,0,66,114,0,0,0,0,0,0,0,0,0,127,96,124,0,0,0,0,0,0,0,95,0,0,0,0,0,119,86,0,0,119,0,110,0,0,0,0,0,72,0,90,0
Micromonas_pusilla,0.99,7257,494,7006,7972,4797,4782,6698,13,2617,4910,2820,1831,953,2920,2442,2928,842,1503,1220,1463,6420,2773,2211,1699,2495,89,69,69,654,1132,1601,4157,123,59,116,5019,4450,5492,4612,9387,8739,655,746,250,5569,0,4940,3709,6729,3859,3140,3714,4192,1466,3008,2780,2005,1873,4556,4192,3004,3117,2853,1708,3421,2502,6095,1228,418,569,9,3429,1952,10921,9946,7117,7521,6741,6549,4715,5486,3973,6626,7207,864,563,503,422,157,416,437,751,0,8200,6103,6304,115,153,171,4799,3407,3427,3315,3997,115,766,43,49,3663,3764,2450,1357,1467,5010,3863,4947,5174,1625,1751,668,1634,2597,3135,4233,8
Micromonas_pusilla,0.96,326,0,427,495,275,278,476,0,171,246,154,0,87,207,105,165,0,81,0,108,338,225,163,78,142,0,0,0,0,0,0,222,0,0,0,363,284,353,123,149,129,0,0,0,372,0,295,239,407,195,155,240,212,0,219,154,97,0,247,236,183,185,103,0,97,123,253,0,0,0,0,187,115,642,552,450,477,433,396,333,402,270,343,351,0,0,0,0,0,0,0,0,0,516,287,311,0,0,0,394,201,215,221,189,0,0,0,0,300,265,208,127,135,358,238,348,361,105,90,0,75,157,188,281,0
Micromonas_pusilla,1,9,0,0,0,0,0,0,0,0,0,0,0,68,129,0,0,45,26,0,0,0,38,14,21,34,0,8,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,0,33,22,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,9,7,0,259,283,331,16,0,22,0,23,22,0,117,68,0,0,39,32,27,24,0,7,20,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.99,0,0,4,14,0,6,0,0,15,0,0,0,54,92,0,0,23,20,10,8,0,20,11,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,99,71,98,0,0,0,26,0,0,0,62,44,7,0,49,21,21,0,0,0,0,0,9,0,0,0,4,0,0
Pista_maculata,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0,53,51,0,0,38,39,108,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pista_maculata,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,9,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninoe_nigripes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0
Orthopyxis_integra,1,0,0,10,14,0,0,0,0,135,0,0,0,23,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,14,0,0,0,7,0,0,0,0,0,0,0,29,0,0,24,0,0,0,25,17,12,10,15,33,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,46,32,0
Ophiura_sarsii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,60,65,33,0,0,22,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorgonocephalus_arcticus,1,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,18,0,245,205,285,0,0,0,0,0,1771,1967,29,0,969,362,713,0,53,24,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorgonocephalus_arcticus,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,122,70,112,0,0,0,0,0,387,586,0,0,184,102,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorgonocephalus_arcticus,1,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,109,93,0,0,0,0,0,686,462,0,0,212,136,179,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
