species,percentID,X2023SAB.01,X2023SAB.02,X2023SAB.03,X2023SAB.04,X2023SAB.05,X2023SAB.06,X2023SAB.07,X2023SAB.08,X2023SAB.09,X2023SAB.10,X2023SAB.100,X2023SAB.101,X2023SAB.102,X2023SAB.103,X2023SAB.104,X2023SAB.105,X2023SAB.106,X2023SAB.107,X2023SAB.108,X2023SAB.109,X2023SAB.11,X2023SAB.110,X2023SAB.111,X2023SAB.112,X2023SAB.113,X2023SAB.114,X2023SAB.115,X2023SAB.116,X2023SAB.117,X2023SAB.118,X2023SAB.119,X2023SAB.12,X2023SAB.120,X2023SAB.121,X2023SAB.122,X2023SAB.13,X2023SAB.14,X2023SAB.15,X2023SAB.16,X2023SAB.17,X2023SAB.18,X2023SAB.19,X2023SAB.20,X2023SAB.21,X2023SAB.22,X2023SAB.23,X2023SAB.24,X2023SAB.25,X2023SAB.26,X2023SAB.27,X2023SAB.28,X2023SAB.29,X2023SAB.30,X2023SAB.31,X2023SAB.32,X2023SAB.33,X2023SAB.34,X2023SAB.35,X2023SAB.36,X2023SAB.37,X2023SAB.38,X2023SAB.39,X2023SAB.40,X2023SAB.41,X2023SAB.42,X2023SAB.43,X2023SAB.44,X2023SAB.45,X2023SAB.46,X2023SAB.47,X2023SAB.48,X2023SAB.49,X2023SAB.50,X2023SAB.51,X2023SAB.52,X2023SAB.53,X2023SAB.54,X2023SAB.55,X2023SAB.56,X2023SAB.57,X2023SAB.58,X2023SAB.59,X2023SAB.60,X2023SAB.61,X2023SAB.62,X2023SAB.63,X2023SAB.64,X2023SAB.65,X2023SAB.66,X2023SAB.67,X2023SAB.68,X2023SAB.69,X2023SAB.70,X2023SAB.71,X2023SAB.72,X2023SAB.73,X2023SAB.74,X2023SAB.75,X2023SAB.76,X2023SAB.77,X2023SAB.78,X2023SAB.79,X2023SAB.80,X2023SAB.81,X2023SAB.82,X2023SAB.83,X2023SAB.84,X2023SAB.85,X2023SAB.86,X2023SAB.87,X2023SAB.88,X2023SAB.89,X2023SAB.90,X2023SAB.91,X2023SAB.92,X2023SAB.93,X2023SAB.94,X2023SAB.95,X2023SAB.96,X2023SAB.97,X2023SAB.98,X2023SAB.99,X2023SCATARIE.001,X2023SCATARIE.002,X2023SCATARIE.003,X807.ENEG.2,X843.ENEG.1,X843.ENEG.2,X872.ENEG.2,X873.ENEG.1,X874.ENEG.1,X874.ENEG.2,X875.ENEG.1,X875.ENEG.2,X876.ENEG.1,X876.ENEG.2,X877.ENEG.1,X877.ENEG.2
Anarhichas denticulatus,99.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,99.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,99.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,99.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,99.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,99.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,99.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,99.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,100,0,95,0,3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,5904,0,0,15863,0,5164,0,0,0,1599,410,0,0,5918,0,0,0,0,0,0,0,0,0,0,2481,0,0,0,2093,0,0,0,36,0,0,0,0,10774,0,0,0,0,2304,1549,20,0,0,0,0,0,0,2644,0,0,0,6325,0,0,0,0,0,2531,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15247,0,2535,0,1371,0,0,0,2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,99.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
