Event,Station,Set_Number,INSTRUMENT,MIN_LAT,MIN_LON,MAX_LAT,MAX_LON,SDATE,STIME,EDATE,ETIME,Duration,NAME,DESCRIPTOR,Elapsed_Time
1.0,HL2,1,CTD,44.260866666666665,-63.33068333333333,44.26335,-63.33068333333333,2023-06-29,16:20:14,2023-06-29,16:55:52,0:35:37,CAR-2023-011,,??
2.0,HL2,1,RingNet,44.2567,-63.35228333333333,44.25805,-63.35228333333333,2023-06-29,17:45:10,2023-06-29,17:55:43,0:10:33,CAR-2023-011,,??
3.0,HL2,1,RingNet,44.2574,-63.33123333333333,44.2599,-63.33123333333333,2023-06-29,18:22:54,2023-06-29,18:32:00,0:09:06,CAR-2023-011,,??
4.0,565,2,CTD,44.1105,-63.57535,44.11533333333333,-63.57535,2023-06-29,21:10:09,2023-06-29,21:31:38,0:21:28,CAR-2023-011,,??
5.0,135,3,CTD,43.82975,-63.454166666666666,43.83495,-63.454166666666666,2023-06-30,01:13:55,2023-06-30,01:43:28,0:29:33,CAR-2023-011,,??
6.0,154,5,CTD,43.603233333333336,-64.58628333333333,43.605783333333335,-64.58628333333333,2023-06-30,08:15:19,2023-06-30,08:36:11,0:20:52,CAR-2023-011,,??
7.0,145,6,CTD,43.42848333333333,-64.62905,43.42863333333333,-64.62905,2023-06-30,11:45:10,2023-06-30,12:07:55,0:22:44,CAR-2023-011,,??
8.0,145,6,RingNet,43.430033333333334,-64.62671666666667,43.4302,-64.62671666666667,2023-06-30,12:25:13,2023-06-30,12:28:00,0:02:46,CAR-2023-011,,??
9.0,978,7,CTD,43.313583333333334,-64.63911666666667,43.31765,-64.63911666666667,2023-06-30,14:44:09,2023-06-30,15:06:25,0:22:16,CAR-2023-011,,??
10.0,151,8,CTD,43.087583333333335,-65.00875,43.088966666666664,-65.00875,2023-06-30,18:52:55,2023-06-30,19:19:17,0:26:22,CAR-2023-011,,??
11.0,150,9,CTD,43.116816666666665,-65.14875,43.11708333333333,-65.14875,2023-06-30,20:59:31,2023-06-30,21:27:30,0:27:58,CAR-2023-011,,??
12.0,152,10,CTD,43.193,-65.27625,43.1945,-65.27625,2023-06-30,23:01:10,2023-06-30,23:23:28,0:22:18,CAR-2023-011,,??
13.0,153,11,CTD,43.06753333333333,-65.25903333333333,43.06955,-65.25903333333333,2023-07-01,01:09:17,2023-07-01,01:33:42,0:24:25,CAR-2023-011,,??
14.0,175,12,CTD,42.87178333333333,-65.48736666666667,42.87526666666667,-65.48736666666667,2023-07-01,04:17:47,2023-07-01,04:44:33,0:26:45,CAR-2023-011,,??
15.0,175,12,RingNet,42.86965,-65.48058333333333,42.872766666666664,-65.48058333333333,2023-07-01,04:51:48,2023-07-01,05:01:40,0:09:51,CAR-2023-011,,??
16.0,167,15,CTD,42.58935,-65.78355,42.59001666666666,-65.78355,2023-07-01,14:46:15,2023-07-01,15:03:27,0:17:12,CAR-2023-011,,??
17.0,167,15,RingNet,42.589016666666666,-65.77958333333333,42.590666666666664,-65.77958333333333,2023-07-01,15:20:27,2023-07-01,15:34:39,0:14:11,CAR-2023-011,,??
18.0,163,16,CTD,42.624383333333334,-65.8672,42.626266666666666,-65.8672,2023-07-01,17:03:31,2023-07-01,17:26:26,0:22:54,CAR-2023-011,,??
19.0,166,17,CTD,42.725766666666665,-65.93258333333333,42.7289,-65.93258333333333,2023-07-01,19:11:00,2023-07-01,19:34:58,0:23:58,CAR-2023-011,,??
20.0,165,18,CTD,42.7519,-66.08406666666667,42.75725,-66.08406666666667,2023-07-01,21:39:34,2023-07-01,22:00:49,0:21:15,CAR-2023-011,,??
21.0,168,19,CTD,42.78358333333333,-66.21731666666666,42.78693333333333,-66.21731666666666,2023-07-02,00:10:27,2023-07-02,00:24:20,0:13:52,CAR-2023-011,,??
22.0,176,20,CTD,42.87585,-66.15416666666667,42.87643333333333,-66.15416666666667,2023-07-02,02:44:09,2023-07-02,03:06:34,0:22:25,CAR-2023-011,,??
23.0,188,21,CTD,43.0271,-67.22823333333334,43.03008333333333,-67.22823333333334,2023-07-02,13:51:04,2023-07-02,14:18:11,0:27:07,CAR-2023-011,,??
24.0,199,22,CTD,43.185266666666664,-66.97331666666666,43.19145,-66.97331666666666,2023-07-02,16:40:00,2023-07-02,17:10:51,0:30:51,CAR-2023-011,,??
25.0,187,23,CTD,43.25921666666667,-67.10371666666667,43.260333333333335,-67.10371666666667,2023-07-02,19:07:25,2023-07-02,19:36:21,0:28:55,CAR-2023-011,,??
26.0,194,24,CTD,43.3289,-66.76358333333333,43.33638333333333,-66.76358333333333,2023-07-02,21:46:54,2023-07-02,22:11:27,0:24:32,CAR-2023-011,,??
27.0,194,24,RingNet,43.3357,-66.76343333333334,43.33878333333333,-66.76343333333334,2023-07-02,22:22:26,2023-07-02,22:37:21,0:14:54,CAR-2023-011,,??
28.0,198,25,CTD,43.574783333333336,-66.93151666666667,43.58505,-66.93151666666667,2023-07-03,00:57:49,2023-07-03,01:26:58,0:29:09,CAR-2023-011,,??
29.0,200,26,CTD,43.6843,-66.65775,43.6857,-66.65775,2023-07-03,07:19:07,2023-07-03,07:44:55,0:25:47,CAR-2023-011,,??
30.0,594,27,CTD,44.18683333333333,-66.67585,44.189283333333336,-66.67585,2023-07-03,15:35:15,2023-07-03,15:57:03,0:21:48,CAR-2023-011,,??
31.0,196,28,CTD,44.15938333333333,-66.52215,44.168816666666665,-66.52215,2023-07-03,17:47:07,2023-07-03,18:08:57,0:21:50,CAR-2023-011,,??
32.0,212,29,CTD,44.352783333333335,-67.03356666666667,44.3528,-67.03356666666667,2023-07-05,17:15:12,2023-07-05,17:44:16,0:29:04,CAR-2023-011,,??
33.0,206,30,CTD,44.0271,-66.91048333333333,44.0341,-66.91048333333333,2023-07-05,20:48:10,2023-07-05,21:15:58,0:27:48,CAR-2023-011,,??
34.0,195,31,CTD,43.801,-67.14746666666667,43.80108333333333,-67.14746666666667,2023-07-05,23:44:03,2023-07-06,00:09:18,0:25:14,CAR-2023-011,,??
35.0,186,32,CTD,43.58705,-67.38673333333334,43.59815,-67.38673333333334,2023-07-06,02:43:22,2023-07-06,03:10:20,0:26:57,CAR-2023-011,,??
36.0,190,33,CTD,43.24903333333334,-67.47025,43.252183333333335,-67.47025,2023-07-06,07:00:54,2023-07-06,07:33:30,0:32:36,CAR-2023-011,,??
37.0,190,33,RingNet,43.24655,-67.45686666666667,43.24721666666667,-67.45686666666667,2023-07-06,07:47:59,2023-07-06,08:01:34,0:13:34,CAR-2023-011,,??
38.0,191,34,CTD,43.03916666666667,-67.55276666666667,43.039966666666665,-67.55276666666667,2023-07-06,10:48:55,2023-07-06,11:19:07,0:30:11,CAR-2023-011,,??
39.0,179,35,CTD,42.68183333333333,-67.47801666666666,42.683616666666666,-67.47801666666666,2023-07-06,14:56:32,2023-07-06,15:32:01,0:35:29,CAR-2023-011,,??
40.0,179,35,RingNet,42.679066666666664,-67.48253333333334,42.680166666666665,-67.48253333333334,2023-07-06,15:38:56,2023-07-06,15:53:50,0:14:54,CAR-2023-011,,??
41.0,183,36,CTD,42.393566666666665,-67.35251666666667,42.394533333333335,-67.35251666666667,2023-07-06,17:56:44,2023-07-06,18:37:42,0:40:57,CAR-2023-011,,??
42.0,184,37,CTD,42.57501666666667,-67.07121666666667,42.58161666666667,-67.07121666666667,2023-07-07,03:37:01,2023-07-07,04:06:47,0:29:45,CAR-2023-011,,??
43.0,182,38,CTD,42.64091666666667,-66.93208333333334,42.643366666666665,-66.93208333333334,2023-07-07,06:06:44,2023-07-07,06:35:34,0:28:49,CAR-2023-011,,??
44.0,254,39,CTD,42.214133333333336,-65.98645,42.2195,-65.98645,2023-07-08,10:46:40,2023-07-08,11:22:51,0:36:11,CAR-2023-011,,??
45.0,254,39,RingNet,42.213683333333336,-65.96358333333333,42.2143,-65.96358333333333,2023-07-08,11:31:18,2023-07-08,11:42:20,0:11:02,CAR-2023-011,,??
46.0,180,40,CTD,42.1523,-65.63963333333334,42.15946666666667,-65.63963333333334,2023-07-08,15:50:12,2023-07-08,16:24:56,0:34:44,CAR-2023-011,,??
47.0,180,40,RingNet,42.162283333333335,-65.64558333333333,42.1665,-65.64558333333333,2023-07-08,16:32:11,2023-07-08,16:45:56,0:13:44,CAR-2023-011,,??
48.0,170,41,CTD,42.18745,-65.46611666666666,42.1927,-65.46611666666666,2023-07-08,18:39:33,2023-07-08,19:03:39,0:24:05,CAR-2023-011,,??
49.0,986,42,CTD,42.218716666666666,-65.31661666666666,42.22083333333333,-65.31661666666666,2023-07-08,21:15:45,2023-07-08,21:52:39,0:36:54,CAR-2023-011,,??
50.0,583,43,CTD,42.429433333333336,-65.31213333333334,42.43566666666667,-65.31213333333334,2023-07-08,23:59:57,2023-07-09,00:21:43,0:21:45,CAR-2023-011,,??
51.0,172,44,CTD,42.60293333333333,-65.31933333333333,42.605916666666666,-65.31933333333333,2023-07-09,02:14:27,2023-07-09,02:37:39,0:23:12,CAR-2023-011,,??
52.0,172,44,RingNet,42.60695,-65.32226666666666,42.607216666666666,-65.32226666666666,2023-07-09,02:45:23,2023-07-09,02:53:23,0:07:59,CAR-2023-011,,??
53.0,159,45,CTD,42.51255,-65.17683333333333,42.51495,-65.17683333333333,2023-07-09,04:44:35,2023-07-09,05:10:35,0:25:59,CAR-2023-011,,??
54.0,160,46,CTD,42.81125,-65.02146666666667,42.81531666666667,-65.02146666666667,2023-07-09,08:00:39,2023-07-09,08:29:38,0:28:58,CAR-2023-011,,??
55.0,572,48,CTD,42.9756,-64.81125,42.9767,-64.81125,2023-07-09,14:32:04,2023-07-09,14:49:56,0:17:51,CAR-2023-011,,??
56.0,147,49,CTD,43.0043,-64.67085,43.0055,-64.67085,2023-07-09,16:54:56,2023-07-09,17:14:40,0:19:44,CAR-2023-011,,??
57.0,155,50,CTD,42.9742,-64.41403333333334,42.97723333333333,-64.41403333333334,2023-07-09,19:26:46,2023-07-09,19:51:31,0:24:45,CAR-2023-011,,??
58.0,HL2,51,CTD,44.2553,-63.322316666666666,44.25635,-63.322316666666666,2023-07-10,05:46:17,2023-07-10,06:09:17,0:23:00,CAR-2023-011,,??
59.0,HL2,51,RingNet,44.2544,-63.3251,44.25495,-63.3251,2023-07-10,06:15:19,2023-07-10,06:22:46,0:07:26,CAR-2023-011,,??
60.0,HL2,51,RingNet,44.25386666666667,-63.32675,44.254266666666666,-63.32675,2023-07-10,06:27:49,2023-07-10,06:36:06,0:08:16,CAR-2023-011,,??
