basket_wt_kg,catch_id,creation_date,id,last_modified_date,mission_number,sampled,set_number,size_class,size_class_display,species_aphia_id,species_code,species_en,species_fr,species_scientific,species_uuid
5.03,809,2023-06-29 05:03:12 UTC,840,2023-06-29 05:03:12 UTC,TEL-2023-010,Yes,1,1,1,126437,11,HADDOCK,Aiglefin,Melanogrammus aeglefinus,2a595a64-620c-4678-838e-d69cc81ffecd
4.58,813,2023-06-29 05:09:10 UTC,844,2023-06-29 05:09:10 UTC,TEL-2023-010,Yes,1,1,1,126504,12,WHITE HAKE,Merluche blanche,Urophycis tenuis,8e60de8c-89fd-416d-8d5d-9f9e6d72c47c
4.48,812,2023-06-29 05:08:39 UTC,843,2023-06-29 05:08:39 UTC,TEL-2023-010,Yes,1,1,1,126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,Urophycis chuss,5976e380-8d3d-4038-8806-83434953a43a
11.74,807,2023-06-29 05:02:34 UTC,838,2023-06-29 05:02:34 UTC,TEL-2023-010,Yes,1,1,1,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
17.05,808,2023-06-29 05:03:00 UTC,839,2023-06-29 05:03:00 UTC,TEL-2023-010,Yes,1,1,1,126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),Sebastes sp.,9c123bf6-1e90-4a49-a311-fdbb0b43a83b
0.705,816,2023-06-29 05:10:52 UTC,847,2023-06-29 05:10:52 UTC,TEL-2023-010,Yes,1,1,1,127138,30,HALIBUT ATLANTIC,Flétan Atlantique,Hippoglossus hippoglossus,dbf46c6f-f6dc-4c38-93bf-437d34ff9beb
0.52,810,2023-06-29 05:03:31 UTC,841,2023-06-29 06:15:01 UTC,TEL-2023-010,Yes,1,1,1,127137,40,AMERICAN PLAICE,Plie canadienne,Hippoglossoides platessoides,6122d593-0a34-4591-8ab6-65f693d17cc7
0.677,827,2023-06-29 06:15:37 UTC,859,2023-06-29 06:15:37 UTC,TEL-2023-010,Yes,1,1,1,127136,41,WITCH FLOUNDER,Plie grise,Glyptocephalus cynoglossus,c665a6f0-abf2-43ff-98b1-5698d3e4c820
3.38,811,2023-06-29 05:03:46 UTC,842,2023-06-29 05:03:46 UTC,TEL-2023-010,Yes,1,1,1,126417,60,HERRING ATLANTIC,Hareng atlantique,Clupea harengus,5d02abb7-3748-44b9-83cf-d72cdeaa02ac
0.002,826,2023-06-29 05:36:00 UTC,858,2023-06-29 05:36:00 UTC,TEL-2023-010,Yes,1,1,1,126453,115,THREEBEARD ROCKLING,Mustèle arctique à trois barbillons,Gaidropsarus ensis,0a10df32-913d-4afd-8313-ce49a45651d6
0.321,815,2023-06-29 05:10:35 UTC,846,2023-06-29 05:10:35 UTC,TEL-2023-010,Yes,1,1,1,158554,202,SMOOTH SKATE,Raie lisse (à queue de velours),Malacoraja senta,21266650-58f7-4d8b-b96c-d40ee2436677
0.667,817,2023-06-29 05:11:09 UTC,848,2023-06-29 05:11:09 UTC,TEL-2023-010,Yes,1,1,1,159184,400,"MONKFISH,GOOSEFISH,ANGLER",Baudroie d'Amérique,Lophius americanus,eb394776-0410-4c53-aa21-a3a4b0aba073
0.106,820,2023-06-29 05:19:53 UTC,851,2023-06-29 05:20:19 UTC,TEL-2023-010,Yes,1,1,1,159267,640,OCEAN POUT,Loquette d'Amérique,Zoarces americanus,c7c8eaa5-b522-4315-8cca-3065928f135e
0.005,825,2023-06-29 05:33:25 UTC,857,2023-06-29 05:33:25 UTC,TEL-2023-010,No,1,1,1,107651,2212,"Striped Pink Shrimp, Aesop Shrimp",Crevette ésope,Pandalus montagui,31b2e6a0-c86e-40bf-88b2-15b058f18bf7
0.0,824,2023-06-29 05:32:51 UTC,855,2023-06-29 05:32:51 UTC,TEL-2023-010,No,1,1,1,158356,2214,Bristled longbeak shrimp,Crevette - Dichelopandalus leptocerus,Dichelopandalus leptocerus,0a120f9d-714f-48bc-925f-b39b246f8f17
0.337,824,2023-06-29 05:32:56 UTC,856,2023-06-29 05:32:56 UTC,TEL-2023-010,No,1,1,1,158356,2214,Bristled longbeak shrimp,Crevette - Dichelopandalus leptocerus,Dichelopandalus leptocerus,0a120f9d-714f-48bc-925f-b39b246f8f17
2.6,819,2023-06-29 05:19:36 UTC,850,2023-06-29 05:19:36 UTC,TEL-2023-010,Yes,1,1,1,158056,2511,JONAH CRAB,Crabe tourteau boreal,Cancer borealis,cdfcf0a9-f001-42b3-b1d4-6864a26ff297
0.601,818,2023-06-29 05:17:52 UTC,849,2023-06-29 05:17:52 UTC,TEL-2023-010,Yes,1,1,1,107315,2526,SNOW CRAB  QUEEN; INCL CHIONOECETES SP,Crabe des neiges,Chionoecetes opilio,2dae73fa-62b1-4606-8af9-9272cc9b551d
1.359,814,2023-06-29 05:10:11 UTC,845,2023-06-29 05:10:11 UTC,TEL-2023-010,Yes,1,1,1,156134,2550,AMERICAN LOBSTER,Homard américain,Homarus americanus,fa1d2e4f-ecf5-414f-a342-c3aa3c346bd2
0.834,822,2023-06-29 05:22:38 UTC,853,2023-06-29 05:22:49 UTC,TEL-2023-010,No,1,1,1,123915,6115,MUD STAR,Étoile de mer (C. crispatus),Ctenodiscus crispatus,09d8152f-17d3-4565-8684-4691d258f4f3
0.265,823,2023-06-29 05:25:50 UTC,854,2023-06-29 05:25:50 UTC,TEL-2023-010,No,1,1,1,100709,8216,Sea Anemones (Actinostola sp.),Anémones de mer (Actinostola sp.),Actinostola sp.,7224aa1b-9075-11ec-8fd9-a08cfde36583
0.039,821,2023-06-29 05:20:42 UTC,852,2023-06-29 05:20:42 UTC,TEL-2023-010,No,1,1,1,135220,8500,JELLYFISHES,Méduse non-spécifié (Scyphozoa),Scyphozoa (c.),0201c618-97bd-47d6-9a2a-3520ebb5f770
0.005,828,2023-06-29 06:31:05 UTC,860,2023-06-29 06:31:05 UTC,TEL-2023-010,No,1,1,1,,9991,FIRST UNIDENTIFIED PER SET; UNIDENTIFIED,,,1ba6f374-ec91-410b-bceb-296f503edc78
5.0,835,2023-06-29 12:04:31 UTC,873,2023-06-29 12:04:31 UTC,TEL-2023-010,Yes,3,1,1,126437,11,HADDOCK,Aiglefin,Melanogrammus aeglefinus,2a595a64-620c-4678-838e-d69cc81ffecd
3.013,830,2023-06-29 12:01:03 UTC,862,2023-06-29 13:16:11 UTC,TEL-2023-010,Yes,3,1,1,126504,12,WHITE HAKE,Merluche blanche,Urophycis tenuis,8e60de8c-89fd-416d-8d5d-9f9e6d72c47c
2.42,832,2023-06-29 12:01:27 UTC,864,2023-06-29 12:08:10 UTC,TEL-2023-010,Yes,3,1,1,126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,Urophycis chuss,5976e380-8d3d-4038-8806-83434953a43a
0.387,832,2023-06-29 13:16:11 UTC,892,2023-06-29 13:16:11 UTC,TEL-2023-010,Yes,3,1,1,126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,Urophycis chuss,5976e380-8d3d-4038-8806-83434953a43a
18.12,833,2023-06-29 12:02:01 UTC,865,2023-06-29 12:02:01 UTC,TEL-2023-010,Yes,3,1,1,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
24.26,833,2023-06-29 12:02:36 UTC,866,2023-06-29 12:02:36 UTC,TEL-2023-010,Yes,3,2,2,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
12.74,833,2023-06-29 12:03:03 UTC,867,2023-06-29 13:18:25 UTC,TEL-2023-010,No,3,2,2,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
17.26,833,2023-06-29 12:03:22 UTC,868,2023-06-29 12:03:22 UTC,TEL-2023-010,No,3,2,2,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
23.57,833,2023-06-29 12:03:38 UTC,869,2023-06-29 12:03:38 UTC,TEL-2023-010,No,3,2,2,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
17.36,833,2023-06-29 12:03:48 UTC,870,2023-06-29 12:03:48 UTC,TEL-2023-010,No,3,2,2,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
18.52,833,2023-06-29 12:03:58 UTC,871,2023-06-29 12:03:58 UTC,TEL-2023-010,No,3,2,2,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
1.37,829,2023-06-29 12:00:46 UTC,861,2023-06-29 12:00:46 UTC,TEL-2023-010,Yes,3,1,1,126441,16,POLLOCK,Goberge,Pollachius virens,12868fea-63cc-4e2a-8ac6-8ef21ba5eca1
11.83,834,2023-06-29 12:04:18 UTC,872,2023-06-29 12:04:18 UTC,TEL-2023-010,Yes,3,1,1,126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),Sebastes sp.,9c123bf6-1e90-4a49-a311-fdbb0b43a83b
0.424,838,2023-06-29 12:07:21 UTC,876,2023-06-29 12:07:21 UTC,TEL-2023-010,Yes,3,1,1,127138,30,HALIBUT ATLANTIC,Flétan Atlantique,Hippoglossus hippoglossus,dbf46c6f-f6dc-4c38-93bf-437d34ff9beb
0.014,848,2023-06-29 12:14:51 UTC,886,2023-06-29 12:14:51 UTC,TEL-2023-010,Yes,3,1,1,158791,44,GULF STREAM FLOUNDER,Turbot du Gulf Stream,Citharichthys arctifrons,0080c5dd-773b-41d9-9296-627a9774e5e3
0.176,839,2023-06-29 12:07:33 UTC,877,2023-06-29 12:07:33 UTC,TEL-2023-010,Yes,3,1,1,126417,60,HERRING ATLANTIC,Hareng atlantique,Clupea harengus,5d02abb7-3748-44b9-83cf-d72cdeaa02ac
0.256,842,2023-06-29 12:09:48 UTC,880,2023-06-29 12:09:48 UTC,TEL-2023-010,Yes,3,1,1,158670,61,SHAD AMERICAN,Alose savoureuse,Alosa sapidissima,70a39611-09c3-4905-bcc1-c06548fbf372
