catch_ratio,created_at,id,is_parent,mission_number,notes,parent_catch,parent_catch_id,relative_abundance_category,relative_abundance_category_id,set_number,species,species_aphia_id,species_code,species_en,species_fr,species_scientific,species_uuid,specimen_count,unweighed_baskets
,2023-06-29 05:03:07 UTC,809,No,TEL-2023-010,,,,,,1,HADDOCK,126437,11,HADDOCK,Aiglefin,Melanogrammus aeglefinus,2a595a64-620c-4678-838e-d69cc81ffecd,,
,2023-06-29 05:09:00 UTC,813,No,TEL-2023-010,,,,,,1,WHITE HAKE,126504,12,WHITE HAKE,Merluche blanche,Urophycis tenuis,8e60de8c-89fd-416d-8d5d-9f9e6d72c47c,,
,2023-06-29 05:08:32 UTC,812,No,TEL-2023-010,,,,,,1,SQUIRREL OR RED HAKE,126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,Urophycis chuss,5976e380-8d3d-4038-8806-83434953a43a,,
,2023-06-29 05:02:23 UTC,807,No,TEL-2023-010,,,,,,1,SILVER HAKE,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7,,
,2023-06-29 05:02:54 UTC,808,No,TEL-2023-010,,,,,,1,REDFISH UNSEPARATED,126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),Sebastes sp.,9c123bf6-1e90-4a49-a311-fdbb0b43a83b,,
,2023-06-29 05:10:40 UTC,816,No,TEL-2023-010,,,,,,1,HALIBUT ATLANTIC,127138,30,HALIBUT ATLANTIC,Flétan Atlantique,Hippoglossus hippoglossus,dbf46c6f-f6dc-4c38-93bf-437d34ff9beb,,
,2023-06-29 05:03:28 UTC,810,No,TEL-2023-010,,,,,,1,AMERICAN PLAICE,127137,40,AMERICAN PLAICE,Plie canadienne,Hippoglossoides platessoides,6122d593-0a34-4591-8ab6-65f693d17cc7,,
,2023-06-29 06:15:24 UTC,827,No,TEL-2023-010,,,,,,1,WITCH FLOUNDER,127136,41,WITCH FLOUNDER,Plie grise,Glyptocephalus cynoglossus,c665a6f0-abf2-43ff-98b1-5698d3e4c820,,
,2023-06-29 05:03:41 UTC,811,No,TEL-2023-010,,,,,,1,HERRING ATLANTIC,126417,60,HERRING ATLANTIC,Hareng atlantique,Clupea harengus,5d02abb7-3748-44b9-83cf-d72cdeaa02ac,,
,2023-06-29 05:35:44 UTC,826,No,TEL-2023-010,,,,,,1,THREEBEARD ROCKLING,126453,115,THREEBEARD ROCKLING,Mustèle arctique à trois barbillons,Gaidropsarus ensis,0a10df32-913d-4afd-8313-ce49a45651d6,,
