set_number,event_type,latitude,longitude,created_at
1,net recovered,44.23572961333333,-63.814324543333335,2023-06-29 04:18:11 UTC
1,door recovered,44.23562478666667,-63.809493143333334,2023-06-29 04:14:11 UTC
1,net off bottom,44.23562589833333,-63.809470338333334,2023-06-29 04:14:09 UTC
1,haul back,44.23553887166667,-63.807827878333335,2023-06-29 04:10:43 UTC
1,net on bottom,44.25980956666667,-63.786352156666666,2023-06-29 03:41:16 UTC
1,warp deployed,44.260020886666666,-63.786154311666664,2023-06-29 03:41:01 UTC
1,doors deployed,44.268897435,-63.77950583333333,2023-06-29 03:34:38 UTC
1,net deployed,44.270367558333334,-63.77851862,2023-06-29 03:32:44 UTC
2,aborted,44.22241406166667,-63.87461457166667,2023-06-29 07:59:06 UTC
2,haul back,44.222347105,-63.87477529666667,2023-06-29 07:58:53 UTC
2,net on bottom,44.216743405,-63.88805696,2023-06-29 07:47:31 UTC
2,warp deployed,44.21667205666667,-63.888246335,2023-06-29 07:47:22 UTC
2,doors deployed,44.212195601666664,-63.898989935,2023-06-29 07:41:48 UTC
2,net deployed,44.21105952166667,-63.90082775,2023-06-29 07:39:19 UTC
3,net recovered,44.028148735,-63.84524847,2023-06-29 11:32:25 UTC
3,door recovered,44.03139659,-63.83710855333333,2023-06-29 11:24:41 UTC
3,net off bottom,44.03140126,-63.83633287166667,2023-06-29 11:22:45 UTC
3,haul back,44.03185259333333,-63.835411683333334,2023-06-29 11:19:51 UTC
3,net on bottom,44.054257701666664,-63.81242475166667,2023-06-29 10:50:45 UTC
3,warp deployed,44.054853205,-63.81185412833333,2023-06-29 10:49:57 UTC
3,doors deployed,44.06500071,-63.803843273333335,2023-06-29 10:43:25 UTC
3,net deployed,44.06677221166667,-63.80225665,2023-06-29 10:40:59 UTC
4,net recovered,43.90942435833333,-63.46000892333333,2023-06-29 15:15:16 UTC
4,door recovered,43.90938228833333,-63.467709768333336,2023-06-29 15:08:12 UTC
4,net off bottom,43.90964359833333,-63.470159735,2023-06-29 15:04:39 UTC
4,haul back,43.91017090166667,-63.47160669833333,2023-06-29 15:02:47 UTC
4,net on bottom,43.925983511666665,-63.504613516666666,2023-06-29 14:33:17 UTC
4,warp deployed,43.926331805,-63.505339461666665,2023-06-29 14:32:45 UTC
4,doors deployed,43.93207621,-63.5185355,2023-06-29 14:26:21 UTC
4,net deployed,43.932842265,-63.521151726666666,2023-06-29 14:24:19 UTC
5,net recovered,44.11275918,-63.54666507,2023-06-29 20:34:56 UTC
5,door recovered,44.11367827666667,-63.54306248666666,2023-06-29 20:32:06 UTC
5,net off bottom,44.11412854833333,-63.54122918666667,2023-06-29 20:29:30 UTC
5,haul back,44.11479614,-63.53953293833333,2023-06-29 20:27:04 UTC
5,net on bottom,44.13316871833333,-63.507773406666665,2023-06-29 19:57:08 UTC
5,warp deployed,44.13324335666667,-63.50766050666667,2023-06-29 19:57:04 UTC
5,doors deployed,44.14065936833333,-63.49604401333333,2023-06-29 19:51:13 UTC
5,net deployed,44.141678088333336,-63.493958505,2023-06-29 19:49:22 UTC
6,net recovered,43.832913555,-63.45257866,2023-06-29 23:46:29 UTC
6,door recovered,43.834427185,-63.45152319666666,2023-06-29 23:44:04 UTC
6,net off bottom,43.83614498,-63.450766046666665,2023-06-29 23:40:28 UTC
6,haul back,43.837205795,-63.450321501666664,2023-06-29 23:38:51 UTC
6,net on bottom,43.86384562,-63.440947253333334,2023-06-29 23:10:42 UTC
6,warp deployed,43.86562227833333,-63.440368975,2023-06-29 23:08:49 UTC
6,doors deployed,43.876762068333335,-63.43725557,2023-06-29 23:02:40 UTC
6,net deployed,43.878120151666664,-63.437389215,2023-06-29 23:01:10 UTC
7,net recovered,43.776464335,-63.968619718333336,2023-06-30 03:36:52 UTC
7,door recovered,43.77541789666667,-63.97179402333333,2023-06-30 03:33:59 UTC
7,net off bottom,43.77495348666667,-63.97280186166667,2023-06-30 03:31:12 UTC
7,haul back,43.77467434,-63.973881076666665,2023-06-30 03:28:37 UTC
7,net on bottom,43.772101631666665,-64.00564064833334,2023-06-30 03:05:23 UTC
7,warp deployed,43.771545956666664,-64.01322971,2023-06-30 03:00:01 UTC
7,doors deployed,43.77054008166667,-64.03284484333334,2023-06-30 02:51:58 UTC
7,net deployed,43.77013719333333,-64.03612878666667,2023-06-30 02:49:06 UTC
8,net recovered,43.61698562666667,-64.58363892333334,2023-06-30 08:02:05 UTC
8,door recovered,43.61664417833333,-64.58589788166667,2023-06-30 07:59:34 UTC
8,net off bottom,43.61652332166667,-64.58675491333334,2023-06-30 07:57:18 UTC
8,haul back,43.616291975,-64.58776013333333,2023-06-30 07:55:21 UTC
8,net on bottom,43.606104333333334,-64.62371297333334,2023-06-30 07:26:12 UTC
8,warp deployed,43.60577201666667,-64.62494772,2023-06-30 07:25:14 UTC
8,doors deployed,43.60152578,-64.63763804833333,2023-06-30 07:19:27 UTC
8,net deployed,43.60102847,-64.63978211833333,2023-06-30 07:17:26 UTC
9,net recovered,43.413165525,-64.63079457333333,2023-06-30 11:45:26 UTC
9,door recovered,43.41469045,-64.63430991,2023-06-30 11:41:51 UTC
9,net off bottom,43.415313176666665,-64.63550121333333,2023-06-30 11:39:51 UTC
9,haul back,43.415820413333336,-64.63620690333333,2023-06-30 11:38:16 UTC
9,net on bottom,43.43654597166667,-64.66485543333333,2023-06-30 11:08:25 UTC
9,warp deployed,43.43668601,-64.665018815,2023-06-30 11:08:17 UTC
9,doors deployed,43.44109665,-64.671455785,2023-06-30 11:04:31 UTC
9,net deployed,43.44253697833334,-64.67290113166666,2023-06-30 11:02:24 UTC
10,net recovered,43.325539541666664,-64.63226248833334,2023-06-30 14:20:41 UTC
10,door recovered,43.32512267833334,-64.633850225,2023-06-30 14:19:11 UTC
10,net off bottom,43.32494860333333,-64.63524852166667,2023-06-30 14:16:46 UTC
10,haul back,43.32469294,-64.63615108666667,2023-06-30 14:15:13 UTC
10,net on bottom,43.31093456,-64.670807605,2023-06-30 13:46:05 UTC
10,warp deployed,43.31056432166667,-64.67193272833333,2023-06-30 13:45:15 UTC
10,doors deployed,43.307188923333335,-64.68079030333334,2023-06-30 13:40:53 UTC
10,net deployed,43.306238665,-64.68352538833334,2023-06-30 13:38:39 UTC
11,net recovered,43.086263751666664,-65.00933158,2023-06-30 18:40:48 UTC
11,door recovered,43.08639227,-65.00544923166666,2023-06-30 18:37:49 UTC
11,net off bottom,43.086539386666665,-65.00393298166667,2023-06-30 18:35:31 UTC
11,haul back,43.08685386166667,-65.002629525,2023-06-30 18:33:45 UTC
11,net on bottom,43.10027270333333,-64.96821539666666,2023-06-30 18:04:38 UTC
11,warp deployed,43.100959591666665,-64.966454725,2023-06-30 18:03:40 UTC
11,doors deployed,43.105750308333334,-64.95466184333333,2023-06-30 17:58:44 UTC
11,net deployed,43.10707219166667,-64.95046429666667,2023-06-30 17:56:28 UTC
12,net recovered,43.107516321666665,-65.1338558,2023-06-30 20:43:28 UTC
12,door recovered,43.106589,-65.130382245,2023-06-30 20:40:56 UTC
12,net off bottom,43.10612352333333,-65.12832791666666,2023-06-30 20:37:57 UTC
12,haul back,43.10579609166667,-65.12721069166666,2023-06-30 20:36:46 UTC
12,net on bottom,43.0954294,-65.09221272166667,2023-06-30 20:08:35 UTC
12,warp deployed,43.09473722166667,-65.089493475,2023-06-30 20:06:44 UTC
12,doors deployed,43.09038682,-65.07574736333333,2023-06-30 20:01:47 UTC
12,net deployed,43.08944742833334,-65.07130448833334,2023-06-30 19:59:03 UTC
13,net recovered,43.198754988333334,-65.25796386,2023-06-30 22:49:16 UTC
13,door recovered,43.19689009333333,-65.25562,2023-06-30 22:46:03 UTC
13,net off bottom,43.196237651666664,-65.254739295,2023-06-30 22:44:11 UTC
13,haul back,43.19544550166667,-65.25376136166666,2023-06-30 22:42:09 UTC
13,net on bottom,43.173080065,-65.22861032666667,2023-06-30 22:13:15 UTC
13,warp deployed,43.172105026666664,-65.22744407666667,2023-06-30 22:12:09 UTC
13,doors deployed,43.165075468333335,-65.21852820333334,2023-06-30 22:07:02 UTC
13,net deployed,43.16398295333333,-65.21638553,2023-06-30 22:05:16 UTC
14,net recovered,43.056225686666664,-65.25386146166667,2023-07-01 01:03:02 UTC
14,door recovered,43.05579873666667,-65.25095732666666,2023-07-01 01:00:16 UTC
14,net off bottom,43.055668905,-65.24951904666666,2023-07-01 00:57:49 UTC
14,haul back,43.05586179666667,-65.24826705166667,2023-07-01 00:56:10 UTC
14,net on bottom,43.06513115166667,-65.21043732,2023-07-01 00:26:16 UTC
14,warp deployed,43.065231256666664,-65.21011237333333,2023-07-01 00:26:04 UTC
14,doors deployed,43.069539041666665,-65.19680472833333,2023-07-01 00:20:29 UTC
14,net deployed,43.070145913333334,-65.19491350666667,2023-07-01 00:19:03 UTC
15,net recovered,42.890976013333336,-65.49911248666666,2023-07-01 03:46:01 UTC
15,door recovered,42.89239362,-65.497723505,2023-07-01 03:42:46 UTC
15,net off bottom,42.892875205,-65.497444805,2023-07-01 03:40:35 UTC
15,haul back,42.89343671666666,-65.49704499,2023-07-01 03:38:58 UTC
15,net on bottom,42.91599671666667,-65.47357373333334,2023-07-01 03:09:45 UTC
15,warp deployed,42.916664821666664,-65.472951005,2023-07-01 03:08:57 UTC
15,doors deployed,42.92361683,-65.46323076833333,2023-07-01 03:02:55 UTC
15,net deployed,42.92473833333333,-65.46173583333334,2023-07-01 03:00:43 UTC
16,aborted,42.89568826833333,-65.60499052,2023-07-01 06:11:28 UTC
16,net on bottom,42.90149229166666,-65.59566773166667,2023-07-01 06:02:15 UTC
16,warp deployed,42.904186655,-65.59160609333334,2023-07-01 05:58:02 UTC
16,doors deployed,42.91070985,-65.58101020333334,2023-07-01 05:52:04 UTC
16,net deployed,42.911592713333334,-65.57955887666667,2023-07-01 05:50:26 UTC
17,aborted,42.91174673166667,-65.64955552,2023-07-01 09:03:59 UTC
17,haul back,42.911977506666666,-65.64921951166667,2023-07-01 09:03:27 UTC
17,net on bottom,42.92423619833333,-65.63152720833334,2023-07-01 08:44:41 UTC
17,warp deployed,42.924470146666664,-65.63116821,2023-07-01 08:44:21 UTC
17,doors deployed,42.93213111833333,-65.62071089,2023-07-01 08:38:05 UTC
17,net deployed,42.93331059166667,-65.61866039833333,2023-07-01 08:35:59 UTC
18,net recovered,42.61189286,-65.77521185,2023-07-01 14:23:15 UTC
18,door recovered,42.610233883333336,-65.77509356833333,2023-07-01 14:20:23 UTC
18,net off bottom,42.609740413333334,-65.77525224666667,2023-07-01 14:18:57 UTC
18,haul back,42.60906433833333,-65.77516912333333,2023-07-01 14:17:42 UTC
18,net on bottom,42.58022659,-65.77354234333333,2023-07-01 13:48:16 UTC
18,warp deployed,42.57958709166667,-65.77358805,2023-07-01 13:47:39 UTC
18,doors deployed,42.57125585833333,-65.77311792666667,2023-07-01 13:42:28 UTC
18,net deployed,42.56941245666667,-65.773255705,2023-07-01 13:40:18 UTC
19,net recovered,42.62701217,-65.87981001166666,2023-07-01 16:53:19 UTC
19,door recovered,42.62481172333333,-65.876962495,2023-07-01 16:49:44 UTC
