KEY,DESCRIPTION,VALUE
id,ID,47
institute,Institute,St. Andrews Biological Station
mission_name,Mission name,2023 Maritime Region Ecosystem Summer Survey (TELEOST)
mission_number,Mission number,TEL-2023-010
survey_number,Alternate survey identifier,
vessel,Vessel,Teleost CGCB
display_tz,In which timezone will date/times be entered?,Canada/Atlantic
stratification_type,Type of stratification,1 - Random stratified based on depth with optimal allocation
chief_scientist,Chief scientist,Ryan Martin / Bill MacEachern
samplers,List of samplers,"Jamie Emberley
Eric Brunsdon
Emily Way-Nee
Joeleen Savoie
Tania Davignon
Cassidy Bertin
Dwayne d'Entremont
Brooke Reid
Ellen MacEachern
Jessica Cosham
Priyanka Varkey
Bridhid Odenthal
Jesse Jenkins
Lynn Collier
Kelly Kraska
John Loch
Cassandra Acheson"
description,Description,"Bottom trawl survey of the Scotian Shelf, Bay of Fundy and Canadian portion of Georges Bank"
notes,Notes,"Executive Summary:

The primary purpose of this survey is to gather data to evaluate the abundance and distribution of commercially exploited demersal or groundfish species, as well as non-commercial species, on Georges Bank, Bay of Fundy and Scotian Shelf. The data from this survey constitutes an important source of information on which to base recommendations for fishing quotas. For many of the marine species in this area, this survey provides the only source of information on their abundance and distribution, and how these have changed over time. This survey usually provides a platform for the collection of oceanographic data used by the Atlantic Zonal Monitoring Program (AZMP), but oceanographic sampling will be conducted aboard CCGS Capt Jacques Cartier during 2023 for the comparative fishing experiment. This multispecies bottom trawl survey is Core Mandate, it is an essential and required part of the strategy for the sustainable management of Maritimes Region's aquatic resources."
area_of_operation,Area of operation,NAFO 4VWX5Z
start_date,Start date/time,2023-06-27 15:00:00 UTC
end_date,End date/time,2023-08-14 11:00:00 UTC
start_latitude,Start latitude,44.681945
start_longitude,Start longitude,-63.613153
end_latitude,End latitude,44.681945
end_longitude,End longitude,-63.613153
station_collection,Station collection,St. Andrews Biological Station - 2023 Maritimes Region Ecosystem Survey - Summer
populate_with_set_manager,Enable using the set detail page as a way of collecting starting / ending times and positions?,No
default_map,Default map,
track_map_resolution,Track map resolution (in seconds),60
fishing_track_map_resolution,Track map resolution (in seconds) during fishing,5
min_lat,Minimum latitude,40.0
max_lat,Maximum latitude,50.0
min_lng,Minimum longitude,-70.0
max_lng,Maximum longitude,-55.0
targeted_trawl_speed,Targeted trawl speed (kts),3.5
targeted_vessel_speed,Targeted vessel speed (kts),10.0
targeted_time_on_station,Targeted time on station (hours),2.0
targeted_trawl_duration,Targeted trawl duration (minutes),30.0
targeted_trawl_distance,Targeted trawl distance (NM),1.75
sampling_protocol,Primary sampling protocol,Maritimes Region Ecosystem Survey  - Summer (BASE)
use_blacklisting,Enable catch restrict-listing?,No
use_whitelisting,Enable catch allow-listing?,No
set_auto_create_on,Automatically create sets from the station queue?,No
