created_at,created_by,created_by_id,data_type,data_type_display,default_value,description_eng,description_fra,display_categories,id,last_modified_by,last_modified_by_id,name,nom,notes,special_type,triggers_fish_number,triggers_labels,triggers_stamp,uniqueness_expected,units_to_display,updated_at,uuid,verbal_cue_en,verbal_cue_fr,zero_is_acceptable
2020-08-13 12:16:42 UTC,,,float,float,,Width of second segment of the abdomen (first segment when female is held upside down),Largeur du deuxième segment de l'abdomen (premier segment lorsque la femelle est tenue à l'envers),,27,boivinb,46,Abdominal Width,Largeur abdominale,,,No,0,No,No,,2022-01-10 14:42:30 UTC,a7bb455d-aeac-4cad-bffc-063f8e037463,,,Yes
2020-08-13 12:16:42 UTC,,,integer/categorical,integer/categorical,,Fullness of the clutch,,100-Normal (>75 % full);  25-Abnormal (<25 % full);  50-Sub-normal (25-75 % full),30,,,Clutch Fullness Rate,,,,No,0,No,No,,2020-12-15 14:35:03 UTC,90bef242-922a-491a-965d-5bfd1728010b,,,Yes
2022-02-11 16:19:48 UTC,Jamie,34,integer/categorical,integer/categorical,,Collect head with eyeballs intact,,0-no;  1-yes,75,dave,9,Collect Head,,,,No,1,No,No,,2023-06-30 15:36:59 UTC,24e87e17-7846-4aa9-9cb7-d3b002377a82,,,No
2020-08-13 12:16:42 UTC,,,integer/categorical,integer/categorical,,Reminder to collect specimen (Collected=1). This observation type should generate a fish number for collections such as gonad collection in the herring survey.,,0-not kept;  1-kept specimen,3,ryan_martin,35,Collect Specimen,garder un specimen,,collect specimen,Yes,1,No,No,,2023-07-03 09:09:41 UTC,246f0f01-3db8-4b81-ac7f-f42e0ad64945,keep the fishy!,keep the fishy!,No
2021-12-10 13:13:30 UTC,nico,7,string,string,,,,0-no;  1-yes,68,,,Collect Stomach,Récolter Estomac,,collect stomach,No,1,No,No,,2023-06-30 15:36:59 UTC,7c4ef608-6df0-4ac1-a82b-f58064f701a8,,,No
2020-08-13 12:16:42 UTC,,,integer/categorical,integer/categorical,,Reminder to collect gonad (collected = 1),,0-not collected;  1-collected,35,ryan_martin,35,Collect gonads,Recueillir les gonades,,collect gonads,No,0,No,No,,2023-07-22 10:53:14 UTC,ff2dd940-82e6-43ae-b4b7-76b5f874e367,collect them gonads!,collect them gonads!,Yes
2020-08-13 12:16:42 UTC,,,integer/categorical,integer/categorical,,reminder to collect otoliths,,0-not kept;  1-kept,52,ryan_martin,35,Collect otoliths,Récolter otolithes,,collect otoliths,Yes,0,No,No,,2023-06-30 17:14:05 UTC,9749086e-bd99-40ef-a870-c209050fb14a,,,No
2022-08-06 18:55:53 UTC,dave,9,integer/categorical,integer/categorical,,,,0-no;  1-yes,87,,,Crab Female Eggs,,,,No,0,No,No,,2022-08-06 18:55:53 UTC,4dd98da2-d352-4fed-a5b9-09ddd2ef3bd4,,,Yes
2020-08-13 12:16:42 UTC,,,integer/categorical,integer/categorical,,Stage of eggs,,1-New (dark olive green or black; no eye spot);  2-Eyed (lighter black;  starting to become brownish);  3-Mature (orange/tan brown; eggs bulky and loose);  4-Hatching/hatched (mossy clutch; less orange and turning more opaque),29,,,Egg Stage,,,,No,0,No,No,,2020-12-15 14:35:06 UTC,f00e2c36-a296-4551-99fe-d5b71a6f3816,,,Yes
2020-08-13 12:16:42 UTC,,,integer/categorical,integer/categorical,,Collect a fin clip,,0-Not collected;  1-Collected,23,,,Fin Clip,Morceau nageoire,,,No,0,No,No,,2023-03-22 17:47:46 UTC,5b9a4a8a-4b79-4e63-ae06-c9f32edb4c9b,,,No
2020-08-13 12:16:42 UTC,,,integer/categorical,integer/categorical,,Vial number for gonad (special collection),,,46,,,Gonad Vial #,,,,No,0,No,No,,2021-10-08 17:59:29 UTC,13f4c618-c291-438e-b329-e54db3192b2e,,,Yes
2020-08-13 12:16:42 UTC,,,float,float,,Gonad total weight (Quebec),Poids total des gonades (Québec),,19,seanfd,80,Gonad Weight,Poids des gonades,,,No,0,No,No,,2023-04-26 13:51:26 UTC,04ca6dd8-e3a9-4b8d-91b9-7d262e0e1386,,,Yes
2020-08-13 12:16:42 UTC,,,float,float,,Length,Longeur,,7,boivinb,46,Length,Longeur,,length,No,0,No,No,,2023-03-22 17:51:25 UTC,085db4ff-448c-411c-9a70-af3e69cd2c10,,,Yes
2020-08-31 12:04:49 UTC,pablo,10,integer/categorical,integer/categorical,,,,0-no;  1-yes,54,,,Lobster Female eggs,oeufs femelles d'homard,,,No,0,No,No,,2020-12-15 14:55:38 UTC,6a00a5a4-e96e-4866-b353-e27b0442521c,,,Yes
