SET-LEVEL FLAGS

flag id,cruise,set,flag,explanation,created by,creation date,approved by,approved date,comment
10392,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),22,set GPS track deviation greater than 5%,The difference between set track obtained by GPS and straight line drawn from the start coordinates to the end coordinates is greater than 5%.,ryan_martin,2023-07-01 23:23:09 UTC,Jamie,2023-07-01 23:23:11 UTC,---
18248,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),144,bad fishing track,Fishing track has sections outside of nafo boundary ,bmac,2023-07-21 22:54:06 UTC,ryan_martin,2023-07-21 22:54:36 UTC,---
18754,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),152,bad fishing track,Fishing track has sections outside of nafo boundary ,ryan_martin,2023-07-22 21:10:40 UTC,ryan_martin,2023-07-22 21:10:43 UTC,---
22144,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),213,bad fishing track,Fishing track has sections outside of nafo boundary ,ryan_martin,2023-08-03 01:01:20 UTC,ryan_martin,2023-08-03 01:01:26 UTC,---
22284,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),214,bad fishing track,Fishing track has sections outside of stratum boundary ,ryan_martin,2023-08-03 04:22:29 UTC,bmac,2023-08-03 04:22:52 UTC,---
22286,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),214,stratum of set different than stratum of station,The stratum selected in the set form is different than the stratum associated with the station. The only time this should happen is when the stratum polygons are incorrect and the station stratum has been improperly assigned.,ryan_martin,2023-08-03 04:37:14 UTC,ryan_martin,2023-08-03 04:38:05 UTC,Manually changed from stratum 443 to 444 to reflect the depth of where the station was actually towed. - EM
23707,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),232,set GPS track deviation greater than 5%,The difference between set track obtained by GPS and straight line drawn from the start coordinates to the end coordinates is greater than 5%.,ryan_martin,2023-08-06 22:42:13 UTC,---,---,---
23705,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),234,set GPS track deviation greater than 5%,The difference between set track obtained by GPS and straight line drawn from the start coordinates to the end coordinates is greater than 5%.,ryan_martin,2023-08-06 22:24:58 UTC,---,---,---


CATCH-LEVEL FLAGS

flag id,cruise,set,catch id,species,flag,explanation,created by,creation date,approved by,approved date,comment
8524,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),1,810,AMERICAN PLAICE,calculated specimen weight is greater than expected,The calculated total specimen weight is greater than the basket weight by a different of greater than 25%,Jamie,2023-06-29 07:03:29 UTC,Jamie,2023-06-29 07:03:35 UTC,Need to add detail weights for the fish not measured.  Check if calculated weight was used
8523,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),1,826,THREEBEARD ROCKLING,calculated specimen weight is lower than expected,The calculated total specimen weight is less than the basket weight by a different of greater than 25%,Jamie,2023-06-29 07:03:25 UTC,Jamie,2023-06-29 07:03:29 UTC,---
8517,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),1,826,THREEBEARD ROCKLING,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 07:03:18 UTC,Jamie,2023-06-29 07:03:21 UTC,---
8521,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),1,818,SNOW CRAB  QUEEN; INCL CHIONOECETES SP,calculated specimen weight is lower than expected,The calculated total specimen weight is less than the basket weight by a different of greater than 25%,Jamie,2023-06-29 07:03:21 UTC,Jamie,2023-06-29 07:03:25 UTC,---
8514,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),1,818,SNOW CRAB  QUEEN; INCL CHIONOECETES SP,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 07:03:14 UTC,Jamie,2023-06-29 07:03:18 UTC,---
8509,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),1,823,Sea Anemones (Actinostola sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 07:03:10 UTC,Jamie,2023-06-29 07:03:14 UTC,---
8503,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),1,828,FIRST UNIDENTIFIED PER SET; UNIDENTIFIED,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 07:02:59 UTC,Jamie,2023-06-29 07:03:08 UTC,---
8671,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),3,850,LANTERNFISH,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 13:36:52 UTC,Jamie,2023-06-29 13:37:46 UTC,---
8675,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),3,847,Octopus (Bathypolypus sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 13:37:47 UTC,Jamie,2023-06-29 13:37:50 UTC,---
8678,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),3,844,"LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 13:37:50 UTC,Jamie,2023-06-29 13:37:53 UTC,---
8680,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),3,852,Molpadia unidentified,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 13:37:53 UTC,Jamie,2023-06-29 13:37:56 UTC,---
8806,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),4,870,OFF-SHORE HAKE,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 16:57:16 UTC,ryan_martin,2023-06-29 16:57:19 UTC,---
