aphia_id,code,common_name_en,common_name_fr,created_at,created_by,created_by_id,id,invertebrate,is_invalid,is_new,last_modified_by,last_modified_by_id,scientific_name,shrimp,updated_at,uuid
159490,1,ORANGE FILEFISH; SCHOEPFI,Alutère orange,2020-08-13 14:04:48 UTC,,,1,No,No,No,,,Aluterus schoepfii,No,2023-03-07 15:13:29 UTC,94a0c617-4862-4742-8366-029e652a01d9
159491,2,"FILEFISH,SCRAWLED",Alutère écrit,2020-08-13 14:04:48 UTC,,,2,No,No,No,,,Aluterus scriptus,No,2023-03-07 15:13:30 UTC,64275f84-2617-46f4-855b-5e1a55a37ad5
154721,3,GRAY TRIGGERFISH,Baliste gris,2020-08-13 14:04:48 UTC,,,3,No,No,No,,,Balistes capriscus,No,2023-03-07 15:13:30 UTC,36d4b7f5-4169-4219-ab93-ec5ba9134729
127397,4,QUEEN TRIGGERFISH,Baliste royal,2020-08-13 14:04:48 UTC,,,4,No,No,No,,,Balistes vetula,No,2023-03-07 15:13:30 UTC,ec22badc-519d-4314-a3cb-643d34c22bb7
159497,5,FRINGED FILEFISH,Lime frangée,2020-08-13 14:04:48 UTC,,,5,No,No,No,,,Monacanthus ciliatus,No,2023-03-07 15:13:31 UTC,6784731c-1443-4e1b-983d-51d36ccf8e2d
307126,6,PLANEHEAD FILEFISH; HISPIDUS,,2023-01-30 15:43:03 UTC,,,11247,No,No,Yes,,,Stephanolepis hispida,No,2023-03-07 15:20:01 UTC,14aec925-5399-43b3-8365-15c0ff1ccfff
159329,7,NORTHERN KINGFISH,Menticirrhus saxatilis,2020-08-13 14:04:48 UTC,,,7,No,No,No,,,Menticirrhus saxatilis,No,2023-03-07 15:13:31 UTC,61b0128e-9d3f-4790-95c1-9c4bf058ae75
126110,8,Bothus unidentified,Bothus non-spécifié,2020-08-13 14:04:48 UTC,,,8,No,No,No,,,Bothus sp.,No,2023-04-05 12:26:16 UTC,eefbb8f1-8e77-4c73-b460-886d9e6484f8
158702,9,SILVER ANCHOVY,,2023-01-30 15:43:06 UTC,,,11248,No,No,Yes,,,Engraulis eurystole,No,2023-03-07 15:20:02 UTC,582fde73-6298-46be-ad4e-75baa9b6aea3
126436,10,COD ATLANTIC,Morue franche,2020-08-13 14:04:48 UTC,,,10,No,No,No,boivinb,46,Gadus morhua,No,2023-05-23 19:59:51 UTC,660a658e-7e1c-4ee8-9320-b2faefd69898
126437,11,HADDOCK,Aiglefin,2020-08-13 14:04:48 UTC,,,11,No,No,No,,,Melanogrammus aeglefinus,No,2023-05-23 19:59:53 UTC,2a595a64-620c-4678-838e-d69cc81ffecd
126504,12,WHITE HAKE,Merluche blanche,2020-08-13 14:04:48 UTC,,,12,No,No,No,,,Urophycis tenuis,No,2023-05-23 19:59:55 UTC,8e60de8c-89fd-416d-8d5d-9f9e6d72c47c
126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,2020-08-13 14:04:48 UTC,,,13,No,No,No,,,Urophycis chuss,No,2023-03-07 15:13:33 UTC,5976e380-8d3d-4038-8806-83434953a43a
158962,14,SILVER HAKE,Merlu argenté,2020-08-13 14:04:48 UTC,,,14,No,No,No,,,Merluccius bilinearis,No,2023-05-23 19:59:56 UTC,23d02f66-fed3-41f2-b392-02acd2e705f7
126447,15,CUSK,Brosme,2020-08-13 14:04:48 UTC,,,15,No,No,No,,,Brosme brosme,No,2023-03-07 15:13:34 UTC,6f4d6486-93ff-4f01-ba6a-7c6d1566fa31
126441,16,POLLOCK,Goberge,2020-08-13 14:04:48 UTC,,,16,No,No,No,,,Pollachius virens,No,2023-05-23 19:59:54 UTC,12868fea-63cc-4e2a-8ac6-8ef21ba5eca1
158928,17,TOMCOD ATLANTIC,Poulamon atlantique,2020-08-13 14:04:48 UTC,,,17,No,No,No,,,Microgadus tomcod,No,2023-05-23 19:59:53 UTC,e6fbd831-9c2a-4d4c-a900-e3535034e2f2
10313,18,REPLACES GADOIDEI S.O.,Gadoide non-spécifié (Gadiformes),2020-08-13 14:04:48 UTC,,,18,No,No,No,,,Gadiformes sp.,No,2023-05-24 14:01:44 UTC,48971482-fa84-459b-a92d-cc9cd08f1b87
158748,19,OFF-SHORE HAKE,Merlu blanc,2020-08-13 14:04:48 UTC,,,19,No,No,No,,,Merluccius albidus,No,2023-03-07 15:13:35 UTC,294949f9-741c-43fa-85ff-cb095ce44d07
151324,20,REDFISH; MARINUS,Sébaste orangé,2020-08-13 14:04:48 UTC,,,20,No,No,No,,,Sebastes norvegicus,No,2023-05-23 20:00:21 UTC,89817f45-7e46-4efd-88dd-05dfc74ce23b
127254,21,"REDFISH, DEEP WATER",Sébaste de profondeur,2020-08-13 14:04:48 UTC,,,21,No,No,No,,,Sebastes mentella,No,2023-03-07 15:13:36 UTC,e8b23524-2f62-4052-a916-771d3c02ba76
322499,22,BONAPARTIA PEDIOLOTA,,2023-01-30 15:43:18 UTC,,,11249,No,No,Yes,,,Zaphotias pedaliotus,No,2023-03-07 15:20:02 UTC,a0388917-219b-455f-b8e9-29f8497507e2
126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),2020-08-13 14:04:48 UTC,,,23,No,No,No,,,Sebastes sp.,No,2023-05-23 20:00:21 UTC,9c123bf6-1e90-4a49-a311-fdbb0b43a83b
151179,24,STRIPED BASS,Bar rayé,2020-08-13 14:04:48 UTC,,,24,No,No,No,,,Morone saxatilis,No,2023-03-07 15:13:36 UTC,01130d48-bdf7-4f3d-a8ac-cce006df22bf
159406,25,TILE FISH,Tile chameau,2020-08-13 14:04:48 UTC,,,25,No,No,No,,,Lopholatilus chamaeleonticeps,No,2023-03-07 15:13:37 UTC,259e0538-2450-4613-9fba-e36f96951ab2
159563,26,SMOOTHHEAD SCORPIONFISH,Scorpaena calcarata,2020-08-13 14:04:48 UTC,,,26,No,No,No,,,Scorpaena calcarata,No,2023-03-07 15:13:37 UTC,be0cc25f-476b-48f9-874f-ab98b2353323
126863,27,ESCOLAR,Escolier noir,2020-08-13 14:04:48 UTC,,,27,No,No,No,,,Lepidocybium flavobrunneum,No,2023-03-07 15:13:37 UTC,378fee93-c4c2-43d5-ba4f-c8e6e332b38a
126864,28,Black snake mackerel,Coelho tripode,2020-08-13 14:04:48 UTC,,,28,No,No,No,,,Nealotus tripes,No,2023-03-07 15:13:38 UTC,a6867bd3-7c55-49f7-bf26-dfc492290068
126867,29,OILFISH,Escolier rouvet,2020-08-13 14:04:48 UTC,,,29,No,No,No,,,Ruvettus pretiosus,No,2023-03-07 15:13:38 UTC,5bdedbd8-a177-460b-88ed-21e186c9aaf9
127138,30,HALIBUT ATLANTIC,Flétan Atlantique,2020-08-13 14:04:48 UTC,,,30,No,No,No,dave,9,Hippoglossus hippoglossus,No,2023-05-23 20:00:46 UTC,dbf46c6f-f6dc-4c38-93bf-437d34ff9beb
