Species,PercentID,X2023ESI_01,X2023ESI_02,X2023ESI_03,X2023ESI_04,X2023ESI_05,X2023ESI_06,X2023ESI_07,X2023ESI_08,X2023ESI_09,X2023ESI_10,X2023ESI_12,X2023ESI_13,X2023ESI_14,X2023ESI_15,X2023ESI_17,X2023ESI_18,X2023ESI_19,X2023ESI_21,X2023ESI_22,X499612,X499613,X499614,X499615,X499616,X499617,X499618,X499619,X499620,X499621,X499622,X499623,X499624,X499625,X499626,X499627,X499628,X499629,X499630,X499631,X499632,X499633,X499634,X499635,X499636,X499637,X499638,X499639,X499640,X499641,X499642,X499643,X499644,X499645,X499646,X499647,X499648,X499649,X499650,X499651,X499652,X499653,X499654,X499655
Alosa aestivalis,99.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa aestivalis,99.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa aestivalis,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117913,0,0,0,0,0,125902,0,50842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,98.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,688,0,0,0,0,0,0,0,0,0,0,0,0,18860,0,0,0,4386,156,0,0,0,0,0,0,0,0,0,68,0,0,0,180,0,409,0,0,0,1141,5,451,0,745,276,0,0,903,1566,1101,0,317,124,0,0,61053,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,2338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33357,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,0,0,0,0,0,0,0,0,0,0,0,0,0,1508,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,9088,0,493,0,861,0,0,0,3183,2647,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,1245,0,0,0,655,0,0,0,11446,1674,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
