Sample_#,Section_AZMP,Priority_AZMP,Site_AZMP,Date_ADT_MDY,est_depth_m,CTD_sample_datetimeUTC_MDY,CTD_Lat_DD,CTD_Long_DD,CTD_depth_sounding_m,Depth_MIDBTM,Bottom_depth_m,Niskin_depth_m,Filter_Time_ADT,SmithRoot_ID,Volume_L,Vial_ID,CTD_ID,Shared_YN,Bottle_n,Notes
1,BrownsBankLine,Core,BBL_05,10/5/2024,180,06-10-2024T02:10:08,42 08.122940 N,65 30.607448 W,185.29,BTM,get from CTD,get from CTD,22:43,286,4.2,AZMP2024_EDNA_001,511772,N,2,Green highlights = processed in 2024
2,BrownsBankLine,Core,BBL_05,10/5/2024,180,06-10-2024T02:10:08,42 08.122940 N,65 30.607448 W,185.29,BTM,get from CTD,get from CTD,22:50,287,4.22,AZMP2024_EDNA_002,511773,N,3,Gas samples taken from this bottle first (wore gloves)
3,BrownsBankLine,Core,BBL_06,10/6/2024,1100,06-10-2024T05:49:29,41 59.968238 N,65 31.211450 W,1082.46,BTM,get from CTD,get from CTD,2:15,288,4.23,AZMP2024_EDNA_003,511796,N,2,Rosette hit bottom
4,BrownsBankLine,Core,BBL_06,10/6/2024,1100,06-10-2024T05:49:29,41 59.968238 N,65 31.211450 W,1082.46,BTM,get from CTD,get from CTD,2:24,289,4.21,AZMP2024_EDNA_004,511797,N,3,Rosette hit bottom
5,BrownsBankLine,Core,BBL_07,10/6/2024,1890,06-10-2024T09:54:54,41 51.994106 N,65 20.997287 W,1883.11,BTM,get from CTD,get from CTD,8:34,290,4.32,AZMP2024_EDNA_005,511816,Y,1,Sub-sample from one bottle. Gas sampled first. Rosette was in the water for a long time after collecting sample (winch cable was wrapped).
6,BrownsBankLine,Core,BBL_07,10/6/2024,1890,06-10-2024T09:54:54,41 51.994106 N,65 20.997287 W,1883.11,BTM,get from CTD,get from CTD,8:41,291,4.12,AZMP2024_EDNA_006,511816,Y,1,"Sub-sample from one bottle. Gas sampled first. Rosette was in the water for a long time after collecting sample (winch cable was wrapped). Noticed the filter membrane was half lifted off when opening, could have been like that during filtering."
7,BrownsBankLine,Core,BBL_04,10/6/2024,100,06-10-2024T21:23.42,42 26.987631 N,65 28.996627 W,101.15,BTM,get from CTD,get from CTD,17:55,292,4.18,AZMP2024_EDNA_007,511842,N,2,Orange highlights = processed in 2025
8,BrownsBankLine,Core,BBL_04,10/6/2024,100,06-10-2024T21:23.42,42 26.987631 N,65 28.996627 W,101.15,BTM,get from CTD,get from CTD,18:02,293,4.13,AZMP2024_EDNA_008,511843,N,3,
9,,,BLANK_1,10/6/2024,,,,,,,,,19:15,294,2.16,AZMP2024_EDNA_009,,,,
10,PortsmouthLine,Secondary,PL_07,10/10/2024,300,10-10-2024T13:52:48,42 33.148882 N,67 18.129384 W,299.68,BTM,get from CTD,get from CTD,10:53,295,4.31,AZMP2024_EDNA_010,512174,N,2,
11,PortsmouthLine,Secondary,PL_07,10/10/2024,300,10-10-2024T13:52:48,42 33.148882 N,67 18.129384 W,299.68,BTM,get from CTD,get from CTD,11:00,296,4.25,AZMP2024_EDNA_011,512175,N,3,
12,PortsmouthLine,Secondary,PL_09,10/10/2024,272,10-10-2024T20:19:01,42 22.633330 N,66 24.062699 W,269.63,BTM,get from CTD,get from CTD,17:56,297,4.26,AZMP2024_EDNA_012,512214,N,2,
13,PortsmouthLine,Secondary,PL_09,10/10/2024,272,10-10-2024T20:19:01,42 22.633330 N,66 24.062699 W,269.63,BTM,get from CTD,get from CTD,18:05,298,3.98,AZMP2024_EDNA_013,512215,N,3,
14,NortheastChannel,Secondary,NEC_07,10/11/2024,220,10-11-2024T05:50:12,42 09.984943 N,65 58.701525 W,224.76,BTM,get from CTD,get from CTD,2:59,299,4.15,AZMP2024_EDNA_014,512286,N,2,
15,NortheastChannel,Secondary,NEC_07,10/11/2024,220,10-11-2024T05:31:51,42 09.805389 N,65 58.340229 W,224.73,BTM,get from CTD,get from CTD,3:06,300,4.14,AZMP2024_EDNA_015,512287,N,3,
16,NortheastChannel,Secondary,NEC_06,10/11/2024,220,10-11-2024T07:04:55,42 11.990364 N,65 56.318150 W,226.81,BTM,get from CTD,get from CTD,4:35,301,4.2,AZMP2024_EDNA_016,512305,N,2,
17,NortheastChannel,Secondary,NEC_06,10/11/2024,220,10-11-2024T07:04:55,42 11.990364 N,65 56.318150 W,226.81,BTM,get from CTD,get from CTD,4:42,302,4.14,AZMP2024_EDNA_017,512306,N,3,
18,NortheastChannel,Secondary,NEC_05,10/11/2024,230,10-11-2024T08:43:33,42 13.884725 N,65 54.320437 W,237.73,BTM,get from CTD,get from CTD,6:12,303,4.25,AZMP2024_EDNA_018,512323,N,2,
19,NortheastChannel,Secondary,NEC_05,10/11/2024,230,10-11-2024T08:43:33,42 13.884725 N,65 54.320437 W,237.73,BTM,get from CTD,get from CTD,6:19,304,4.24,AZMP2024_EDNA_019,512322,N,1,Gas sampled first.
20,NortheastChannel,Secondary,NEC_05,10/11/2024,125,10-11-2024T08:43:33,42 13.884725 N,65 54.320437 W,get from CTD,MID,get from CTD,get from CTD,6:26,305,4.17,AZMP2024_EDNA_020,512328,N,7,Sub-sample from one bottle. Gas sampled first
21,NortheastChannel,Secondary,NEC_05,10/11/2024,125,10-11-2024T08:43:33,42 13.884725 N,65 54.320437 W,get from CTD,MID,get from CTD,get from CTD,6:32,306,4.09,AZMP2024_EDNA_021,512328,N,7,Sub-sample from one bottle. Gas sampled first
