Species,confidence,AZMP2024.EDNA.037,AZMP2024.EDNA.038,AZMP2024.EDNA.039,AZMP2024.EDNA.040,AZMP2024.EDNA.041,AZMP2024.EDNA.042
Micromonas_pusilla,1,41,188,141,210,47,51
Micromonas_pusilla,0.99,0,0,8,0,24,0
Primnoa_pacifica,1,7,0,0,0,6,0
Pseudocalanus_minutus,1,0,0,0,0,0,2484
Homo_sapiens,1,0,16,19,0,0,0
Paraeuchaeta_norvegica,1,0,0,0,0,27959,0
Terebellides_stroemii_CMC01,1,0,79,0,0,0,0
Phacellophora_camtschatica,1,0,0,0,0,0,12
Echinarachnius_parma,1,52,0,0,0,0,0
Homo_sapiens,1,114,0,0,155,57,124
Paraeuchaeta_norvegica,0.99,0,0,0,0,1707,0
Pantachogon_haeckeli,1,150,0,0,0,257,71
Meganyctiphanes_norvegica,1,0,0,0,0,0,19
Solanometra_antarctica,0.98,0,12,960,334,0,0
Ophiopholis_aculeata,1,11,0,0,0,0,0
Ophiopholis_aculeata,1,0,0,17,0,0,0
