,X888.ENEG.1,X888.ENEG.2,X889.ENEG.1,X889.ENEG.2,X890.ENEG.1,X890.ENEG.2,X891.ENEG.1,X891.ENEG.2,X892.ENEG.1,X893.ENEG.1,X893.ENEG.2,X933.ENEG.1,X933.ENEG.2,X934.ENEG.1,AZMP2024.EDNA.001,AZMP2024.EDNA.002,AZMP2024.EDNA.005,AZMP2024.EDNA.006,AZMP2024.EDNA.016,AZMP2024.EDNA.017,AZMP2024.EDNA.018,AZMP2024.EDNA.019,AZMP2024.EDNA.020,AZMP2024.EDNA.021,AZMP2024.EDNA.037,AZMP2024.EDNA.038,AZMP2024.EDNA.039,AZMP2024.EDNA.040,AZMP2024.EDNA.041,AZMP2024.EDNA.042,AZMP2024.EDNA.052,AZMP2024.EDNA.053,AZMP2024.EDNA.054,AZMP2024.EDNA.055,AZMP2024.EDNA.056,AZMP2024.EDNA.057,AZMP2024.EDNA.058,AZMP2024.EDNA.059,AZMP2024.EDNA.060,AZMP2024.EDNA.061,AZMP2024.EDNA.062,AZMP2024.EDNA.063,SAB24.EDNA.001,SAB24.EDNA.002,SAB24.EDNA.003,SAB24.EDNA.004,SAB24.EDNA.005,SAB24.EDNA.006,SAB24.EDNA.007,SAB24.EDNA.008,SAB24.EDNA.009,SAB24.EDNA.010,SAB24.EDNA.011,SAB24.EDNA.012,SAB24.EDNA.013,SAB24.EDNA.014,SAB24.EDNA.015,SAB24.EDNA.016,SAB24.EDNA.017,SAB24.EDNA.018,SAB24.EDNA.019,SAB24.EDNA.020,SAB24.EDNA.021,SAB24.EDNA.022,SAB24.EDNA.023,SAB24.EDNA.024,SAB24.EDNA.025,SAB24.EDNA.026,SAB24.EDNA.027,SAB24.EDNA.028,SAB24.EDNA.029,SAB24.EDNA.030,SAB24.EDNA.031,SAB24.EDNA.032,SAB24.EDNA.033,SAB24.EDNA.034,SAB24.EDNA.035,SAB24.EDNA.036,SAB24.EDNA.037,SAB24.EDNA.038,SAB24.EDNA.039,SAB24.EDNA.040,SAB24.EDNA.041,SAB24.EDNA.042,SAB24.EDNA.043,SAB24.EDNA.044,SAB24.EDNA.045,SAB24.EDNA.046,SAB24.EDNA.047,SAB24.EDNA.048,SAB24.EDNA.049,SAB24.EDNA.050,SAB24.EDNA.051,SAB24.EDNA.052,SAB24.EDNA.053,SAB24.EDNA.054,SAB24.EDNA.055,SAB24.EDNA.056,SAB24.EDNA.057,SAB24.EDNA.058,SAB24.EDNA.059,SAB24.EDNA.060,SAB24.EDNA.061,SAB24.EDNA.062,SAB24.EDNA.063,SAB24.EDNA.064,SAB24.EDNA.065,SAB24.EDNA.066,SAB24.EDNA.067,SAB24.EDNA.068,SAB24.EDNA.069,SAB24.EDNA.070,SAB24.EDNA.071,SAB24.EDNA.072,SAB24.EDNA.073,SAB24.EDNA.074,SAB24.EDNA.075,SAB24.EDNA.076,SAB24.EDNA.077,SAB24.EDNA.078,SAB24.EDNA.079,SAB24.EDNA.080,SAB24.EDNA.081,SAB24.EDNA.082,SAB24.EDNA.083,SAB24.EDNA.084,SAB24.EDNA.085,SAB24.EDNA.086,SAB24.EDNA.087,SAB24.EDNA.088,SAB24.EDNA.089,SAB24.EDNA.090,SAB24.EDNA.091,SAB24.EDNA.092,SAB24.EDNA.093,SAB24.EDNA.094,SAB24.EDNA.095,SAB24.EDNA.096,SAB24.EDNA.097,SAB24.EDNA.098,SAB24.EDNA.099,SAB24.EDNA.100,SAB24.EDNA.101,SAB24.EDNA.102,SAB24.EDNA.103,SAB24.EDNA.104,SAB24.EDNA.105,SAB24.EDNA.106,SAB24.EDNA.107,SAB24.EDNA.108,SAB24.EDNA.109,SAB24.EDNA.110,SAB24.EDNA.111,SAB24.EDNA.112,Phylum,V14,Class,V16,V17,V18,V19,V20,V21,V23,V24,V26,Species,V29
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,55,138,37,56,22,19,0,0,11,0,13,0,0,0,0,0,48,77,68,89,122,69,95,140,82,262,65,144,44,32,40,0,0,0,0,0,57,56,38,47,57,44,50,101,70,59,85,49,70,23,34,0,0,19,0,0,0,0,0,0,38,56,78,107,66,55,79,86,108,0,0,88,145,93,20,103,103,0,29,38,31,25,14,0,0,0,0,0,0,0,0,0,0,0,29,0,14,25,39,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chlorophyta,1,Mamiellophyceae,class,1,Mamiellales,order,1,Mamiellaceae,1,Micromonas_green_algae,1,Micromonas_pusilla,1
6,32,29,24,41,35,0,25,18,40,27,28,10,0,65,3636,3704,15,16,702,459,290,312,11039,11905,41,188,141,210,47,51,31,26,48,90,527,626,8466,13010,12061,13469,18263,22717,754,444,765,3591,2870,3260,193,79,27,50,17409,20383,15945,17274,21528,12811,8442,13618,9804,15379,3908,13267,13598,8487,13615,43,387,191,505,67,12398,15567,11359,18031,17883,20391,12418,18718,15271,15010,15967,15877,20515,18638,10233,24457,28881,28225,14165,17418,16883,10512,9579,16927,13492,14829,26016,25822,18979,15586,15695,10882,11798,31,27,8348,14584,7102,4411,12821,14447,95,7087,6916,4325,4786,3380,1599,340,315,248,108,62,172,609,72,566,30,10530,3205,4986,4850,9187,7090,56,33,401,739,619,433,551,0,290,300,409,337,312,15,732,1813,173,1542,Chlorophyta,1,Mamiellophyceae,class,1,Mamiellales,order,1,Mamiellaceae,1,Micromonas_green_algae,1,Micromonas_pusilla,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,294,304,279,298,276,186,0,0,0,0,0,0,162,0,207,0,0,0,0,0,199,261,0,281,259,360,211,370,210,221,0,257,328,324,182,402,492,475,0,223,210,0,0,195,242,217,452,370,321,235,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chlorophyta,1,Mamiellophyceae,class,1,Mamiellales,order,1,Mamiellaceae,1,Micromonas_green_algae,1,Micromonas_pusilla,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,9,0,6,0,7,6,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,31,0,0,40,0,0,0,176,0,0,Chordata,1,Actinopteri,class,1,Scombriformes,order,1,Scombridae,1,Scomber,1,Scomber_scombrus,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,35,151,14,135,13,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,113,0,4,0,194,0,0,0,6,0,0,5,0,5,0,0,1224,0,17,0,0,0,0,2,0,9,0,0,0,0,0,8,0,0,0,0,0,0,25,81,4,44,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,567,0,0,0,0,0,0,Cnidaria,1,Hydrozoa,class,1,Anthoathecata,order,1,Bougainvilliidae,1,Lizzia,1,Lizzia_blondina,1
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,3,4,0,0,9,17,17,10,16,11,22,52,0,0,8,0,7,10,7,8,12,22,7,517,0,14,23,6,5,0,0,5,17,0,0,0,6907,6,0,4,1026,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,8,10,0,0,0,0,14,0,3,0,4,22,0,0,0,57,15,31,24,73,47,0,0,0,0,0,0,0,0,28,2,17,0,0,0,0,0,0,0,Echinodermata,1,Ophiuroidea,class,1,Amphilepidida,order,1,Ophiuridae,1,Ophiura,1,Ophiura_robusta,1
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,67,0,0,0,0,0,0,0,0,0,0,0,93,49,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,115,0,0,0,0,16,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Annelida,1,Polychaeta,class,1,Terebellida,order,1,Cirratulidae,1,Chaetozone,1,Chaetozone_setosa,1
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,12,22,0,0,33,31,0,0,0,0,0,8,0,0,0,8,12,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,4,9,5,0,0,0,7,24,6,15,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,9,0,9,0,0,0,0,19,0,0,6,0,0,0,0,37,0,0,0,0,0,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,Mollusca,1,Bivalvia,class,1,Galeommatida,order,1,Montacutidae,1,Kurtiella,1,Kurtiella_bidentata,1
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1572,29,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,37,0,35,Annelida,1,Polychaeta,class,1,Terebellida,order,1,Trichobranchidae,1,Terebellides,1,Terebellides_stroemii_CMC04,1
65,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,Chordata,1,Mammalia,class,1,Carnivora,order,1,Canidae,1,Canis,1,Canis_lupus,1
