Station,Date,Time,Sounding,Target Depth,Replicate,CastID,SampleID,SmithRootID,Lat,Long,Volume (l),Pres,eDNA_Tube,Notes
SAB_16,08/08/2024,11:26:00,85,Bottom,1,885A001,885001,NA,46.04525,-59.092493,4,Self,SAB24_EDNA_001,Pump is inoperable. Pump doesnít seem to want to pull water through. Sample 885001 was handled while sampling. Opted to use a gravity feed for filtering on the samples. Sample volume is the total volume of the bottle ñ any residual. Bottle one had less volume as it was expended when trying to figure out what was wrong
SAB_16,08/08/2024,11:26:00,85,Bottom,2,885A001,885002,NA,46.04525,-59.092493,4,Self,SAB24_EDNA_002,Fixed the pump about 45 min post sample
SAB_16,08/08/2024,11:26:00,85,Bottom,3,885A001,885003,NA,46.04525,-59.092493,4,Self,SAB24_EDNA_003,CTD data didnít have the station name
SAB_21,08/08/2024,14:08:00,96.8,Bottom,1,885A002,885004,NA,45.989288,-58.889794,3.1,Self,SAB24_EDNA_004,This is an extra sample in the middle of the crinoid field. Sample location was middle of the transect
SAB_21,08/08/2024,14:08:00,96.8,Bottom,2,885A002,885005,NA,45.989288,-58.889794,3.59,Self,SAB24_EDNA_005,
SAB_21,08/08/2024,14:08:00,96.8,Bottom,3,885A002,885006,NA,45.989288,-58.889794,3.51,Self,SAB24_EDNA_006,
SAB_20,08/08/2024,17:10:00,135,Bottom,1,885A003,885007,NA,46.036714,-58.974353,3.19,Self,SAB24_EDNA_007,
SAB_20,08/08/2024,17:10:00,135,Bottom,2,885A003,885008,NA,46.036714,-58.974353,3.2,Self,SAB24_EDNA_008,
SAB_20,08/08/2024,17:10:00,135,Bottom,3,885A003,885009,NA,46.036714,-58.974353,3.23,Self,SAB24_EDNA_009,
BLANK,08/08/2024,18:16:00,NA,NA,BLANK,NA,885010,NA,NA,NA,2.96,Self,SAB24_EDNA_010,
SAB_02,09/08/2024,08:22:00,52.6,Bottom,1,885A004,885011,NA,45.949129,59.757991,3.13,Self,SAB24_EDNA_011,
SAB_02,09/08/2024,08:22:00,52.6,Bottom,2,885A004,885012,NA,45.949129,59.757991,3.14,Self,SAB24_EDNA_012,
SAB_02,09/08/2024,08:22:00,52.6,Bottom,3,885A004,885013,NA,45.949129,59.757991,3.17,Self,SAB24_EDNA_013,
SAB_03,09/08/2024,09:26:00,54.8,Bottom,1,885A005,885014,NA,46.061806,-59.567018,3.07,Self,SAB24_EDNA_014,Station may have been mislabelled in the CTD/AFM headers
SAB_03,09/08/2024,09:26:00,54.8,Bottom,2,885A005,885015,NA,46.061806,-59.567018,3.14,Self,SAB24_EDNA_015,
SAB_03,09/08/2024,09:26:00,54.8,Bottom,3,885A005,885016,NA,46.061806,-59.567018,3.11,Self,SAB24_EDNA_016,
SAB_07,09/08/2024,10:15:00,66.7,Bottom,1,885A006,885017,NA,46.056315,-59.412117,3.09,Self,SAB24_EDNA_017,"Filter fell on Katies pants, watch for contamination"
SAB_07,09/08/2024,10:15:00,66.7,Bottom,2,885A006,885018,NA,46.056315,-59.412117,3.24,Self,SAB24_EDNA_018,Katie perfected folding technique ñ samples will be amazing from here on out!
SAB_07,09/08/2024,10:15:00,66.7,Bottom,3,885A006,885019,NA,46.056315,-59.412117,3.1,Self,SAB24_EDNA_019,
SAB_08,09/08/2024,12:31:00,62.4,Bottom,1,885A007,885020,NA,46.144731,-59.403695,3.09,Self,SAB24_EDNA_020,
SAB_08,09/08/2024,12:31:00,62.4,Bottom,2,885A007,885021,NA,46.144731,-59.403695,3.16,Self,SAB24_EDNA_021,Katie lied and hates folding the filters again
SAB_08,09/08/2024,12:31:00,62.4,Bottom,3,885A007,885022,NA,46.144731,-59.403695,3.09,Self,SAB24_EDNA_022,Katie is happy again for some reason
SAB_04,09/08/2024,15:40:00,36.5,Bottom,1,885A008,885023,NA,46.142204,-59.567166,3.11,Self,SAB24_EDNA_023,Nick agrees Katies folding method is superior to his
SAB_04,09/08/2024,15:40:00,36.5,Bottom,2,885A008,885024,NA,46.142204,-59.567166,3.16,Self,SAB24_EDNA_024,
SAB_04,09/08/2024,15:40:00,36.5,Bottom,3,885A008,885025,NA,46.142204,-59.567166,3.15,Self,SAB24_EDNA_025,
BLANK,09/08/2024,,NA,NA,BLANK,NA,885026,NA,NA,NA,3.01,Self,SAB24_EDNA_026,"Filter fell on Nicks Pants, watch for contamination, lots of cats in that one"
SAB_13,08/12/24,,110,Bottom,1,885A009,885027,387,46.271896,-59.238174,3.13,Self,SAB24_EDNA_027,
SAB_13,08/12/24,,110,Bottom,2,885A009,885028,388,46.271896,-59.238174,3.41,Self,SAB24_EDNA_028,
SAB_13,08/12/24,,110,Bottom,3,885A009,885029,AC389,46.271896,-59.238174,3.18,Self,SAB24_EDNA_029,
SAB_13,08/12/24,02:20:00 PM,NA,NA,BLANK,NA,885030,390,NA,NA,2.53,Self,SAB24_EDNA_030,
CURDO_8,08/14/24,09:10:00 AM,55,Bottom,1,885A010,885031,391,45.87983,-59.6105,3.10,Self,SAB24_EDNA_031,Curdo Bank 10 station grid array start
