Station,Date,Time,Sounding,Target Depth,Replicate,CastID,SampleID,Lat,Long,Volume (l),eDNA_Tube,Notes
SAB_16,08/08/2024,11:26:00,85,Bottom,1,885A001,885001,46.04525,-59.092493,4,SAB24_EDNA_001,Pump is inoperable. Pump doesn’t seem to want to pull water through. Sample 885001 was handled while sampling. Opted to use a gravity feed for filtering on the samples. Sample volume is the total volume of the bottle – any residual. Bottle one had less volume as it was expended when trying to figure out what was wrong
SAB_21,08/08/2024,14:08:00,96.8,Bottom,1,885A002,885004,45.989288,-58.889794,3.1,SAB24_EDNA_004,This is an extra sample in the middle of the crinoid field. Sample location was middle of the transect
SAB_20,08/08/2024,17:10:00,135,Bottom,3,885A003,885009,46.036714,-58.974353,3.23,SAB24_EDNA_009,
SAB_02,09/08/2024,08:22:00,52.6,Bottom,3,885A004,885013,45.949129,59.757991,3.17,SAB24_EDNA_013,
SAB_03,09/08/2024,09:26:00,54.8,Bottom,1,885A005,885014,46.061806,-59.567018,3.07,SAB24_EDNA_014,Station may have been mislabelled in the CTD/AFM headers
SAB_07,09/08/2024,10:15:00,66.7,Bottom,3,885A006,885019,46.056315,-59.412117,3.1,SAB24_EDNA_019,
SAB_08,09/08/2024,12:31:00,62.4,Bottom,3,885A007,885022,46.144731,-59.403695,3.09,SAB24_EDNA_022,
SAB_04,09/08/2024,15:40:00,36.5,Bottom,1,885A008,885023,46.142204,-59.567166,3.11,SAB24_EDNA_023,
SAB_13,08/12/24,NA,110,Bottom,1,885A009,885027,46.271896,-59.238174,3.13,SAB24_EDNA_027,
CURDO_8,08/14/24,09:10:00 AM,55,Bottom,1,885A010,885031,45.87983,-59.6105,3.10,SAB24_EDNA_031,Curdo Bank 10 station grid array start
CURDO_5,08/14/24,09:46:00 AM,55,Bottom,3,885A011,885036,45.884849,-59.605424,3.07,SAB24_EDNA_036,
CURDO_2,08/14/24,10:20:00 AM,54,Bottom,1,885A012,885037,45.888316,-59.602821,3.02,SAB24_EDNA_037,
CURDO_7,08/14/24,11:13:00 AM,67,Bottom,3,885A013,885042,45.905281,-59.608165,3.09,SAB24_EDNA_042,
CURDO_4,08/14/24,11:40:00 AM,60,Bottom,1,885A014,885043,45.900935,-59.60646,3.21,SAB24_EDNA_043,
CURDO_1,08/14/24,12:50:00 PM,34,Bottom,3,885A015,885048,-59.60102811,45.8969893,3.15,SAB24_EDNA_048,
CURDO_10,08/14/24,01:15:00 PM,18,Bottom,1,885A016,885049,45.89139,-59.601783,3.05,SAB24_EDNA_049,
CURDO_3,08/14/24,01:35:00 PM,19,Bottom,3,885A017,885054,45.892496,-59.594283,3.11,SAB24_EDNA_054,
CURDO_6,08/14/24,02:00:00 PM,52,Bottom,1,885A018,885055,45.892053,-59.583449,3.08,SAB24_EDNA_055,"SAMPLED AT 39.5M, wrong depth"
CURDO_9,08/14/24,02:20:00 PM,58,Bottom,3,885A019,885060,45.892634,-59.579056,3.15,SAB24_EDNA_060,
SAB_1,08/14/24,02:52:00 PM,63,Bottom,1,885A020,885061,45.843828,-59.582363,3.1,SAB24_EDNA_061,
SAB_6,08/15/24,01:50:00 PM,75,Bottom,1,885A021,885066,45.94501,-59.42343,3.2,SAB24_EDNA_066,Slowed the CTD drop to 20m per min
SAB_10,08/15/24,02:25:00 PM,55,Bottom,3,885A022,885071,47.940385,-57.258815,3.12,SAB24_EDNA_071,
SAB_5,08/16/24,09:25:00 AM,89,Bottom,1,885A023,885073,45.853575,59.433784,3.19,SAB24_EDNA_073,
SAB_9,08/16/24,11:50:00 AM,90,Bottom,3,885A024,885078,45.862785,-59.275125,3.18,SAB24_EDNA_078,
SAB_14,08/16/24,01:20:00 PM,124,Bottom,1,885A025,885079,45.870942,-59.140814,3.15,SAB24_EDNA_079,
SAB_19,08/16/24,02:55:00 PM,144,Bottom,3,885A026,885084,45.93695,-58.984953,3.16,SAB24_EDNA_084,
SAB_15,08/16/24,04:35:00 PM,94,Bottom,1,885A027,885085,45.936672,-59.100682,3.14,SAB24_EDNA_085,
CAM_34,08/17/24,10:25:00 AM,38,Bottom,3,885A028,885091,45.871411,-59.56617,3.14,SAB24_EDNA_091,
CAM_37,08/17/24,01:45:00 PM,85,Bottom,1,885A029,885092,45.827023,-59.64316,3.18,SAB24_EDNA_092,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
