SampleID,ABL_Sample_ID,Station,Date,Replicate,Sample_Type,Preservative,DNA_Type,Extraction_ID,eDNA_Concentration,IPC,A_lupus_persample,A_lupus_overall,Wolffish_MeanCt,G_morhua_persample,G_morhua_overall,Cod_MeanCt,Hippoglossus_persample,Hippoglossus_overall,Halibut_MeanCt
885001,SAB24_EDNA_001,SAB_16,8-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES888,1.36,No Inhibition,Not Detected,Inconclusive,,Not Detected,Detected,,Not Detected,Not Detected,
885002,SAB24_EDNA_002,SAB_16,8-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES888,5.93,No Inhibition,Not Detected,,,Detected,,36.996,Not Detected,,
885003,SAB24_EDNA_003,SAB_16,8-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES888,3.59,No Inhibition,Not Detected,,,Inconclusive,,37.119,Not Detected,,
885004,SAB24_EDNA_004,SAB_21,8-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES888,2.41,No Inhibition,Not Detected,Not Detected,,Inconclusive,Detected,39.173,Not Detected,Not Detected,
885005,SAB24_EDNA_005,SAB_21,8-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES888,3.33,No Inhibition,Not Detected,,,Inconclusive,,37.280,Not Detected,,
885006,SAB24_EDNA_006,SAB_21,8-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES888,5.32,No Inhibition,Not Detected,,,Inconclusive,,39.526,Not Detected,,
885007,SAB24_EDNA_007,SAB_20,8-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES888,4.48,No Inhibition,Inconclusive,Detected,38.745,Inconclusive,Detected,38.285,Not Detected,Not Detected,
885008,SAB24_EDNA_008,SAB_20,8-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES888,8.84,No Inhibition,Detected,,38.497,Detected,,38.429,Not Detected,,
885009,SAB24_EDNA_009,SAB_20,8-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES888,5.65,No Inhibition,Inconclusive,,39.312,Inconclusive,,38.497,Not Detected,,
885010,SAB24_EDNA_010,BLANK,8-Aug-24,BLANK,SmithRoot,Ethanol,Field Blank,TUBES888,0.28,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
885011,SAB24_EDNA_011,SAB_02,8-Sep-24,1,SmithRoot,Ethanol,Sample,TUBES888,10.7,No Inhibition,Detected,Detected,34.993,Detected,Detected,36.159,Not Detected,Not Detected,
885012,SAB24_EDNA_012,SAB_02,8-Sep-24,2,SmithRoot,Ethanol,Sample,TUBES888,10.6,No Inhibition,Detected,,34.917,Detected,,34.382,Not Detected,,
885013,SAB24_EDNA_013,SAB_02,8-Sep-24,3,SmithRoot,Ethanol,Sample,TUBES888,8.58,No Inhibition,Detected,,35.263,Inconclusive,,37.708,Not Detected,,
885014,SAB24_EDNA_014,SAB_03,8-Sep-24,1,SmithRoot,Ethanol,Sample,TUBES888,9.18,No Inhibition,Detected,Detected,35.201,Detected,Detected,38.073,Not Detected,Not Detected,
885015,SAB24_EDNA_015,SAB_03,8-Sep-24,2,SmithRoot,Ethanol,Sample,TUBES888,5.88,No Inhibition,Detected,,36.209,Detected,,36.238,Not Detected,,
885016,SAB24_EDNA_016,SAB_03,8-Sep-24,3,SmithRoot,Ethanol,Sample,TUBES888,9.5,No Inhibition,Detected,,36.35,Detected,,37.418,Not Detected,,
885017,SAB24_EDNA_017,SAB_07,8-Sep-24,1,SmithRoot,Ethanol,Sample,TUBES888,5.67,No Inhibition,Detected,Detected,36.215,Detected,Detected,37.714,Not Detected,Not Detected,
885018,SAB24_EDNA_018,SAB_07,8-Sep-24,2,SmithRoot,Ethanol,Sample,TUBES888,4.74,No Inhibition,Detected,,37.649,Detected,,37.278,Not Detected,,
885019,SAB24_EDNA_019,SAB_07,8-Sep-24,3,SmithRoot,Ethanol,Sample,TUBES888,5.89,No Inhibition,Detected,,37.588,Detected,,37.567,Not Detected,,
885020,SAB24_EDNA_020,SAB_08,8-Sep-24,1,SmithRoot,Ethanol,Sample,TUBES888,6.19,No Inhibition,Inconclusive,Detected,39.352,Inconclusive,Detected,38.040,Not Detected,Not Detected,
885021,SAB24_EDNA_021,SAB_08,8-Sep-24,2,SmithRoot,Ethanol,Sample,TUBES888,6.41,No Inhibition,Detected,,37.181,Detected,,39.186,Not Detected,,
