sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
ENEG-1_S19	1022	904	88.45	604	604	59.1
ENEG-1_S30	1528	1317	86.19	1012	1012	66.23
ENEG-1_S42	1614	1472	91.2	942	942	58.36
ENEG-2_S39	451	359	79.6	244	244	54.1
ENEG-2_S44	2455	2102	85.62	1511	1511	61.55
ENEG-2_S67	1046	827	79.06	542	542	51.82
KEJI-1	231881	228887	98.71	226079	223155	96.24
KEJI-2	282375	277067	98.12	269878	266536	94.39
KEJI-3	253792	250198	98.58	246547	242639	95.61
KEJI-4	10192	9692	95.09	8471	8471	83.11
MCRG24-001	261538	256846	98.21	250144	248733	95.1
MCRG24-002	262748	260352	99.09	255913	254547	96.88
MCRG24-003	253975	250704	98.71	244778	243431	95.85
MCRG24-004	7826	7513	96	6498	6498	83.03
MCRG24-005	281660	278106	98.74	268061	267943	95.13
MCRG24-006	211423	209555	99.12	204354	204308	96.63
MCRG24-007	272381	269859	99.07	262760	262405	96.34
MCRG24-008	6042	5838	96.62	5083	5083	84.13
MCRG24-009	237762	235424	99.02	226206	224859	94.57
MCRG24-010	219269	217029	98.98	210848	209316	95.46
MCRG24-011	320153	317570	99.19	312345	305763	95.51
MCRG24-012	10807	10686	98.88	10147	9662	89.41
MCRG24-013	164691	161005	97.76	155388	154598	93.87
MCRG24-014	267627	263766	98.56	256007	254931	95.26
MCRG24-015	94020	90257	96	78807	78704	83.71
MCRG24-016	8273	8037	97.15	7111	7111	85.95
MCRG24-017	14385	14027	97.51	12825	12825	89.16
MCRG24-018	266489	261455	98.11	249643	244820	91.87
MCRG24-019	278366	274119	98.47	265050	262588	94.33
MCRG24-020	126707	124598	98.34	121364	120640	95.21
MCRG24-021	291614	288686	99	280869	278896	95.64
MCRG24-022	245610	243263	99.04	237881	235643	95.94
MCRG24-023	306657	301767	98.41	288577	287193	93.65
MCRG24-024	2151	1881	87.45	1104	1104	51.32
MCRG24-025	319941	316878	99.04	310202	306156	95.69
MCRG24-026	309443	305180	98.62	295052	292169	94.42
MCRG24-027	238489	236744	99.27	232633	230235	96.54
MCRG24-028	107438	104682	97.43	101736	101736	94.69
MCRG24-029	227585	224777	98.77	220599	219463	96.43
MCRG24-030	240413	237120	98.63	232412	231007	96.09
MCRG24-031	82376	80683	97.94	77780	77529	94.12
MCRG24-032	4257	4168	97.91	3973	3973	93.33
MCRG24-033	232997	227594	97.68	220267	218649	93.84
MCRG24-034	241492	238892	98.92	235852	235207	97.4
MCRG24-035	60420	58401	96.66	54537	54515	90.23
MCRG24-036	57646	56383	97.81	52919	52919	91.8
MCRG24-037	61153	60420	98.8	59514	58973	96.44
MCRG24-038	286363	284112	99.21	277084	276070	96.41
MCRG24-039	285392	283603	99.37	279617	278556	97.6
MCRG24-040	309126	306457	99.14	296573	295156	95.48
MCRG24-041	257399	253298	98.41	247127	246536	95.78
MCRG24-042	274553	271616	98.93	263529	261195	95.13
MCRG24-043	267584	263656	98.53	255553	253273	94.65
MCRG24-044	2768	2611	94.33	2184	2184	78.9
MCRG24-045	214760	211607	98.53	206792	206481	96.14
MCRG24-046	268954	265853	98.85	261139	259873	96.62
MCRG24-048	4305	4000	92.92	3131	3131	72.73
MCRG24-049	256832	254226	98.99	250358	248782	96.87
MCRG24-050	247701	244370	98.66	239196	237943	96.06
MCRG24-051	161127	159277	98.85	154334	152743	94.8
MCRG24-052	6415	6006	93.62	4408	4408	68.71
MCRG24-053	245263	241846	98.61	240534	239023	97.46
MCRG24-054	260493	253091	97.16	250200	248872	95.54
MCRG24-055	282363	274153	97.09	268853	267597	94.77
MCRG24-056	37359	36971	98.96	35890	35890	96.07
MCRG24-057	194419	191489	98.49	187435	186633	96
MCRG24-058	229322	227345	99.14	220634	219658	95.79
MCRG24-059	313668	308320	98.3	295226	293591	93.6
MCRG24-060	12326	12202	98.99	12001	12001	97.36
