ASV,Phylum,V14,Class,V16,V17,V18,V19,V20,V21,V23,V24,V26,Species,V29,KEJI.1,KEJI.2,KEJI.3,KEJI.4,MCRG24.001,MCRG24.002,MCRG24.003,MCRG24.004,MCRG24.005,MCRG24.006,MCRG24.007,MCRG24.008,MCRG24.009,MCRG24.010,MCRG24.011,MCRG24.012,MCRG24.013,MCRG24.014,MCRG24.015,MCRG24.016,MCRG24.017,MCRG24.018,MCRG24.019,MCRG24.020,MCRG24.021,MCRG24.022,MCRG24.023,MCRG24.024,MCRG24.025,MCRG24.026,MCRG24.027,MCRG24.028,MCRG24.029,MCRG24.030,MCRG24.032,MCRG24.033,MCRG24.034,MCRG24.036,MCRG24.037,MCRG24.038,MCRG24.039,MCRG24.040,MCRG24.041,MCRG24.042,MCRG24.043,MCRG24.044,MCRG24.045,MCRG24.046,MCRG24.048,MCRG24.049,MCRG24.050,MCRG24.051,MCRG24.052,MCRG24.053,MCRG24.054,MCRG24.055,MCRG24.056,MCRG24.057,MCRG24.058,MCRG24.059,MCRG24.060,Undetermined,ENEG.1_S19,ENEG.1_S30,ENEG.1_S41,ENEG.2_S38,ENEG.2_S43,ENEG.2_S65
979498d3c142e8d12d21fb5101bdaad1,Annelida,1,Polychaeta,class,1,Terebellida,order,1,Cirratulidae,1,Dodecaceria,1,Dodecaceria_concharum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,44,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,91,80,0,0,13,64,51,0,52,0,0,0,0,0,0
b880ef2f6fcb65435e8a4384f6c3d2cf,Annelida,1,Polychaeta,class,1,Terebellida,order,1,Cirratulidae,1,Dodecaceria,1,Dodecaceria_concharum,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0,0,0,72,67,0,13,14,0,0,0,63,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,31,61,27,0,104,0,70,0,0,53,0,0,0,0,0,0,0,0,0
6b6bb0606db0cd2c0549d3223b696c88,Annelida,1,Polychaeta,class,1,Terebellida,order,1,Terebellidae,1,Amphitrite,1,Amphitrite_figulus,1,0,0,0,0,0,0,23,0,101,62,59,0,0,0,0,0,15,18,26,0,0,274,348,0,0,7,5,0,152,101,40,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,56,0,0,0,0,0,0
66c6b28760eb936d4fa0621472cd1cfe,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Prionospio,1,Prionospio_steenstrupi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcc1601e97572a444572934329affc95,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Prionospio,1,Prionospio_steenstrupi,1,0,0,0,12,0,0,0,0,0,0,0,0,3394,1919,4,0,5732,12130,719,0,0,0,292,9,0,0,0,0,0,0,7,0,13,11,0,0,0,22,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0
a839bfe107eff1d3255533054c0c0740,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Prionospio,1,Prionospio_steenstrupi,1,0,3,0,0,23,2323,0,0,0,0,0,0,15707,14437,127,10,1875,0,1358,0,0,2895,3634,0,0,0,0,0,16,0,0,0,0,0,0,139,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,0,0,0,12,0,0,1460,0,0,0,0,0,0
ecb9285772fac4627e799fe3fbe45f79,Annelida,1,Polychaeta,class,1,Phyllodocida,order,1,Nereididae,1,Alitta,1,Alitta_virens,1,1295,917,1258,0,424,689,406,0,47,0,56,0,173,101,373,0,447,479,17,0,0,774,1566,47,26,0,22,0,345,495,248,0,33,33,0,96,8,0,0,779,835,6325,77,268,142,0,424,486,0,17,35,0,0,380,160,105,0,10,75,50,0,723,0,0,0,0,0,0
96d73da384acc5c1d101d66639f703d6,Annelida,1,Polychaeta,class,1,Phyllodocida,order,1,Glyceridae,1,Glycera,1,Glycera_dibranchiata,1,0,6,0,10,0,44,14,0,126,95,682,0,4526,5251,1294,0,105,17165,1498,0,0,637,1035,19,8,0,0,0,30,26,17,0,20,21,0,30,0,10,0,6,0,28,0,116,6,0,6,0,0,0,0,0,5,0,14,8,0,5,14,25,0,1030,0,0,0,0,0,0
e9ed6002f3548f30b28c6bc1f4a23d91,Annelida,1,Polychaeta,class,1,Phyllodocida,order,1,Nephtyidae,1,Micronephthys,1,Micronephthys_minuta,1,0,0,0,0,0,0,0,0,0,0,0,0,446,203,0,0,53,113,20,0,0,49,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
b4778f8d1a875bf0d68959b499a13035,Annelida,1,Polychaeta,class,1,Terebellida,order,1,Flabelligeridae,1,Pherusa,1,Pherusa_affinis,1,0,0,0,0,27,0,43,0,288,0,199,0,0,0,0,0,0,0,51,0,0,0,0,0,0,17,0,0,0,761,560,0,0,39,0,27,0,0,0,0,97,283,0,0,20,0,0,37,0,4,0,0,0,0,96,160,0,17,0,115,0,0,0,0,0,0,0,0
