Species,confidence,ENEG.1_S19,ENEG.1_S30,ENEG.1_S41,ENEG.2_S38,ENEG.2_S43,ENEG.2_S65,KEJI.1,KEJI.2,KEJI.3,KEJI.4,MCRG24.001,MCRG24.002,MCRG24.003,MCRG24.004,MCRG24.005,MCRG24.006,MCRG24.007,MCRG24.008,MCRG24.009,MCRG24.010,MCRG24.011,MCRG24.012,MCRG24.013,MCRG24.014,MCRG24.015,MCRG24.016,MCRG24.017,MCRG24.018,MCRG24.019,MCRG24.020,MCRG24.021,MCRG24.022,MCRG24.023,MCRG24.024,MCRG24.025,MCRG24.026,MCRG24.027,MCRG24.028,MCRG24.029,MCRG24.030,MCRG24.032,MCRG24.033,MCRG24.034,MCRG24.036,MCRG24.037,MCRG24.038,MCRG24.039,MCRG24.040,MCRG24.041,MCRG24.042,MCRG24.043,MCRG24.044,MCRG24.045,MCRG24.046,MCRG24.048,MCRG24.049,MCRG24.050,MCRG24.051,MCRG24.052,MCRG24.053,MCRG24.054,MCRG24.055,MCRG24.056,MCRG24.057,MCRG24.058,MCRG24.059,MCRG24.060
Micromonas_pusilla,1,85,70,122,30,220,95,8263,9345,11203,100,8562,5835,10647,126,26007,29250,39716,233,13183,8396,16039,96,25685,23144,11876,113,249,18419,18867,357,57979,53163,62635,59,54627,38579,74967,238,12441,43261,83,41439,1030,116,158,59444,78449,51373,7905,33307,29341,97,13555,20449,183,14489,23525,15585,144,24392,64087,42294,155,3197,27360,21458,117
Micromonas_pusilla,1,0,0,0,0,0,0,0,0,0,0,151,107,193,0,290,309,412,0,240,127,293,0,538,463,243,0,0,341,386,0,0,367,411,0,869,585,1144,0,0,476,0,366,0,0,0,776,1093,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cystoclonium_purpureum,1,0,0,0,0,0,0,0,0,0,0,7,11,34,0,0,3,8,0,31,29,5,0,12,11,8,0,0,174,222,0,0,10,10,0,243,155,475,0,4,3,0,4,0,0,0,9,11,19,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0
Scomber_scombrus,1,0,0,0,0,0,0,0,0,0,0,18,70,17,0,0,2,0,0,0,0,0,0,58,11,0,0,0,0,19,7,129,67,43,0,8,13,10,0,516,335,0,413,22,0,0,0,13,64,0,5,3,0,0,4,0,0,0,0,0,37,0,7,0,4,24,14,0
Mytilus_edulis,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,16,21,0,60,41,20,0,0,6,0,0,0,165,182,0,0,0,0,0,31,0,22,0,15,19,0,11,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,199,0,87,587,0,0,0,0,323,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,303,95,0,0,57,0,0,0,0,102,320,47,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283,0,474,112,0,0,0,0,0,0,221,494,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,413,0,909,3342,0,0,0,0,536,379,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,172,0,0,0,0,0,0,0,0,170,2054,0,0,0,0,0,0,0,0,28,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,2226,1214,1552,406,152,0,0,0,3525,439,473,0,0,67,0,0,0,0,0,0,0,0,0,0,10,0,0,0,307,0,0,28,0,0,0,2242,2359,1802,0,0,707,0,0,0,0,0,701,120,0,0,1089,863,0,0,937,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
