samplingStation,materialSampleID,SmithRootID,eventDate,dateFiltration,season,timeFiltration,SiteDescription,replicate,controlType,volumeFiltered,sampleDepth,decimalLatitude,decimalLongitude,FilterPoreSize,ABLextraction_ID,recordedBy,Notes,waterColumnDepth,tide,depthWaterTemp,totalDNAconc,unitsDNAconc
TaylorHead,MCRG24_009,218,5/17/2024,5/17/2024,Spring,9:37,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",1,,2.93,2,44.8203,-62.5716,1.2,TUBES886,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Meghan McBride, Kyle Matheson",Seining and water sampling - for all seining samples using non-self-preserving smith root 1.2um PES filters,,,,,
TaylorHead,MCRG24_010,219,5/17/2024,5/17/2024,Spring,9:49,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",2,,3.03,2,44.8206,-62.5721,1.2,TUBES886,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Meghan McBride, Kyle Matheson",,,,,,
TaylorHead,MCRG24_011,220,5/17/2024,5/17/2024,Spring,10:01,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",3,,3.09,2,44.8208,-62.5724,1.2,TUBES886,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Meghan McBride, Kyle Matheson","Site in the shallower rockier area than other 2 sample sites, some FW input",,,,,
TaylorHead,MCRG24_012,221,5/17/2024,5/17/2024,Spring,10:12,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",Blank,field blank,2.81,NA,NA,NA,1.2,TUBES886,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Meghan McBride, Kyle Matheson",,,,,,
Moosehead,MCRG24_013,222,5/21/2024,5/21/2024,Spring,,"Mud/sand beach in Moosehead, right off Hwy 7. Some freshwater input",1,,3,1.5,44.942492,-62.265288,1.2,TUBES886,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Meghan McBride, Emily Cormier","Seining and water sampling; Site 1 = near FW input, low salinity; Site 2 in middle of beach, Site 3 at far end away from FW input",,,,,
Moosehead,MCRG24_014,223,5/21/2024,5/21/2024,Spring,,"Mud/sand beach in Moosehead, right off Hwy 7. Some freshwater input",2,,3,1.5,44.942492,-62.265288,1.2,TUBES886,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Meghan McBride, Emily Cormier",,,,,,
Moosehead,MCRG24_015,224,5/21/2024,5/21/2024,Spring,,"Mud/sand beach in Moosehead, right off Hwy 7. Some freshwater input",3,,3,1.5,44.942492,-62.265288,1.2,TUBES886,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Meghan McBride, Emily Cormier",,,,,,
Moosehead,MCRG24_016,225,5/21/2024,5/21/2024,Spring,,"Mud/sand beach in Moosehead, right off Hwy 7. Some freshwater input",Blank,field blank,2.4,1.5,NA,NA,1.2,TUBES886,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Meghan McBride, Emily Cormier",,,,,,
Goldboro,MCRG24_017,226,5/22/2024,5/22/2024,Spring,,Rocky beach near Hurricane Island,Blank,field blank,2.8,,45.165722,-61.643597,1.2,TUBES886,"Ryan Stanley, Harri Pettitt-Wade","eDNA only; snorkel notes: sea raven, eels, cunner, rock crab, seagrass and brown algae",,,,,
Goldboro,MCRG24_018,227,5/22/2024,5/22/2024,Spring,,Rocky beach near Hurricane Island,1,,3,,45.165722,-61.643597,1.2,TUBES886,"Ryan Stanley, Harri Pettitt-Wade",eDNA only,,,,,
Goldboro,MCRG24_019,228,5/22/2024,5/22/2024,Spring,,Rocky beach near Hurricane Island,2,,2.96,,45.165722,-61.643597,1.2,TUBES886,"Ryan Stanley, Harri Pettitt-Wade",eDNA only,,,,,
Goldboro,MCRG24_020,229,5/22/2024,5/22/2024,Spring,,Rocky beach near Hurricane Island,3,,3.02,NA,NA,NA,1.2,TUBES886,"Ryan Stanley, Harri Pettitt-Wade",eDNA only,,,,,
Little Harbour,MCRG24_001,210,5/16/2024,5/16/2024,Spring,9:20,Sandy/rocky beach beside government wharf,1,,2.97,1,44.709065,-62.840988,1.2,TUBES886,"Harri Pettitt-Wade, Mallory Van Wyngaarden",eDNA only,,,,,
Little Harbour,MCRG24_002,211,5/16/2024,5/16/2024,Spring,9:20,Sandy/rocky beach beside government wharf,2,,3.04,1,44.709065,-62.840988,1.2,TUBES886,"Harri Pettitt-Wade, Mallory Van Wyngaarden",eDNA only,,,,,
Little Harbour,MCRG24_003,212,5/16/2024,5/16/2024,Spring,9:20,Sandy/rocky beach beside government wharf,3,,3.01,1,44.709065,-62.840988,1.2,TUBES886,"Harri Pettitt-Wade, Mallory Van Wyngaarden",eDNA only,,,,,
