Species,percentMatch,ENEG.1_S19,ENEG.1_S30,ENEG.1_S42,ENEG.2_S39,ENEG.2_S44,ENEG.2_S67,KEJI.1,KEJI.2,KEJI.3,KEJI.4,MCRG24.001,MCRG24.002,MCRG24.003,MCRG24.004,MCRG24.005,MCRG24.006,MCRG24.007,MCRG24.008,MCRG24.009,MCRG24.010,MCRG24.011,MCRG24.012,MCRG24.013,MCRG24.014,MCRG24.015,MCRG24.016,MCRG24.017,MCRG24.018,MCRG24.019,MCRG24.020,MCRG24.021,MCRG24.022,MCRG24.023,MCRG24.024,MCRG24.025,MCRG24.026,MCRG24.027,MCRG24.028,MCRG24.029,MCRG24.030,MCRG24.031,MCRG24.032,MCRG24.033,MCRG24.034,MCRG24.035,MCRG24.036,MCRG24.037,MCRG24.038,MCRG24.039,MCRG24.040,MCRG24.041,MCRG24.042,MCRG24.043,MCRG24.044,MCRG24.045,MCRG24.046,MCRG24.048,MCRG24.049,MCRG24.050,MCRG24.051,MCRG24.052,MCRG24.053,MCRG24.054,MCRG24.055,MCRG24.056,MCRG24.057,MCRG24.058,MCRG24.059,MCRG24.060
Fundulus heteroclitus,98.4,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,471,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fundulus diaphanus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,75,0,358,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fundulus heteroclitus,99.2,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fundulus heteroclitus,100,12,30,15,0,28,0,5752,9205,8064,0,2598,2892,3672,28,1659,3869,1969,11,44,0,34,0,0,280,64,26,18,1917,1810,26,15620,7652,8800,0,7076,9994,5843,17,7,472,157,4,3169,3167,314,8,0,37,11,23,11872,20323,17433,11,17308,17215,15,15,45,31,0,22,30,42,22,0,20,43,0
Morone saxatilis,100,0,0,0,0,0,0,143,0,0,0,1224,955,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tautogolabrus adspersus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tautogolabrus adspersus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tautogolabrus adspersus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tautogolabrus adspersus,100,25,28,92,28,143,19,278,509,524,60,1194,3746,8132,34,540,340,1647,242,5333,7617,4855,64,1520,5748,989,54,140,5846,3830,4036,20926,14433,19088,42,55926,62462,45662,284,27675,25118,15623,33,16117,28852,3081,112,87,95960,134558,61001,2443,1511,3209,43,558,1140,112,16436,22266,3746,32,1966,2403,2251,39,2667,6147,1940,35
Tautogolabrus adspersus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,0,0,0,0,0,0,0,0,0
Sebastes mentella,100,0,0,0,0,0,0,0,0,0,0,1666,770,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apeltes quadracus,99.2,0,0,0,0,0,0,894,888,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,316,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,850,0,0,0,0,0,0
Clupea harengus,100,0,0,0,0,0,0,0,648,0,0,0,0,0,0,747,408,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,2570,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,215,0,0,0,0,0,0,0,0,3759,3445,3326,0,0,0,0,0
Clupea harengus,100,95,15,0,0,122,31,612,587,1379,104,1357,1717,1662,17,14040,10509,9873,78,234,2023,0,11,309,643,417,0,18,17255,11189,6286,14717,7441,14904,8,26031,15051,6861,63228,460,4748,559,0,2811,2351,1480,52,50,396,0,83,2240,4541,8617,49,755,1474,47,1676,217,29,0,171336,181683,191276,20,0,431,451,5
Clupea harengus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,215,0,0,0,0,0,0,0,0,0,269,0,145,142,939,0,1190,0,129,0,0,0,147,0,0,0,0,0,0,0,613,0,0,0,0,0,0,0,0,0,0,0,0,3210,2661,2396,0,0,0,0,0
Clupea harengus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,478,0,0,0,0,0,0,0,0,0,0,0,0,0,133,281,262,0,0,0,0,330,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3886,3195,4842,0,0,0,0,0
Clupea harengus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
