,,,,,,,,,,,,,IPC,,,,,,A. lupus cytb  (LOD =  3 copies/reaction),,,,,,,,,,,,G. morhua cytb  (LOD =  1.5 copies/reaction),,,,,,,,,,,,H. hippoglossus cytb  (LOD =  1.5 copies/reaction),,,,,,,,,,,
SampleID,ABL_Sample_ID,Replicate,Site_Name,ABL_Location_Code,Lat,Long,Sample_Date,Sample_Type,Preservative,DNA_Type,Extraction_ID,eDNA_Concentration (ng/µL),IPC_Run,IPC_Ct 1,IPC_Ct 2,IPC_Ct 3,NTC Mean Ct,Result,Run,Ct 1,Ct 2,Ct 3,Ct Mean,Ct Std. Dev.,Quantity 1,Quantity 2,Quantity 3,Result (by qPCR replicate),Result (by sample/station replicate),Notes,Run,Ct 1,Ct 2,Ct 3,Ct Mean,Ct Std. Dev.,Quantity 1,Quantity 2,Quantity 3,Result (by qPCR replicate),Result (by sample/station replicate),Notes,Run,Ct 1,Ct 2,Ct 3,Ct Mean,Ct Std. Dev.,Quantity 1,Quantity 2,Quantity 3,Result (LOD = 1.5 copies/reaction),Result (by sample/station replicate),Notes
kpca_edna_01,PER25-1,1,KIPCA_01,KIP,46.367975,60.381806,10-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,4.78,APC0287 A_lupus_IPC_qPCR01,27.59,27.633,27.487,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,35.773,Undetermined,36.102,35.938,0.232,1.986,,1.581,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
kpca_edna_01,PER25-2,2,KIPCA_01,KIP,46.367975,60.381806,10-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,4.75,APC0287 A_lupus_IPC_qPCR01,27.668,27.746,27.573,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,Undetermined,36.512,Undetermined,36.512,,,1.189,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
kpca_edna_01,PER25-3,3,KIPCA_01,KIP,46.367975,60.381806,10-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,3.48,APC0287 A_lupus_IPC_qPCR01,27.667,27.706,27.784,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,Undetermined,36.861,Undetermined,36.861,,,0.933,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625001,PER25-4,1,SAB_07,SBK,46.056649,59.415992,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,2.60,APC0287 A_lupus_IPC_qPCR01,27.834,27.72,27.765,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,35.803,36.931,36.197,36.31,0.572,6.986,3.181,5.307,Detected,Detected,,APC0287 G_morhua qPCR01,37.758,Undetermined,Undetermined,37.758,,0.501,,,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,Redo = match to first run
625002,PER25-5,2,SAB_07,SBK,46.056649,59.415992,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,2.28,APC0287 A_lupus_IPC_qPCR01,27.839,27.795,27.867,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,39.157,38.401,Undetermined,38.779,0.534,0.673,1.141,,Inconclusive,,,APC0287 G_morhua qPCR01,Undetermined,36.819,36.732,36.776,0.061,,0.961,1.021,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,39.267,39.267,,,,0.787,Inconclusive,,Redo = Not Detected; first run = Inconclusive = FINAL result
625003,PER25-6,3,SAB_07,SBK,46.056649,59.415992,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,2.29,APC0287 A_lupus_IPC_qPCR01,27.701,27.759,27.795,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,36.19,37.03,35.524,,,,,,Detected,,,APC0287 G_morhua qPCR01,34.775,36.857,Undetermined,35.816,1.472,3.974,0.936,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,Redo = match to first run
625004,PER25-7,1,SAB_08,SBK,46.141882,59.404368,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,2.73,APC0287 A_lupus_IPC_qPCR01,27.564,27.598,27.522,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,35.663,36.731,37.842,36.745,1.09,7.705,3.658,1.685,Detected,Detected,,APC0287 G_morhua qPCR01,36.196,36.811,36.720,36.576,0.332,1.481,0.966,1.029,Detected,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625005,PER25-8,2,SAB_08,SBK,46.141882,59.404368,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,1.64,APC0287 A_lupus_IPC_qPCR01,27.508,27.718,27.611,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,41.756,Undetermined,41.756,,,0.11,,Inconclusive,,,APC0287 G_morhua qPCR01,Undetermined,36.793,36.865,36.829,0.051,,0.978,0.931,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625006,PER25-9,3,SAB_08,SBK,46.141882,59.404368,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,2.07,APC0287 A_lupus_IPC_qPCR01,27.619,27.725,27.684,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,37.379,Undetermined,38.409,37.894,0.728,2.327,,1.135,Inconclusive,,,APC0287 G_morhua qPCR01,36.753,37.697,37.946,37.465,0.630,1.006,0.522,0.439,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625007,PER25-10,1,SAB_04,SBK,46.142161,59.568747,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,1.46,APC0287 A_lupus_IPC_qPCR01,27.714,27.71,27.701,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,37.479,Undetermined,39.432,38.456,1.382,2.171,,0.556,Inconclusive,Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625008,PER25-11,2,SAB_04,SBK,46.142161,59.568747,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,2.34,APC0287 A_lupus_IPC_qPCR01,27.756,27.83,27.775,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,36.697,35.598,35.980,,,,,,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625009,PER25-12,3,SAB_04,SBK,46.142161,59.568747,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,2.28,APC0287 A_lupus_IPC_qPCR01,27.622,27.658,27.609,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,36.712,Undetermined,Undetermined,36.712,,3.704,,,Inconclusive,,,APC0287 G_morhua qPCR01,37.068,36.483,Undetermined,36.776,0.413,0.808,1.213,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625010,PER25-13,1,SAB_03,SBK,46.067035,59.57806,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,3.21,APC0287 A_lupus_IPC_qPCR01,27.684,27.632,27.697,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,35.394,36.057,36.438,35.963,0.528,9.29,5.85,4.486,Detected,Detected,,APC0287 G_morhua qPCR01,36.038,36.872,Undetermined,36.455,0.590,1.653,0.926,,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625011,PER25-14,2,SAB_03,SBK,46.067035,59.57806,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,3.63,APC0287 A_lupus_IPC_qPCR01,27.763,27.611,27.82,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,36.387,Undetermined,37.019,36.703,0.447,4.648,,2.991,Inconclusive,,,APC0287 G_morhua qPCR01,36.824,36.604,35.941,36.456,0.460,0.957,1.115,,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
