samplingStation,materialSampleID,totalDNAconc,unitsDNAconc,eventDate,dateFiltration,eventTime,SmithRootID,Replicate,volumeFiltered,timeFiltration,controlType,sampleDepth,waterColumnDepth,decimalLatitude,decimalLongitude,FilterPoreSize,recordedBy,waterTemp,tide,depthWaterTemp
BBL_06,AZMP2024.EDNA.003,,,10/6/2024,10/6/2024,,,,4.23,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
BBL_06,AZMP2024.EDNA.004,,,10/6/2024,10/6/2024,,,,4.21,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
BBL_04,AZMP2024.EDNA.007,,,10/6/2024,10/6/2024,,,,4.18,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
BBL_04,AZMP2024.EDNA.008,,,10/6/2024,10/6/2024,,,,4.13,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
GUL_04,AZMP2024.EDNA.043,,,10/16/2024,10/16/2024,,,,4.11,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
GUL_04,AZMP2024.EDNA.044,,,10/16/2024,10/16/2024,,,,4.09,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
GUL_04,AZMP2024.EDNA.045,,,10/16/2024,10/16/2024,,,,4.15,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
GUL_04,AZMP2024.EDNA.046,,,10/16/2024,10/16/2024,,,,4.05,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
LL_09,AZMP2024.EDNA.048,,,10/16/2024,10/16/2024,,,,4.07,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
LL_09,AZMP2024.EDNA.049,,,10/16/2024,10/16/2024,,,,4.09,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
