X953.ENEG.1,X953.ENEG.2,X954.ENEG.1,X954.ENEG.2,X955.ENEG.1,X955.ENEG.2,X956.ENEG.1,X956.ENEG.2,X957.ENEG.1,X958.ENEG.1,X958.ENEG.2,X959.ENEG.1,AZMP2024.EDNA.003,AZMP2024.EDNA.004,AZMP2024.EDNA.007,AZMP2024.EDNA.008,AZMP2024.EDNA.009,AZMP2024.EDNA.043,AZMP2024.EDNA.044,AZMP2024.EDNA.045,AZMP2024.EDNA.046,AZMP2024.EDNA.047,AZMP2024.EDNA.048,AZMP2024.EDNA.049,AZMP2024.EDNA.050,AZMP2024.EDNA.051,PER25.1,PER25.10,PER25.100,PER25.101,PER25.102,PER25.103,PER25.104,PER25.105,PER25.106,PER25.107,PER25.108,PER25.109,PER25.11,PER25.110,PER25.111,PER25.112,PER25.113,PER25.114,PER25.115,PER25.116,PER25.117,PER25.118,PER25.119,PER25.12,PER25.120,PER25.121,PER25.122,PER25.123,PER25.124,PER25.125,PER25.126,PER25.127,PER25.13,PER25.14,PER25.15,PER25.16,PER25.17,PER25.18,PER25.19,PER25.2,PER25.20,PER25.21,PER25.22,PER25.23,PER25.24,PER25.25,PER25.26,PER25.27,PER25.28,PER25.29,PER25.3,PER25.30,PER25.31,PER25.32,PER25.33,PER25.34,PER25.35,PER25.36,PER25.37,PER25.38,PER25.39,PER25.4,PER25.40,PER25.41,PER25.42,PER25.43,PER25.44,PER25.45,PER25.46,PER25.47,PER25.48,PER25.49,PER25.5,PER25.50,PER25.51,PER25.52,PER25.53,PER25.54,PER25.55,PER25.56,PER25.57,PER25.58,PER25.59,PER25.6,PER25.60,PER25.61,PER25.62,PER25.63,PER25.64,PER25.65,PER25.66,PER25.67,PER25.68,PER25.69,PER25.7,PER25.70,PER25.71,PER25.72,PER25.73,PER25.74,PER25.75,PER25.76,PER25.77,PER25.78,PER25.79,PER25.8,PER25.80,PER25.81,PER25.82,PER25.83,PER25.84,PER25.85,PER25.86,PER25.87,PER25.88,PER25.89,PER25.9,PER25.90,PER25.91,PER25.92,PER25.93,PER25.94,PER25.95,PER25.96,PER25.97,PER25.99,Phylum,V14,Class,V16,V17,V18,V19,V20,V21,V23,V24,V26,Species,V29
69,34,31,51,48,74,142,43,65,30,72,45,65,17,4132,3195,60,130,23,115,199,28,89,118,98,81,29292,50132,42667,46980,69057,70443,76387,76746,64884,44744,75437,71416,50605,78795,79466,75934,53,15699,18395,16811,13,88,112,47742,128,146,101,239,420,92,187,82,58920,67324,68476,76076,79082,80137,58807,33971,20320,60600,56425,62899,71422,74315,90981,81563,61392,66244,51765,62929,72740,13233,78338,84051,85090,75687,80338,79675,183,74036,76855,65024,2208,25078,23112,22365,554,622,386,2200,54172,2396,2311,480,189,321,1306,1196,1144,4127,5519,59881,5638,16091,16234,14473,59598,59801,64767,27732,32913,29941,3894,72987,71490,67545,56178,66358,62274,41,15233,15634,12711,18782,2111,2136,2336,343,416,490,158,168,169,254,22036,140,208,46,48000,53889,48989,59073,33207,46529,Chlorophyta,0.99,Mamiellophyceae,class,0.99,Mamiellales,order,0.99,Mamiellaceae,0.99,Micromonas_green_algae,0.99,Micromonas_pusilla,0.99
6,0,12,0,14,24,48,0,0,0,36,0,18,62,20435,15849,13,142,46,81,164,9,23,37,41,20,41498,5896,13603,23168,31883,39535,26793,27442,31276,13865,34959,26005,6617,22365,21002,23633,19,2920,4198,3344,9,17,228,6953,110,209,110,322,1333,147,382,24,28909,35210,25684,13236,20226,14522,8777,54280,3505,10179,20639,17277,17881,15587,20779,25467,30100,30208,56009,14558,19396,2830,26193,20708,26951,12452,14359,14535,55,8942,10547,9733,779,4758,4903,3924,338,220,123,396,7768,319,495,336,84,169,399,563,546,974,1038,6063,1031,2022,2273,2140,8880,8419,10133,3606,6240,4858,506,11831,12605,15707,12076,9656,11322,5,2732,2298,1644,2424,638,341,330,170,236,161,269,108,79,32,2634,45,56,15,16232,17866,15317,19830,8240,20613,Chlorophyta,1,Mamiellophyceae,class,1,Mamiellales,order,1,Mamiellaceae,1,Micromonas_green_algae,1,Micromonas_pusilla,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,0,0,9,28,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,28,0,0,17,0,21,10,10,0,0,16,0,0,0,0,0,28,0,127707,13,54,508,9,0,85,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,Cnidaria,1,Anthozoa,class,1,Alcyonacea,order,1,Nephtheidae,1,Gersemia,1,Gersemia_rubiformis,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7935,0,0,0,0,738,0,0,0,391,57,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373,2636,156,0,0,1027,0,9170,0,0,0,0,0,0,0,188,10684,163,8989,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17023,Arthropoda,1,Hexanauplia,class,1,Calanoida,order,1,Clausocalanidae,1,Pseudocalanus,1,Pseudocalanus_newmani,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,1087,1797,1832,2037,0,1715,0,0,1947,0,0,0,2024,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2210,2143,1572,900,0,0,1463,1636,1770,2025,2404,0,1544,1768,1406,1652,1911,0,2009,0,0,0,0,2154,0,0,0,1383,0,603,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,411,1573,0,0,749,0,838,0,1873,1949,1762,0,1736,0,0,390,451,303,529,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,1450,1335,1635,0,0,Chlorophyta,0.98,Mamiellophyceae,class,0.98,Mamiellales,order,0.98,Mamiellaceae,0.98,Micromonas_green_algae,0.98,Micromonas_pusilla,0.98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,919,1737,2038,1990,0,1746,0,0,1869,0,0,0,1952,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2265,2126,1562,937,0,0,1401,1761,1862,1993,2259,0,1601,1814,1404,1540,1764,0,2049,0,0,0,0,2053,0,0,0,1134,0,507,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,1352,0,0,718,0,771,0,1729,1799,1814,0,1708,0,0,327,437,335,511,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,1402,1399,1661,0,0,Chlorophyta,0.99,Mamiellophyceae,class,0.98,Mamiellales,order,0.98,Mamiellaceae,0.98,Micromonas_green_algae,0.98,Micromonas_pusilla,0.98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,1299,0,0,0,0,0,1963,0,1497,1967,0,1284,2050,2144,0,0,0,543,453,0,0,0,1322,0,0,0,0,0,0,0,0,1617,1741,1840,1933,0,0,0,0,560,1647,0,0,0,0,0,2143,0,0,0,0,0,375,0,2255,2183,1926,2222,0,0,1903,2025,0,0,0,0,632,0,0,0,0,1511,0,0,0,0,0,0,0,0,110,0,1529,141,402,473,0,0,1509,1724,0,871,0,182,0,0,0,1527,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,0,0,0,0,1235,Chlorophyta,0.99,Mamiellophyceae,class,0.99,Mamiellales,order,0.99,Mamiellaceae,0.99,Micromonas_green_algae,0.99,Micromonas_pusilla,0.99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,653,360,466,860,863,891,887,819,505,868,788,573,983,990,810,0,175,189,0,0,0,0,505,0,0,0,0,0,0,0,0,574,783,674,824,961,1078,499,388,208,556,522,619,634,992,924,990,875,844,524,859,943,200,845,982,984,908,804,993,0,779,961,794,0,0,219,240,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,622,0,191,0,0,664,434,560,0,0,0,0,718,638,599,544,624,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,479,565,546,607,0,504,Chlorophyta,0.99,Mamiellophyceae,class,0.99,Mamiellales,order,0.99,Mamiellaceae,0.99,Micromonas_green_algae,0.99,Micromonas_pusilla,0.99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,0,4,0,16,0,0,8,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2815,15491,10481,28,50,31,0,0,0,0,6,0,0,0,0,8,0,0,0,17,4,51,8,0,6,0,0,0,0,0,0,22,0,0,0,0,0,3,0,10,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,4,3,8,0,0,0,Porifera,1,Demospongiae,class,1,Poecilosclerida,order,1,Myxillidae,1,Ectyonopsis,1,Ectyonopsis_pluridentata,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,211,1035,257,623,279,220,360,303,317,267,373,231,357,332,0,36,0,0,0,0,0,219,0,0,0,0,0,0,0,0,311,477,215,848,985,601,192,18,66,221,29,174,220,794,686,193,62,74,83,205,127,141,341,293,515,587,416,312,0,1082,316,392,0,176,0,155,239,36,247,461,1151,377,442,256,0,110,232,1201,740,70,189,823,96,75,0,122,0,45,0,42,0,67,81,90,26,0,75,0,0,0,203,0,0,449,66,90,0,380,260,446,0,0,0,193,230,557,489,0,200,200,226,176,94,221,Echinodermata,1,Ophiuroidea,class,1,Amphilepidida,order,1,Ophiactidae,1,Ophiopholis,1,Ophiopholis_aculeata,1
