sample-id	watersample	concentration	depth	station	habitatclass
#q2:types	categorical	numeric	numeric	categorical	categorical
953-ENEG-1	labblank	0	0	labblank	
953-ENEG-2	labblank	0	0	labblank	
954-ENEG-1	labblank	0	0	labblank	
954-ENEG-2	labblank	0	0	labblank	
955-ENEG-1	labblank	0	0	labblank	
955-ENEG-2	labblank	0	0	labblank	
956-ENEG-1	labblank	0	0	labblank	
956-ENEG-2	labblank	0	0	labblank	
957-ENEG-1	labblank	0	0	labblank	
957-ENEG-2	labblank	0	0	labblank	
958-ENEG-1	labblank	0	0	labblank	
958-ENEG-2	labblank	0	0	labblank	
959-ENEG-1	labblank	0	0	labblank	
AZMP2024-EDNA-003	511796	0	1082.46	BBL_06	
AZMP2024-EDNA-004	511797	0	1082.46	BBL_06	
AZMP2024-EDNA-007	511842	0	101.15	BBL_04	
AZMP2024-EDNA-008	511843	0	101.15	BBL_04	
AZMP2024-EDNA-009	field blank	0	0	BLANK_1	
AZMP2024-EDNA-043	512722	0	2023.02	GUL_04	
AZMP2024-EDNA-044	512723	0	2023.02	GUL_04	
AZMP2024-EDNA-045	512729	0	1000	GUL_04	
AZMP2024-EDNA-046	512729	0	1000	GUL_04	
AZMP2024-EDNA-047	field blank	0	0	BLANK_3	
AZMP2024-EDNA-048	512747	0	3719	LL_09	
AZMP2024-EDNA-049	512747	0	3719	LL_09	
AZMP2024-EDNA-050	512773	0	746.27	LL_07	
AZMP2024-EDNA-051	512772	0	746.27	LL_07	
PER25-100	625099	0	56	CURDO_02	
PER25-101	625100	0	36	CURDO_10	
PER25-102	625101	0	36	CURDO_10	
PER25-103	625102	0	36	CURDO_10	
PER25-104	625103	0	25	CURDO_03	
PER25-105	625104	0	25	CURDO_03	
PER25-106	625105	0	25	CURDO_03	
PER25-107	625106	0	44	CURDO_06	
PER25-108	625107	0	44	CURDO_06	
PER25-109	625108	0	44	CURDO_06	
PER25-10	625007	0	37.7	SAB_04	
PER25-110	625109	0	56	CURDO_09	
PER25-111	625110	0	56	CURDO_09	
PER25-112	625111	0	56	CURDO_09	
PER25-113	625112	0	0	BLANK	
PER25-114	625113	0	56	SCATARIE_NEW_	
PER25-115	625114	0	56	SCATARIE_NEW_	
