Station,Date,Time,Sounding,Target Depth,Replicate,CastID,SampleID,eDNATube,SmithRootID,Metabarcoding,qPCR,Lat,Long,Volume (l),Pres,Notes,
KIPCA_01,06/10/2025,12:20:00,24.5,24,1,KIPCA_eDNA_01,kpca_edna_01,PER25-1,427,Y,Y,46.367975,60.381806,3.31,Self,Took one sample as an example for Shae while nearby the Bird Islands,
KIPCA_01,06/10/2025,12:20:00,24.5,24,1,KIPCA_eDNA_01,kpca_edna_01,PER25-2,428,Y,Y,46.367975,60.381806,3.06,Self,Use Smithroot ID as the unique Identifier for the sample,
KIPCA_01,06/10/2025,12:20:00,24.5,24,3,KIPCA_eDNA_01,kpca_edna_01,PER25-3,429,Y,Y,46.367975,60.381806,3.18,Self,,
SAB_07,06/14/2025,10:01:00,66.8,68,1,1180A001,625001,PER25-4,430,Y,Y,46.056649,59.415992,3.11,Self,Calm waters,
SAB_07,06/14/2025,10:01:00,66.8,68,2,1180A001,625002,PER25-5,432,Y,Y,46.056649,59.415992,3.09,Self,2nd rep put in the 3rd bag so we switched SRID,
SAB_07,06/14/2025,10:01:00,66.8,68,3,1180A001,625003,PER25-6,431,Y,Y,46.056649,59.415992,3.02,Self,,
SAB_08,06/14/2025,10:53:00,61.2,62.5,1,1180A002,625004,PER25-7,433,Y,Y,46.141882,59.404368,3.04,Self,,
SAB_08,06/14/2025,10:53:00,61.2,62.5,2,1180A002,625005,PER25-8,434,Y,Y,46.141882,59.404368,3.06,Self,,
SAB_08,06/14/2025,10:53:00,61.2,62.5,3,1180A002,625006,PER25-9,435,Y,Y,46.141882,59.404368,3.01,Self,,
SAB_04,06/14/2025,11:46:00,37.7,39,1,1180A003,625007,PER25-10,436,Y,Y,46.142161,59.568747,3.05,Self,,
SAB_04,06/14/2025,11:46:00,37.7,39,2,1180A003,625008,PER25-11,437,Y,Y,46.142161,59.568747,3.02,Self,,
SAB_04,06/14/2025,11:46:00,37.7,39,3,1180A003,625009,PER25-12,438,Y,Y,46.142161,59.568747,3.06,Self,,
SAB_03,06/14/2025,12:33:00,58,59,1,1180A004,625010,PER25-13,439,Y,Y,46.067035,59.57806,3.07,Self,,
SAB_03,06/14/2025,12:33:00,58,59,2,1180A004,625011,PER25-14,440,Y,Y,46.067035,59.57806,3.10,Self,,
SAB_03,06/14/2025,12:33:00,58,59,3,1180A004,625012,PER25-15,441,Y,Y,46.067035,59.57806,3.07,Self,,
SAB_02,06/14/2025,13:23:00,53.6,55,1,1180A005,625013,PER25-16,442,Y,Y,45.952831,59.580324,3.30,Self,,
SAB_02,06/14/2025,13:23:00,53.6,55,2,1180A005,625014,PER25-17,443,Y,Y,45.952831,59.580324,3.01,Self,,
SAB_02,06/14/2025,13:23:00,53.6,55,3,1180A005,625015,PER25-18,444,Y,Y,45.952831,59.580324,2.99,Self,,
SAB_06,06/14/2025,14:18:00,74,78.5,1,1180A006,625016,PER25-19,445,Y,Y,45.945277,59.421692,3.00,Self,current so the ctd cord was on an angle,
SAB_06,06/14/2025,14:18:00,74,78.5,2,1180A006,625017,PER25-20,446,Y,Y,45.945277,59.421692,2.98,Self,"left CTD on for a bit on deck,",
SAB_06,06/14/2025,14:18:00,74,78.5,3,1180A006,625018,PER25-21,447,Y,Y,45.945277,59.421692,3.10,Self,,
SAB_05,06/14/2025,15:13:00,89.2,91,1,1180A007,625019,PER25-22,448,Y,Y,45.892665,59.43284,3.10,Self,,
SAB_05,06/14/2025,15:13:00,89.2,91,2,1180A007,625020,PER25-23,449,Y,Y,45.892665,59.43284,3.01,Self,,
SAB_05,06/14/2025,15:13:00,89.2,91,3,1180A007,625021,PER25-24,450,Y,Y,45.892665,59.43284,3.01,Self,,
SAB_01,06/14/2025,16:03:00,61.4,62,1,1180A008,625022,PER25-25,451,Y,N,45.84533,59.582323,3.02,Self,,
SAB_01,06/14/2025,16:03:00,61.4,62,2,1180A008,625023,PER25-26,452,Y,N,45.84533,59.582323,2.99,Self,,
SAB_01,06/14/2025,16:03:00,61.4,62,3,1180A008,625024,NA,453,Y,N,45.84533,59.582323,0.01,Self,Accidentally emptied seawater,
CURDO_10,06/14/2025,16:36:00,20.3,21,1,1180A009,625025,PER25-27,454,Y,Y,45.893869,59.598442,3.03,Self,,
CURDO_10,06/14/2025,16:36:00,20.3,21,2,1180A009,625026,PER25-28,455,Y,Y,45.893869,59.598442,2.99,Self,,
CURDO_10,06/14/2025,16:36:00,20.3,21,3,1180A009,625027,PER25-29,456,Y,Y,45.893869,59.598442,2.96,Self,,
