Station,Date,Time,Sounding,Target Depth,Replicate,CastID,SampleID,SmithRootID,filterTube,Lat,Long,Net,Volume (l),Pres,Notes,Sequence,qPCR
KIPCA_02,6/12/2026,10:22:00,32.2,32,1,2642301,626001,722,SAB26-001,46.353613,60.421285,3.01,3.01,ethanol,"Naming convention (Cruise is 2026-423), 6 June, 26 year, # of sample",No,No
KIPCA_02,6/12/2026,10:22:00,32.2,32,2,2642301,626002,723,SAB26-002,46.353613,60.421285,3.13,3.13,ethanol,,No,No
KIPCA_04,6/12/2026,11:04:00,31.6,32,1,2642302,626003,724,SAB26-003,46.377871,60.392611,3.05,3.05,ethanol,"Getting as close to the acoustic station as possible. Gear in the water, fishermen concerned as is CO about drifting over station when doing casts",No,No
KIPCA_04,6/12/2026,11:04:00,31.6,32,2,2642302,626004,725,SAB26-004,46.377871,60.392611,3.03,3.03,ethanol,,No,No
KIPCA_07,6/12/2026,11:41:00 AM,38.3,38,1,2642303,626005,726,SAB26-005,46.417147,60.348727,2.99,2.99,ethanol,,No,No
KIPCA_07,6/12/2026,11:41:00 AM,38.3,38,2,2642303,626006,727,SAB26-006,46.417147,60.348727,3.05,3.05,ethanol,,No,No
KIPCA_09,6/12/2026,12:29:00,28.3,28,1,2642304,626007,728,SAB26-007,46.392744,60.35315,3.06,3.06,ethanol,,No,No
KIPCA_09,6/12/2026,12:29:00,28.3,28,2,2642304,626008,729,SAB26-008,46.392744,60.35315,2.98,2.98,ethanol,,No,No
sb_osw_21,6/12/2026,14:38:00,71,71,1,2642305,626009,730,osw26-001,46.484944,60.005926,3.08,3.08,ethanol,,Yes,Yes
sb_osw_21,6/12/2026,14:38:00,71,71,2,2642305,626010,42,osw26-002,46.484944,60.005926,3.1,3.1,ethanol,Lower SmithRoot IDs from unit WF5891202,Yes,Yes
sb_osw_21,6/12/2026,14:38:00,71,71,3,2642305,626011,43,osw26-003,46.484944,60.005926,3.1,3.1,ethanol,Higher SmithRoot IDs from unit WEO281117,Yes,Yes
sb_osw_22,6/12/2026,15:12:00,83.4,83,1,2642306,626012,731,osw26-004,46.547892,60.002921,3.07,3.07,ethanol,,Yes,Yes
sb_osw_22,6/12/2026,15:12:00,83.4,83,2,2642306,626013,44,osw26-005,46.547892,60.002921,3.04,3.04,ethanol,,Yes,Yes
sb_osw_22,6/12/2026,15:12:00,83.4,83,3,2642306,626014,44,osw26-006,46.547892,60.002921,3.04,3.04,ethanol,,Yes,Yes
BLANK,6/12/2026,3:35:00 PM,NA,NA,NA,NA,626015,45,osw26-007,NA,NA,2.59,2.59,ethanol,,Yes,Yes
sb_osw_23,6/13/2026,9:40:00,103,103,1,2642307,626016,46,osw26-008,46.61884,59.99371,9.54,3.18,ethanol,Cold morning,Yes,Yes
sb_osw_23,6/13/2026,9:40:00,103,103,2,2642307,626017,46,osw26-009,46.61884,59.99371,9.54,3.18,ethanol,Our smithroot has a power issue. Using Claudio’s as backup,Yes,Yes
sb_osw_23,6/13/2026,9:40:00,103,103,3,2642307,626018,46,osw26-010,46.61884,59.99371,9.54,3.18,ethanol,,Yes,Yes
sb_osw_24,6/13/2026,10:13:00,115,115,1,2642308,626019,47,osw26-011,46.684128,59.988097,9.36,3.12,ethanol,Note that there was a waypoint error and the coordinates were taken again right after the ship moved,Yes,Yes
sb_osw_24,6/13/2026,10:13:00,115,115,2,2642308,626020,47,osw26-012,46.684128,59.988097,9.36,3.12,ethanol,,Yes,Yes
sb_osw_24,6/13/2026,10:13:00,115,115,3,2642308,626021,47,osw26-013,46.684128,59.988097,9.36,3.12,ethanol,,Yes,Yes
sb_osw_24,6/13/2026,10:13:00,115,2,1,2642308,626022,48,osw26-014,46.684128,59.988097,9.13,3.04,ethanol,added surface samples since we will not have time to get all stations in one day. Based on forecast and berthing availability we will head to Louisbourg June 14 2026 to prioritize St. Anns Bank samples,Yes,Yes
sb_osw_24,6/13/2026,10:13:00,115,2,2,2642308,626023,48,osw26-015,46.684128,59.988097,9.13,3.04,ethanol,,Yes,Yes
sb_osw_24,6/13/2026,10:13:00,115,2,3,2642308,626024,48,osw26-016,46.684128,59.988097,9.13,3.04,ethanol,,Yes,Yes
