Station,Set,Year,Month,Day,Location,Sample_name,Type,Depth_m,Time,AM_PM,Latitude,Longitude,Reference #,Day,Start_time,End_time,AM_PM,Vol_L,Filterer,Notes,Analyzed
116,140,2026,7,20,WEBMR,517610,???,93,2:07,AM,43.67205,-62.08236667,823,20,1:23,1:28,AM,4.03,Mandi Newhook,,Sent to ABL August 28 2026
116,140,2026,7,20,WEBMR,517611,???,93,2:07,AM,43.67205,-62.08236667,824,20,4:23,4:28,AM,4.03,Mandi Newhook,,Sent to ABL August 28 2026
92,166,2026,7,25,French Bank,517734,???,119,19:04,PM,44.78668333,-61.64613333,833,26,1:15,1:22,AM,4.05,Irene Andrushchenko,,Sent to ABL August 28 2026
92,166,2026,7,25,French Bank,517735,???,119,19:04,PM,44.78668333,-61.64613333,834,26,1:11,1:22,AM,3.96,Irene Andrushchenko,"Kinked hose, so had to stop part way, fix and restart",Sent to ABL August 28 2026
91,168,2026,7,25,French Bank,517740,???,180,23:43,PM,44.92973333,-61.11783333,835,26,1:14,1:19,AM,3.99,Irene Andrushchenko,,Sent to ABL August 28 2026
91,168,2026,7,25,French Bank,517741,???,180,23:43,PM,44.92973333,-61.11783333,836,26,1:13,1:20,AM,4.02,Irene Andrushchenko,,Sent to ABL August 28 2026
88,170,2026,7,26,Middle Bank,517747,???,47,4:38,AM,44.5282,-60.686,838,26,6:04,6:11,AM,4.04,Ellen Maceachern,,Sent to ABL August 28 2026
88,170,2026,7,26,Middle Bank,517748,???,47,4:38,AM,44.5282,-60.686,839,26,6:03,6:11,AM,3.93,Ellen Maceachern,,Sent to ABL August 28 2026
90,171,2026,7,26,Middle Bank,517752,???,30,6:29,AM,44.58703333,-60.46011667,840,26,8:00,8:07,AM,3.99,Ellen Maceachern,,Sent to ABL August 28 2026
90,171,2026,7,26,Middle Bank,517753,???,30,6:29,AM,44.58703333,-60.46011667,841,26,8:00,8:07,AM,4.01,Ellen Maceachern,,Sent to ABL August 28 2026
15,191,2026,7,28,Sydney Bight OSW,517828,???,61,4:06,AM,46.60761667,-59.77348333,851,28,5:31,5:37,AM,3.97,Ellen Maceachern,,Sent to ABL August 28 2026
