Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Barco, A; Kullmann, B; Knebelsberger, T; Sarrazin, V; Kuhs, V; Kreutle, A; Pusch, C; Thiel, R",,,,"Barco, Andrea; Kullmann, Bjoern; Knebelsberger, Thomas; Sarrazin, Victoria; Kuhs, Vanessa; Kreutle, Axel; Pusch, Christian; Thiel, Ralf",,,Detection of fish species from marine protected areas of the North Sea using environmental DNA,JOURNAL OF FISH BIOLOGY,,,,,,,,,,,,"This report describe the first application of environmental DNA-metabarcoding approach for the assessment of fish species diversity in two marine protected areas of the North Sea: the Doggerbank and the Sylt Outer Reef. We collected 64 water samples and detected 24 fish species. We discuss qualitative differences between MPAs and compare the results with those obtained from bottom-trawl surveys in the same areas. We found three additional species to those documented in the same year with trawls, including the critically endangered European eel.",,,,,,,,,,,,,,,,,,,0022-1112,1095-8649,,,,SEP,2022,101,3,,,,,722,727,,10.1111/jfb.15111,http://dx.doi.org/10.1111/jfb.15111,,JUL 2022,,,,,,35598112,,,,,WOS:000821483700001,View Full Record in Web of Science
J,"Gold, Z; Sprague, J; Kushner, DJ; Marin, EZ; Barber, PH",,,,"Gold, Zachary; Sprague, Joshua; Kushner, David J.; Zerecero Marin, Erick; Barber, Paul H.",,,eDNA metabarcoding as a biomonitoring tool for marine protected areas,PLOS ONE,,,,,,,,,,,,"Monitoring of marine protected areas (MPAs) is critical for marine ecosystem management, yet current protocols rely on SCUBA-based visual surveys that are costly and time consuming, limiting their scope and effectiveness. Environmental DNA (eDNA) metabarcoding is a promising alternative for marine ecosystem monitoring, but more direct comparisons to visual surveys are needed to understand the strengths and limitations of each approach. This study compares fish communities inside and outside the Scorpion State Marine Reserve off Santa Cruz Island, CA using eDNA metabarcoding and underwater visual census surveys. Results from eDNA captured 76% (19/25) of fish species and 95% (19/20) of fish genera observed during pairwise underwater visual census. Species missed by eDNA were due to the inability of MiFish 12S barcodes to differentiate species of rockfishes (Sebastes, n = 4) or low site occupancy rates of crevice-dwelling Lythrypnus gobies. However, eDNA detected an additional 23 fish species not recorded in paired visual surveys, but previously reported from prior visual surveys, highlighting the sensitivity of eDNA. Significant variation in eDNA signatures by location (50 m) and site (similar to 1000 m) demonstrates the sensitivity of eDNA to address key questions such as community composition inside and outside MPAs. Results demonstrate the utility of eDNA metabarcoding for monitoring marine ecosystems, providing an important complementary tool to visual methods.",,,,,"Gold, Zachary/KBA-8921-2024","Gold, Zachary/0000-0003-0490-7630",,,,,,,,,,,,,1932-6203,,,,,FEB 24,2021,16,2,,,,,,,e0238557,10.1371/journal.pone.0238557,http://dx.doi.org/10.1371/journal.pone.0238557,,,,,,,,33626067,,,,,WOS:000623658100013,View Full Record in Web of Science
J,"Suarez-Bregua, P; Alvarez-González, M; Parsons, KM; Rotllant, J; Pierce, GJ; Saavedra, C",,,,"Suarez-Bregua, Paula; Alvarez-Gonzalez, Miguel; Parsons, Kim M.; Rotllant, Josep; Pierce, Graham J.; Saavedra, Camilo",,,Environmental DNA (eDNA) for monitoring marine mammals: Challenges and opportunities,FRONTIERS IN MARINE SCIENCE,,,,,,,,,,,,"Monitoring marine mammal populations is essential to permit assessment of population status as required by both national and international legislation. Traditional monitoring methods often rely on visual and/or acoustic detections from vessels and aircraft, but limitations including cost, errors in the detection of some species and dependence on taxonomic expertise, as well as good weather and visibility conditions often limit the temporal and spatial scale of effective, long-term monitoring programs. In recent years, environmental DNA (eDNA) has emerged as a revolutionary tool for cost-effective, sensitive, non-invasive species monitoring in both terrestrial and aquatic realms. eDNA is a rapidly developing field and a growing number of studies have successfully implemented this approach for the detection and identification of marine mammals. Here, we review 21 studies published between 2012 and 2021 that employed eDNA for marine mammal monitoring including single species detection, biodiversity assessment and genetic characterization. eDNA has successfully been used to infer species presence (especially useful for rare, elusive or threatened species) and to characterize the population genetic structure, although additional research is needed to support the interpretation of non-detections. Finally, we discuss the challenges and the opportunities that eDNA could bring to marine mammal monitoring as a complementary tool to support visual and acoustic methods.",,,,,"Saavedra, Camilo/GZM-2763-2022; Álvarez-González, Miguel/JEZ-8697-2023; ROTLLANT, JOSEP/K-1146-2014; Suarez-Bregua, Paula/A-5124-2019; Parsons, Kim/A-8050-2011; Pierce, Graham/A-5404-2018","Suarez-Bregua, Paula/0000-0002-5303-1447; Pierce, Graham/0000-0002-4744-4501; Parsons, Kim/0000-0003-4580-3651; Alvarez-Gonzalez, Miguel/0000-0002-2029-5665; Saavedra, Camilo/0000-0003-1032-647X",,,,,,,,,,,,,,2296-7745,,,,SEP 23,2022,9,,,,,,,,987774,10.3389/fmars.2022.987774,http://dx.doi.org/10.3389/fmars.2022.987774,,,,,,,,,,,,,WOS:000873960400001,View Full Record in Web of Science
J,"McGeady, R; Runya, RM; Dooley, JSG; Howe, JA; Fox, CJ; Wheeler, AJ; Summers, G; Callaway, A; Beck, S; Brown, LS; Dooly, G; McGonigle, C",,,,"McGeady, Ryan; Runya, Robert M.; Dooley, James S. G.; Howe, John A.; Fox, Clive J.; Wheeler, Andrew J.; Summers, Gerard; Callaway, Alexander; Beck, Suzanne; Brown, Louise S.; Dooly, Gerard; McGonigle, Chris",,,A review of new and existing non-extractive techniques for monitoring marine protected areas,FRONTIERS IN MARINE SCIENCE,,,,,,,,,,,,"Ocean biodiversity loss is being driven by several anthropogenic threats and significant efforts are required to halt losses and promote healthy marine ecosystems. The establishment of a network of Marine Protected Areas (MPAs) can help restrict damaging activities and have been recognised as a potential solution to aid marine conservation. When managed correctly they can deliver both ecological and socio-economic benefits. In recent times, MPA designations have increased rapidly while many countries have set future MPA targets for the decades ahead. An integral element of MPA management is adequate monitoring that collects data to assess if conservation objectives are being achieved. Data acquired by monitoring can vary widely as can the techniques employed to collect such data. Ideally, non-destructive and non-invasive methods are preferred to prevent damage to habitats and species, though this may rule out a number of traditional extractive sampling approaches such as dredges and trawls. Moreover, advances in ocean observation technologies enable the collection of large amounts of data at high resolutions, while automated data processing is beginning to make analyses more logistically feasible and less time-consuming. Therefore, developments to existing marine monitoring techniques and new emerging technologies have led to a diverse array of options when choosing to implement an MPA monitoring programme. Here, we present a review of new and existing non-extractive techniques which can be applied to MPA monitoring. We summarise their capabilities, applications, advantages, limitations and possible future developments. The review is intended to aid MPA managers and researchers in determining the suitability of available monitoring techniques based on data requirements and site conditions.",,,,,"Summers, Gerard/ABG-1043-2021; Dooly, Gerard/AAZ-5761-2021","Summers, Gerard/0000-0002-5964-4746; Callaway, Alexander/0000-0002-8155-6857; Runya, Robert/0000-0003-4730-8259",,,,,,,,,,,,,,2296-7745,,,,JUL 19,2023,10,,,,,,,,1126301,10.3389/fmars.2023.1126301,http://dx.doi.org/10.3389/fmars.2023.1126301,,,,,,,,,,,,,WOS:001041116100001,View Full Record in Web of Science
J,"Marques, V; Castagné, P; Fernández, AP; Borrero-Pérez, GH; Hocdé, R; Guérin, PÉ; Juhel, JB; Velez, L; Loiseau, N; Letessier, TB; Bessudo, S; Valentini, A; Dejean, T; Mouillot, D; Pellissier, L; Villéger, S",,,,"Marques, Virginie; Castagne, Paul; Polanco Fernandez, Andrea; Helena Borrero-Perez, Giomar; Hocde, Regis; Guerin, Pierre-Edouard; Juhel, Jean-Baptiste; Velez, Laure; Loiseau, Nicolas; Letessier, Tom Bech; Bessudo, Sandra; Valentini, Alice; Dejean, Tony; Mouillot, David; Pellissier, Loic; Villeger, Sebastien",,,Use of environmental DNA in assessment of fish functional and phylogenetic diversity,CONSERVATION BIOLOGY,,,,,,,,,,,,"Assessing the impact of global changes and protection effectiveness is a key step in monitoring marine fishes. Most traditional census methods are demanding or destructive. Nondisturbing and nonlethal approaches based on video and environmental DNA are alternatives to underwater visual census or fishing. However, their ability to detect multiple biodiversity factors beyond traditional taxonomic diversity is still unknown. For bony fishes and elasmobranchs, we compared the performance of eDNA metabarcoding and long-term remote video to assess species' phylogenetic and functional diversity. We used 10 eDNA samples from 30 L of water each and 25 hr of underwater videos over 4 days on Malpelo Island (pacific coast of Colombia), a remote marine protected area. Metabarcoding of eDNA detected 66% more molecular operational taxonomic units (MOTUs) than species on video. We found 66 and 43 functional entities with a single eDNA marker and videos, respectively, and higher functional richness for eDNA than videos. Despite gaps in genetic reference databases, eDNA also detected a higher fish phylogenetic diversity than videos; accumulation curves showed how 1 eDNA transect detected as much phylogenetic diversity as 25 hr of video. Environmental DNA metabarcoding can be used to affordably, efficiently, and accurately census biodiversity factors in marine systems. Although taxonomic assignments are still limited by species coverage in genetic reference databases, use of MOTUs highlights the potential of eDNA metabarcoding once reference databases have expanded.",,,,,"Letessier, Tom/AAV-2759-2020; Pellissier, Loïc/AAG-1013-2020; Mouillot, David/HCH-5670-2022; Marques, Virginie/AAE-1507-2020; Hocdé, Régis/AAI-1569-2020; valentini, alice/S-2040-2019; Hocde, Regis/O-2757-2016; Loiseau, Nicolas/ABY-2418-2022; Villeger, Sebastien/C-6272-2011","Hocde, Regis/0000-0002-5794-2598; GUERIN, Pierre-Edouard/0000-0001-7909-3729; Marques, Virginie/0000-0002-5142-4191; Loiseau, Nicolas/0000-0002-2469-1980; velez, laure/0000-0001-9555-6770; Juhel, Jean-Baptiste/0000-0003-2627-394X; Villeger, Sebastien/0000-0002-2362-7178",,,,,,,,,,,,,0888-8892,1523-1739,,,,DEC,2021,35,6,,,,,1944,1956,,10.1111/cobi.13802,http://dx.doi.org/10.1111/cobi.13802,,SEP 2021,,,,,,34224158,,,,,WOS:000696234600001,View Full Record in Web of Science
J,"Cruz, MM; Sauvage, T; Chariton, A; de Freitas, TRO",,,,"Merten Cruz, Marcelo; Sauvage, Thomas; Chariton, Anthony; de Freitas, Thales Renato Ochotorena",,,The challenge of implementing environmental DNA metabarcoding to detect elasmobranchs in a resource-limited marine protected area,JOURNAL OF FISH BIOLOGY,,,,,,,,,,,,"Elasmobranchs are threatened and eDNA metabarcoding is a powerful tool that can help efforts to better understand and conserve them. Nevertheless, the inter-calibration between optimal methodological practices and its implementation in resource-limited situations is still an issue. Based on promising results from recent studies, the authors applied a cost-effective protocol with parameters that could be easily replicated by any conservationist. Nonetheless, the results with fewer elasmobranchs detected than expected reveal that endorsed primers and sampling strategies still require further optimization, especially for applications in resource-limited conservation programmes.",,,,,"Chariton, Anthony/F-2373-2011","Chariton, Anthony/0000-0002-5809-3372; Merten Cruz, Marcelo/0000-0001-8374-5144",,,,,,,,,,,,,0022-1112,1095-8649,,,,JUL,2023,103,1,,,,,172,178,,10.1111/jfb.15406,http://dx.doi.org/10.1111/jfb.15406,,MAY 2023,,,,,,37060349,,,,,WOS:000981174100001,View Full Record in Web of Science
J,"Jeffery, NW; Lehnert, SJ; Kess, T; Layton, KKS; Wringe, BF; Stanley, RRE",,,,"Jeffery, Nicholas W.; Lehnert, Sarah J.; Kess, Tony; Layton, Kara K. S.; Wringe, Brendan F.; Stanley, Ryan R. E.",,,Application of Omics Tools in Designing and Monitoring Marine Protected Areas For a Sustainable Blue Economy,FRONTIERS IN GENETICS,,,,,,,,,,,,"A key component of the global blue economy strategy is the sustainable extraction of marine resources and conservation of marine environments through networks of marine protected areas (MPAs). Connectivity and representativity are essential factors that underlie successful implementation of MPA networks, which can safeguard biological diversity and ecosystem function, and ultimately support the blue economy strategy by balancing ocean use with conservation. New big data omics approaches, including genomics and transcriptomics, are becoming essential tools for the development and maintenance of MPA networks. Current molecular omics techniques, including population-scale genome sequencing, have direct applications for assessing population connectivity and for evaluating how genetic variation is represented within and among MPAs. Effective baseline characterization and long-term, scalable, and comprehensive monitoring are essential for successful MPA management, and omics approaches hold great promise to characterize the full range of marine life, spanning the microbiome to megafauna across a range of environmental conditions (shallow sea to the deep ocean). Omics tools, such as eDNA metabarcoding can provide a cost-effective basis for biodiversity monitoring in large and remote conservation areas. Here we provide an overview of current omics applications for conservation planning and monitoring, with a focus on metabarcoding, metagenomics, and population genomics. Emerging approaches, including whole-genome sequencing, characterization of genomic architecture, epigenomics, and genomic vulnerability to climate change are also reviewed. We demonstrate that the operationalization of omics tools can enhance the design, monitoring, and management of MPAs and thus will play an important role in a modern and comprehensive blue economy strategy.",,,,,"Jeffery, Nicholas/J-5859-2019; Layton, Kara/AAC-6007-2019","Layton, Kara/0000-0002-4302-3048",,,,,,,,,,,,,,1664-8021,,,,JUN 22,2022,13,,,,,,,,886494,10.3389/fgene.2022.886494,http://dx.doi.org/10.3389/fgene.2022.886494,,,,,,,,35812740,,,,,WOS:000827228600001,View Full Record in Web of Science
J,"West, KM; Harry, AV; Payet, S; Harvey, E; Rangers, D; Rangers, BJ; Rangers, K; Managers, YC; Travers, MJ",,,,"West, Katrina M.; Harry, Alastair V.; Payet, Sam; Harvey, Euan; Rangers, Dambimangari; Rangers, Bardi-Jawi; Rangers, Karajarri; Managers, Yawuru Country; Travers, Michael J.",,,Comparative assessment of eDNA metabarcoding and longline deployments for elasmobranch surveying across a large tropical marine park network,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,,,,,,,,,,,,"Medium- to large-scale marine protected areas (MPAs) are playing an increasingly important role in global marine biodiversity conservation. A key question is how do we collect relevant data on biodiversity and population trends to inform their design and measure success? This question is particularly relevant for marine taxa that are difficult to survey, such as sharks and rays, and where populations may occur over vast areas. Environmental DNA (eDNA) metabarcoding has proven to be an effective sampling method and may provide a solution to these challenges; however, it remains unclear how its sampling effectiveness compares with traditionally used methods for elasmobranch surveying. Here, we directly compared the efficacy of eDNA metabarcoding and demersal longline deployments to survey elasmobranchs across 31 sites over a 55,000 km2 area of the Kimberley and Roebuck Australian Marine Parks in Australia's North-west Marine Parks Network. In total, we documented 49 unique elasmobranch taxa, 36 of which were detected by eDNA and 32 (from a total of 815 captured sharks) by longline. A combined approach yielded over 34% more elasmobranch taxa than either method alone. Site community compositions varied between the two survey methods; notably eDNA was able to detect species from outside of the immediate sampling area, although this was still consistent with a detection radius of a few kilometres, highlighting a particular use in rugose reef habitats where it is difficult to deploy longlines. In investigating the quantitative use of eDNA data, we report that eDNA metabarcoding read abundance (count) data was poorly correlated with longline aggregate catch (count and biomass) data across raw, relative and rank abundance measures. However, we found that in multivariate analyses, both binary (presence-absence) and abundance (after square-root transformation) datasets produced highly similar ordination patterns, largely segregating method (eDNA vs. longline), followed by latitude and depth. Lastly, we identified required levels of eDNA replication and longline deployments to maximize captured elasmobranch diversity. This study sets an integrated, georeferenced baseline and long-term monitoring approach for the management and conservation of elasmobranch diversity within this unique marine park network.",,,,,"Harry, Alastair/A-3370-2011; Travers, Michael/F-7765-2011; Harvey, Euan/B-2896-2011","Travers, Michael/0000-0002-3072-1699; Harvey, Euan/0000-0002-9069-4581; West, Katrina/0000-0002-9026-5058",,,,,,,,,,,,,1052-7613,1099-0755,,,,APR,2024,34,4,,,,,,,e4144,10.1002/aqc.4144,http://dx.doi.org/10.1002/aqc.4144,,,,,,,,,,,,,WOS:001195433300001,View Full Record in Web of Science
J,"Zhao, RJ; Kang, B; Chen, YF; Lam, VTT; Yeung, YH; Li, LWH; Leung, KMY; Yan, M",,,,"Zhao, Rongjie; Kang, Bin; Chen, Yifang; Lam, Veronica Tsz Tung; Yeung, Yip Hung; Li, Louise Wai Hung; Leung, Kenneth Mei Yee; Yan, Meng",,,Multifaceted biological indicators reveal an effective conservation scheme for marine protected areas,ECOLOGICAL INDICATORS,,,,,,,,,,,,"Marine protected areas are set up across the globe to safeguard biodiversity and support coastal ecosystem functioning. In Hong Kong, partially protected marine parks and a no-take marine reserve have been managed under legislation for years, yet a comprehensive evaluation of their conservation impact is still pending despite the region's reputation for high marine diversity. Most studies assess conservation effectiveness solely in terms of taxonomic diversity, without delving into the contributions of functional and phylogenetic diversity. In this study, we used environmental DNA combined with multifaceted diversity indicators to assess the impact of the level of protection on the fish community in Hong Kong waters. Our results indicated that the marine protected areas significantly contributed to fish community conservation. The no-take marine reserve exhibited the highest taxonomic and phylogenetic diversity, while partially protected marine parks showed the most balanced community composition. No significant increase in fish functional diversity was found in the protected areas. Water quality, hydrological condition, and protection level were the primary factors affecting community variation for taxonomic, functional, and phylogenetic diversity, respectively. Fish species composition significantly varied with different protection levels, and species turnover was the main component of the dissimilarity. Future management of marine protected areas should assess multifaceted biological indicators and establish a rational conservation scheme.",,,,,"Yeung, Yip/AAM-9170-2021; Yan, Meng/GWP-5833-2022; Leung, Kenneth Mei Yee/C-1055-2009","Leung, Kenneth Mei Yee/0000-0002-2164-4281",,,,,,,,,,,,,1470-160X,1872-7034,,,,SEP,2024,166,,,,,,,,112389,10.1016/j.ecolind.2024.112389,http://dx.doi.org/10.1016/j.ecolind.2024.112389,,JUL 2024,,,,,,,,,,,WOS:001277953500001,View Full Record in Web of Science
J,"He, X; Jeffery, NW; Stanley, RRE; Hamilton, LC; Rubidge, EM; Abbott, CL",,,,"He, X.; Jeffery, N. W.; Stanley, R. R. E.; Hamilton, L. C.; Rubidge, E. M.; Abbott, C. L.",,,eDNA metabarcoding enriches traditional trawl survey data for monitoring biodiversity in the marine environment,ICES JOURNAL OF MARINE SCIENCE,,,,,,,,,,,,"Marine Protected Areas require comprehensive monitoring to ensure objectives are achieved; however, monitoring natural ecosystems at scale is challenged by the biodiversity it aims to measure. Environmental DNA (eDNA) metabarcoding holds promise to address this monitoring challenge. We conducted paired sampling at 54 sites for fish and invertebrate assemblages in the Northwest Atlantic using groundfish trawls and eDNA metabarcoding of benthic seawater using four genetic markers (12S rRNA, 16S rRNA, 18S rRNA, and CO1). Compared to trawling, eDNA detected similar patterns of species turnover, larger estimates of gamma diversity, and smaller estimates of alpha diversity. A total of 63.6% (42/66) of fish species captured by trawling were detected by eDNA, along with an additional 26 species. Of the 24 missed detections by eDNA, 12 were inevitable as they lacked reference sequences. Excluding taxa assigned to higher than species level and those without a species name, 23.6% (17/72) of invertebrate species captured by trawling were detected by CO1, which detected an additional 98 species. We demonstrate that eDNA is capable of detecting patterns of community assemblage and species turnover in an offshore environment, emphasizing its strong potential for a non-invasive, comprehensive, and scalable tool for biodiversity monitoring supporting marine conservation programmes.",,,,,"He, Xiaoping/ABD-5716-2021","Stanley, Ryan/0000-0002-6313-0844; Abbott, Cathryn/0000-0002-5314-7351; He, Xiaoping/0000-0002-0697-6501",,,,,,,,,,,,,1054-3139,1095-9289,,,,JUN 29,2023,80,5,,,,,1529,1538,,10.1093/icesjms/fsad083,http://dx.doi.org/10.1093/icesjms/fsad083,,MAY 2023,,,,,,,,,,,WOS:000994055500001,View Full Record in Web of Science
