Taxon,Common Name,Keep
Bacteria,Bacteria,No
Unknown,Unknown,No
Plantae,Plantae,No
Fundulus heteroclitus,Mummichog,Yes
Enchelyopus cimbrius,Fourbeard rockling,Yes
Osmeridae,Smelt (Osmeridae),Yes
Gaidropsaridae,Rocklings (Gaidropsaridae),Yes
Pleuronectidae,Flounders (Pleuronectidae),Yes
Homo sapiens,Human,No
Brevoortia,Menhaden (Brevoortia),Yes
Brevoortia tyrannus,Atlantic menhaden,Yes
Clupea harengus,Atlantic herring,Yes
Sebastes,Rockfish (Sebastes),Yes
Scomber scombrus,Atlantic mackerel,Yes
Ammodytidae,Sand lance,Yes
Hemitripterus americanus,Sea raven,Yes
Lycodes,Wolffish (Lycodes),Yes
Alosa,Shad (Alosa),Yes
Chlorophyta,Algae,No
Merluccius bilinearis,Silver hake,Yes
Meleagris gallopavo,Wild turkey,No
Menidia menidia,Atlantic silverside,Yes
Perca flavescens,Yellow perch,Yes
Gadidae,Cods (Gadidae),Yes
Anguilla,Eels (Anguilla),Yes
Semotilus corporalis,Fallfish,Yes
Microgadus tomcod,Tomcod,Yes
Bos taurus,Cow,No
Fungi,Fungi,No
Phocoena phocoena,Habour porpoise,Yes
Anguilla rostrata,American eel,Yes
Pseudopleuronectes,Flounder (winter),Yes
Anas,Duck,No
Branta,Goose,No
Squalus,Dogfish (Squalus),Yes
Phocidae,Seal (Phocidae),Yes
Clupeidae,Herrings (Clupeidae),Yes
Gallus gallus,Chicken,No
Columba livia,Pigeon,No
Diatom,Diatom,No
Insecta,Insecta,No
Urophycis,Hakes (Urophysic),Yes
Sus scrofa,Pig,No
Urophycis chuss,Red hake,Yes
Gadiformes,Cods (Gadiformes),Yes
Tautogolabrus adspersus,Cunner,Yes
