ASV,2A01S1,2A01S2,2A01S3,2A10S3,2A12B1,2A12B2,2A12B3,2A12S1,2A12S2,2A12S3,2B01S1,2B01S2,2B02S1,2B02S2,2B03B1,2B03B2,2B03B3,2B03S1,2B03S2,2B03S3,301B1,301B2,301B3,301S1,301S2,301S3,302S1,302S2,302S3,303S1,303S2,303S3,B0912,B0913,Extraction_blank_002,LB02,M01S1,M01S2,M01S3,M02S1,M04S1,M04S2,M04S3,M06S2,M06S3,M07S1,M07S2,M08B1,M08S2,M08S3,M11S1,M11S2,M11S3,M15S1,M15S2,M15S3,M16S2,M16S3,M19S1,M19S2,M19S3,M20B1,M20B2,M20B3,M22S1,M22S2,M22S3,M24S1,M24S2,M24S3,M26S1,M26S2,M28S1,M28S2,M28S3,M30B1,M30B2,M30B3,M30S1,M30S2,M32B1,M32B2,M32B3,M32S2,M32S3,PCR_blank_001,PCR_blank_002
102728a2f4054d96242082d58b95dc7e,0,343195,0,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,3,0,0,0,1952748,0,3,0,0,0,0,0,0,0,0,0,525300,950000,431720,40,4,4,1395343,0,410017,1611019,1156755,1286661,734498,1089238,748059,802542,2031893,395612,2054530,0,0,1598766,610826,8,1186453,0,2,0,482549,0,0,0,0,3,0,0,0,0,0,0,50759,0,0,0,0,0,4,0,0,0,0
73f4c80cb0472c0cd5fe438696babc6e,0,0,0,0,0,0,91,0,3,0,0,0,6717,0,3019971,1443149,0,0,867662,0,0,0,0,0,0,0,3435686,0,3,0,0,0,0,0,0,0,0,4,313562,7,0,0,0,0,893745,0,0,0,0,0,0,0,2,1123492,0,0,0,0,0,0,0,328782,0,0,0,0,0,0,0,0,0,0,0,633788,0,0,0,0,0,0,0,0,6,0,2090704,0,6
f62291986e00e2fbad38d6d0349f29ce,0,1163050,228,358,0,0,0,0,556,28,13,0,10777844,56,0,0,0,46,0,0,0,0,0,2,0,0,0,0,414,140,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2593
852e37ecfa2b3985d66117af128b8063,0,0,0,0,0,0,0,0,0,0,0,0,16,1584165,12,0,0,0,0,0,2818752,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,579109,0,0,0,2,0,0,12,0,0,0,0,0,0,1375565,0,484998,4,0,0,1104443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214676,0,0
c6900766037d0e532f08504c99184974,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883168,0,0,0,0,0,0,0,0,0,842447,973342,0,0,291608,7,1798792,0,0,0,627887,1056804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064431,0,0,0,0,0,0,0,0,0,0
d1b135fe56498536d4245e73c3714dcf,0,0,0,0,0,0,0,0,0,3043437,0,0,0,0,0,0,0,0,67096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1683030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510fc640c809ed5a09b902588703a6ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723000,0,887157,0,0,0,0,0,0,0,0,0,607640,0,0,0,950354,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a7783c847304564e78f42bc0b5eef42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,2079231,0,565902,0,0,0,0,0,0,0,0,0,0,0,0,444337,0,0,0,0,0,0,0,0
de1e2097038a24cb76600c94c5f79597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693532,233017,0,355317,132323,1227434,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,504,0,0,0,0,437053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60dc096e851d915be39f04538d1da981,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225756,0,0,0,0
d49d5af0e3a68dd460877f6c4bd605ab,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886770,0,0,0
cc5de1240d6aec211bdc0ba4bb567a1c,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1822844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70a1138682757872555195c15b9d284e,0,0,0,0,0,0,0,0,0,0,0,0,0,1582812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d972ca28f283e5ffa9a6c729895d42e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf0716044f0c0be85735b0ac90b17861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066813,0,0,0,0,0,0,0,0,0,0,0
ebf466ccc91ebf01a7715fda8cd20549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591575,0,0,0,0,0,0,0,0,0,0,427376,0,0,0,0,0,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e75110e493a85f1f5bc70a4f083f7cf3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598276,0,0,0,0,0,0,0,0,235802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882af825f4d9069b2a56f912bd67a929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02afebb71268594917fa69fbc6637889,0,0,0,0,0,0,0,0,12299,0,0,32061,4,1593,0,0,0,13325,0,0,11591,0,0,0,0,0,7276,0,0,0,99,0,0,0,0,0,0,0,932,331,497,0,0,41016,2637,861,0,0,0,0,86841,3077,2425,688,3238,13411,0,0,132329,0,569,6900,0,1892,3034,0,281,21954,6302,0,26661,11,58809,7,21724,13692,20863,359,9062,0,71090,0,15312,0,753,0,0
