ASV	FinalTaxon
003cdb7f1a267fa132e6e0d7e15c7e1b	Alosa
006ea43577d2fc426cc6514c9a1cde49	Alosa
018879df0ba973ef7ece4114803c9964	Alosa
0218e76ae9a13dd3781a15436bb9a5a2	Alosa
02ab378f45cf4905def9928218b298c1	Alosa
03b2ecf6e3c50d68a056a2fee27b0259	Alosa
03c3e3c7f565493d4dc88f93213f27c4	Alosa
03f6b4eef3c75ba1774a46f4f5ea2788	Alosa
0408676638e8d9c4682303f63ef0f9ef	Alosa
046bccfd8f46afef6f44f97163d5a0e6	Alosa
0486a3c6ffe812a467a3dc42100b6634	Alosa
054e11ea55d379c2673cd904047b018d	Alosa
061932258a50ada11a7de7b5ce17aea1	Alosa
0674798b2c78276c196e812971ef8e5e	Alosa
06b73506fd6c6c0b3145067b7ea3e34a	Alosa
0737875441804b4eaec71a35d3cb0cbb	Alosa
079fb08b8ac444cc45853c48c653acd8	Alosa
0830132f19698a6971e023944dcda2f4	Alosa
0845ffbdbb834b75056c9d1abb954708	Alosa
0870beb66b24d2b63ed53a2fc15417d8	Alosa
093cdf969fb5b2be538a63e4000e7ff1	Alosa
095d7d0eaf414538f9ec20219b3651fd	Alosa
09f2420dcf4940302bbe4672a3faab42	Alosa
0a14c7d882cc92bbad34bfb3d02966a1	Alosa
0b2b16966f7a182586b823decbda487e	Alosa
0bdfecdd2b7d91fe685340f71488cdef	Alosa
0c3c2d3c5daada80e55fbe88aba6b0f6	Alosa
0c4c4d516e2600ee9be57a58a6ae3859	Alosa
0c4fc294d578528ff953027c806de92f	Alosa
0d991a56614e5440ae1048bbdd9fcb50	Alosa
0de58c2ecfcc62ecefef92d8bca3808e	Alosa
0eb10c6fd54e399ed12b8c3c2255aecd	Alosa
0fa7ffbc30b45c533a3dc63b74322339	Alosa
0fde5005cac86ea9c4be6b760efa95be	Alosa
1027b3871ce96578bbc92cb92c9fc022	Alosa
106efedb8cf1ec2908a3ff6e26968645	Alosa
107bee938c7ea1d869e8c0a348c8ed4d	Alosa
10868aed1aa00b43b72a62c1beb73c93	Alosa
114658c4f492004b6905f914a0efa3cf	Alosa
131a730f07556698e7069d34b629cc2b	Alosa
137b5265e744e4f4ee3a3ca0a9801550	Alosa
13eeab58072199b3a62fb2822d17c6fe	Alosa
1438584cf02140eb4456d159dea758f4	Alosa
150b617b8d9dc4fd647cad350e9f6bec	Alosa
15d3ab185ca9171af7b098175f7e9dca	Alosa
16f463b55f70e5238476b3940b1a41ad	Alosa
172a7d9071d5e8be4f889be952639501	Alosa
1793ac7908033f273469653f4e7bf2a0	Alosa
179b2cc619dd8ce3c8445482f3a78826	Alosa
17e59639faee832058caee5a4d27e460	Alosa
182a8a52273d1dc23cfed0b993f33e1f	Alosa
1899ab879e6bde906863a1ed2452d56b	Alosa
18a834a47d87d272fbe1297b56600536	Alosa
190d5832b24f51fa0f5e81d7d9a0d177	Alosa
19ca115361851cf80e433bdb10b1b1c9	Alosa
19e1b00b09a2c5545f2760b1c168e805	Alosa
1aa396d6887f004e514a1cf0501e3e5b	Alosa
1aef633aff1974e55ef98fa8043f105b	Alosa
1b907f9eca1f1d6379fe6179d32ff1f9	Alosa
1c0c3d1d235cd51a12fdd28374e5ddb1	Alosa
1cde6197ac6eaba68c6a123357b8464e	Alosa
1d0204b0eb5107ea460ed350b4a94cf7	Alosa
1d6f27585b07b0f2081a5bf4fba4583c	Alosa
1dfaa70cc34a4b7ede0cf1b6fdbc73b3	Alosa
1e5fcee8793c94100bded0d0047c4087	Alosa
1e758fe6494bd6e5a69619fb7b735dcc	Alosa
1e7dd0802619a0de1b2e4b54edbc1e5e	Alosa
1ee88e2efe083f792e0e23932f068c36	Alosa
1f10349c92a471e7342afa3f7763a016	Alosa
20594853339bde288f329b39c19e460f	Alosa
209124b44d3db19727ddb2351fc817c5	Alosa
213c4ba215da25ce48a1537ea133725c	Alosa
218db400bad66f34f1f2a7a50c8ae325	Alosa
21f780431b827684ca91773e3c6eab79	Alosa
2279c310f9e11ada971677d4cc9fe356	Alosa
239b8d1930e6aea8527621bf3af7eda9	Alosa
24f62dc143173b48475ec57ac4866338	Alosa
2599bdb8c4491f1dac7a5e65df686781	Alosa
263a7b98c0614182347669774335fe5b	Alosa
26fd0caa9ade101cf18ddcaf64c1ecdc	Alosa
27f6b4593d098b822f786dd8b7dbaef3	Alosa
288b50043d71453e1ae14a4de6d1a833	Alosa
28b915ead0eb0ee42fe4476c8b51f5ff	Alosa
292b232f63709edcf583bc6072600cf3	Alosa
2930952566a64b3fcc543a4c721993b2	Alosa
29e17945e865e8ae86281f867b70d84c	Alosa
2a06a2020d81bbcbe4d323388a07807c	Alosa
2a192f0be2403c1ef62e60e5ecfdcf7c	Alosa
2a8316c6a82232693ea995fd5f14897a	Alosa
2b2bed8b5c8727dbc9d030d9a4d4ef0b	Alosa
2b4f5d6e0576a80c94e815f90db16df4	Alosa
2ca62aaf5266763938fe053347b134aa	Alosa
2cc6b07c48ba90a1454a337186c2f684	Alosa
2db4d4b75bab0cfe5642b84b9f4e7c76	Alosa
2df3680604de3200c800ae7e5417d7ad	Alosa
2e2d4004b75ce166dd72074d077c1f20	Alosa
2f05d5b4846b683a8e5bbfd21e1c1419	Alosa
2f3bdf57f4bad68b49d1ff244126f3f6	Alosa
30f166b9455934c24a67d805a808b91a	Alosa
31d46828e4a71e134d68470ba22bca6e	Alosa
32369f19db14983120d103edbd45d890	Alosa
32699a08414cad1ea2117e97b6636df4	Alosa
32d241cc1028662eeeb4d746b99c49b7	Alosa
32fb8070c4c4284952310a6088488d47	Alosa
336ca14b233ec002689e8a1d8d140fc7	Alosa
341b02536cac987286d014a482d1a94f	Alosa
3483f7a9d21b001f29ebc83684b5e785	Alosa
34b2e133924ff152e1db8fa741d01d8a	Alosa
34c892a9009be1877f2336df15510417	Alosa
353fb1dc8b6ce4f920f47a3c250a15e1	Alosa
3542265857f74c875fb1a493a66152b1	Alosa
3597ab97038c1301bdbad2fc59a5ad7c	Alosa
35ed056d9067c9ab6506719f72c1d2a9	Alosa
378349e6741e112cb31eee8a2b6e0717	Alosa
37f27916c7910933646551e287389c29	Alosa
38e89f4ebd536f926a6d3861aa1f469d	Alosa
395088f9d7f96fd7394fce4cc91a1019	Alosa
3964e391692f7ff2bb804b1ba5dab6b4	Alosa
39a1cd95698c4aba6808c99e612a5a61	Alosa
3a7748a92ec4994077d9b84cb362cc55	Alosa
3c0bd53c33cb9950961da677d6a7c098	Alosa
3d9a70a29c12d8bafa9e9449901d7b60	Alosa
3fdc382d7f4df7107cbf9e452563dffd	Alosa
403c63d1fdf2a3ee49ffe9747293aa16	Alosa
411466fa1cff3d1fef7e39516825a20b	Alosa
4132eee6bf6209cb5068d70a11466908	Alosa
415e4c58cf5d9808413cc452974d156d	Alosa
41b9703e5adff01081a79eacae83b3dc	Alosa
4200d4e12ab0e7c48c6827ff2a85b33b	Alosa
421c138d1e4ef972d38f42be3ce12122	Alosa
42fde61ecd55cf32284e339bd4528790	Alosa
4398a8b103eb0e3db592c536e9bdeb6c	Alosa
44c4d4898b9ad8d0d7b5d79c047b62ff	Alosa
45a19e0fdffe85d700486d7751a8b58d	Alosa
460ab51afa2c04879e7c410845b91987	Alosa
47dc8215a3543946f9e1009497857cab	Alosa
4824465e2198e4a46a2fbf93dfb83699	Alosa
48ae9b7a61c175cb617d08f2e58017fd	Alosa
49df8ae8da13881589d76cc12a47fc4b	Alosa
4a0e49d1e2ec58b4c3779719d196a723	Alosa
4a4bac8dfd9179fccc16456043f3adf2	Alosa
4b2059f21de21b61b90747309f9c8d32	Alosa
4ba08dcd86fdedccc512c84953b2352a	Alosa
4bc3954f481bdd1b41c82c51141367c0	Alosa
4c8068d4e4aea3fa65182adb1780217e	Alosa
4d84513cd9fa20ab59858d2d3d2a5814	Alosa
4dafbcff135b252536c783fb41ab36ec	Alosa
4f6bf62af02ec5211ba98a4288b3af4d	Alosa
5074d71a6d093e529af665099b72a82f	Alosa
508a1022a43af716b8a706330f4a830e	Alosa
50b559aac84196898abfd8078a8e9126	Alosa
51a8ff082a6035e3f7fb80c1815daa97	Alosa
534e186dd442efe41369a59dcfff2274	Alosa
536e23b080710670bead8d7e447fce11	Alosa
5478f092bb63bfdb53af6d99678ad1e1	Alosa
55898dc1e54b9503b9f5841cd6213d13	Alosa
5628a1bb25e25702b75af520c2450c70	Alosa
564f5e02e4841ccba676211c8a9fe176	Alosa
56815f88e912ba7b35218cb363c3604d	Alosa
56846f1ad5ed92007a34ce66661dba05	Alosa
576bd450ddb8ce283e6329166c77ce6d	Alosa
57ab94ebee5585b37e11f56d634fa769	Alosa
587e065d767e042a520ac2f5c95d7ca7	Alosa
59a9aab3ce597641481b2359761828d4	Alosa
59d5e5456a8aee8423d66a3e422de195	Alosa
5a7783c847304564e78f42bc0b5eef42	Alosa
5b0553bcb2094c6f105e39b6a6bea011	Alosa
5c779a4dca1e437428212584d59de3a4	Alosa
5cc9823cd640925f042e6401b8168ddd	Alosa
5d0d22e623d90aa78757e90969e57170	Alosa
5d0ffa6b06c4fd74b59d44c3830c38d1	Alosa
5d1b1dc460382ed4a5c15dad191b80bc	Alosa
5d589eab7375a5337e0ee2abc71f5c72	Alosa
5db6239ef4150109e80e2b99d711c418	Alosa
5dce0ef2773b0208cff1f0674cd53a9d	Alosa
5ddb85ce9f66594439ce2f3c2c4f6dec	Alosa
5e2c1f73cbb273615c3bcb9cfb3d0b67	Alosa
5f416f289995e88c625dfb287968006a	Alosa
5f6a99ed2ef282684d436e1448f9a01d	Alosa
5f8cf4dcb994e0707cdd9a4e6a433674	Alosa
602d1848fc1e7981edb12186285a213c	Alosa
6073c9625e36ad941deac71ea81962fd	Alosa
6141cd6488bb1c3c1be3c25d95afcfa8	Alosa
61b62b989f659f6c5ee363dc42970ca5	Alosa
62b2a24c46f67ad1b27ce34e96be3ccd	Alosa
62cc95865dd4e638f6c033cd1a54f766	Alosa
62d88c973ec78566f97784305cef8c75	Alosa
6338db418af5b97cad73d878b4fe67c3	Alosa
635cb9be69ae3c297279c7c6730422f5	Alosa
63a4157b7b312da49d20a96544d3bc83	Alosa
64f8784d74e50f69513296d076fcf0f1	Alosa
64feb61b1834866e323cef876e3c6b78	Alosa
64ff36122cb26d326864edbf348a9ef4	Alosa
654181b0444ca88b182ae52e259a3cdb	Alosa
664bf4c24ac8efccc72a0061c940cd81	Alosa
681c4ec2c2348afca53adb6124ef48b7	Alosa
685c5c0b089fe18f441ba5b8ec70cef2	Alosa
68d9182a4abf20287feeff0e2e8946bf	Alosa
68f6dfcf3180dbd9bfea61481eb6d04b	Alosa
6a57dfdbf89e3ea1b5aa92ce158cc0bd	Alosa
6a6ecae324c7dd1d7ba8d17c1a343c3d	Alosa
6a7c096f562fe32d6e1a9d89aff0e8a9	Alosa
6b32af9abe7d5fc53870e90d5a5c1079	Alosa
6b41cd4d41db7f5e365416910c8d145d	Alosa
6bcf5fef6f713e3c59fac6c9d1499604	Alosa
6c8ac95b4ed90a67afb95ad7083fb64e	Alosa
6ce67ffb1c4c78da1d052db72ba1e3d1	Alosa
6cfc389f1c285cea645fb9de5fa38841	Alosa
6d07c873b41aa2f5135aa6a03a757348	Alosa
6d4e77060149eac6610eabf4403b0c4e	Alosa
6ec2dca530602ec5db3094195b72e074	Alosa
6ec98979a33aa0cd7fc46b6195db0b41	Alosa
6fc36f525b8584a0d8b4096394e7cbbe	Alosa
6ffb73108f5a51487b2149ab1c4e0832	Alosa
701813a3dafb89edc9578f3b809262e2	Alosa
703c944ba9a99c104cc1abde2385432d	Alosa
70a1138682757872555195c15b9d284e	Alosa
70fe60bc30b92c41dc72f5fe12166ea6	Alosa
712746802bf412fc1bd33a27f5ecb94b	Alosa
715ec504c55a65610c89826189516090	Alosa
71b2232b79ade1991f10c9dd2d4f3b7c	Alosa
71b86e0bb082d8a564923edb4720ac33	Alosa
720fa5efdaf18a42d0568a542cab93df	Alosa
7280a3e39031f3a48e0b98f0e82f8e59	Alosa
74273cb1afcd8cbfb29c783f255585b8	Alosa
750ad02dd9032532c3b94908cb637cc0	Alosa
75d3da6b129915ed1e386651ec3d1e60	Alosa
766d910f79bba3bb0bd05e765ee28ec3	Alosa
767cb5ddcf9ababe1998843e859561a5	Alosa
76afbb4dd8b353c4d061f02f5f153abb	Alosa
77a13bcfabb7283a6540c616e581c68e	Alosa
77d2b68ed334ea0dac59c59eb15fd2e2	Alosa
77da05c5291acdf3482273677c8c34d8	Alosa
781205ffa0854e12c2e4aff6391e96e4	Alosa
78898e7d88b7aef4afe700ca58ecc3de	Alosa
7985d3f850b55f741ea0afa202e81714	Alosa
7aa06b958dcec10544198bd31908d1cd	Alosa
7b60fc6ccbafc46c0c0192b486e946ea	Alosa
7bcad35cccb772e743a7ed14054faa7c	Alosa
7c95bfdb0f4489ebf1bc7f0382af9cfd	Alosa
7d6908325419644a01d2abec8e5fcbe9	Alosa
7d9512ecfb24755ea7db112fa29c2b3c	Alosa
7e2714f5250822cbf37e0bd5abef6df2	Alosa
7f3d105633f00ef655b03de27fa78ab1	Alosa
7f52d3ad5525d196268280b75fc629e7	Alosa
7fa29dff9ace90eaca5b1e84a9d71cdf	Alosa
7fff2352d7be98b8df1371ea9ef361eb	Alosa
802590b1d9d2efc083f6ae1c228d8783	Alosa
807083384ad620f9358554ed61ae14fc	Alosa
807103fa539332887e1bdd929c8453e0	Alosa
808e0503054a832e9f166bca8d0fcb18	Alosa
80f28b01cb3cc4a1bfcae5aaed3e6371	Alosa
80fc3ea5e7a3a277fe706c02dfee698d	Alosa
810afff22a0e57bb9b75b15d710a3fd2	Alosa
81b48936d3509d40f5f9780eb2b1f5c5	Alosa
8221da91191b7c8b0528967ed3ed2e36	Alosa
829b20a9006de202c57f3fc9bd125306	Alosa
83550f94804fecd0a61c23057e681c95	Alosa
8363ea2e36b191994a62e406059f3983	Alosa
8386a8d9126174e3cfcbfed7a284c927	Alosa
847a5bfeb2604eb28ec2056704f101f6	Alosa
849e83d8df020ba8302e35d9f4edc053	Alosa
854a5474a2dc21ec301cb8060b44a9b7	Alosa
857145fbc2f3da9ff7efa02121ed1bff	Alosa
85f941299e7a4e1aea209799d234adc8	Alosa
86174f28a49f2cf85018d774b1fea83c	Alosa
874d6b92e7ec36acdda08639fdef3601	Alosa
876ff3305812736ad0e4d1c35ee744e2	Alosa
882256edac8e9224c6fc33f637cfdfb8	Alosa
88801c04e4768a662832eb33a08abc03	Alosa
89b2e8f12efb4e70ee49cf06eec13ff0	Alosa
8a144f9ee45bbd2f5c171ec304fd0586	Alosa
8bc6bd26382c01668fb9d36020c88f36	Alosa
8c6215d75adf506ef8482f66e753987a	Alosa
8cc822f866a2725e64aba456bbcf5cde	Alosa
8d586614787c5188a0afdb93588bf191	Alosa
8deb8b64ab05ddb90d57945be9f7d975	Alosa
8f0b486ebf5da5f28af4b76cd85e22cd	Alosa
8f5d82bf5379266341cc18d63f8d97c3	Alosa
915940c11d35da34a6253c364fcfe92d	Alosa
91edf8c918cede37273e273c73a49cd9	Alosa
9206862e9ce601769d0b31499b1ea623	Alosa
920f061a4e54e982ebce54fe0514669c	Alosa
92ff4629e0680a655497a071a0017476	Alosa
93872383a732376e48ef8047021b44eb	Alosa
941425731dfb24a47d15e2df05167ca4	Alosa
9523311aaee3de6128c9f99816b9dd6d	Alosa
961be6e1a8a4aba9e7237f0f964f20fd	Alosa
96c82c97479d9fab2458a25b4d54ff72	Alosa
97279593efcc0d9b78e27893ef99ba76	Alosa
9748ff2f1a0761b24caacffedca62e17	Alosa
9874e3713ff0477b1902128f7bda33f1	Alosa
9a33fb1e1660b24317e606f8636e5ee1	Alosa
9a69a755debaa92b053edefe44f0caf2	Alosa
9c18081d73c2ed83017c73f9d219f113	Alosa
9c7d041d425851cc9aef1ea89105489c	Alosa
9d57b8aa68d03de5a5c731f82e193669	Alosa
9dd30b2cec1b43e596e15381d7787d2a	Alosa
9f6a49fb17fbcdb956c6001f9ea909ed	Alosa
a00ccec97c418d663e59a4f8b7d5dd42	Alosa
a09bd8d2a087641b54ff6fcfc8a18944	Alosa
a14e5bb9def3cb900506d0037406522e	Alosa
a266090591e1e580c3c5b21c5fbd728d	Alosa
a2a2578ba1e62f3001f6e863f1e1d1ee	Alosa
a2f0d54289e4cc614f3aa11b05e04903	Alosa
a34c5e63230c7375a4551168c8cc38d9	Alosa
a3fb9213ed65f39c037671b392946c83	Alosa
a40d4a6fda2323b52cfb8ae6db8b6359	Alosa
a42d34d610321be33454794f85ce9a86	Alosa
a448e0004b64f1ce7c5abc5c8fd95d1a	Alosa
a4a65ddfcbc86edb5a8f7227f2b47015	Alosa
a4d0ecec682079e97c13b0ed21bfdfc8	Alosa
a52c7810fe3d177bb1a51fd3231f2533	Alosa
a569dd0f86f9deb32ce94c9089bfb066	Alosa
a5f765bd8c3727fe618748c815587847	Alosa
a62e428da6abacd67010e2156c835463	Alosa
a65587c8857f30e39ea242ab01d579e7	Alosa
a72832cb369cc74ad7f74a59c04866e7	Alosa
a7ea4ff20a8f26a0f8edee19c133ee46	Alosa
a84ce3e5e3ba5d7b2caec8c7dfd9b1c0	Alosa
a8720191625458fc3b05831d4a326f7b	Alosa
a8f76d102649d792657ac98f96372c0f	Alosa
a9b60172fe6db55cb52a4e0ad3897520	Alosa
a9d8b6b897949cdfce51761159b344cd	Alosa
aa1c91dfb7cf2225d87e5445f88bbfc0	Alosa
aaefe7e23761efc0c6fdf608913662ec	Alosa
ab33814cffe903adc53f999ebfde9087	Alosa
ab9f43a5d452baedc5cc536263cfb40d	Alosa
abf2521c21d2aafd8f1edca166d32fc2	Alosa
ac0720a29985c16e61dfa20e990fb639	Alosa
ac299e5e86735f12502ab12287e27329	Alosa
ac73ff1bb944b9fa3e0ca5c1d504f570	Alosa
ac80cbf4a38688fb1f05418f1b6a5d0b	Alosa
accf3bbe45847a979214c438b76f7765	Alosa
ace987f8f2af4d50cc87a72a494de850	Alosa
acec1ce3ce68a4bfb6cc0eb9b89e4f2d	Alosa
ad7acb6f36f84a34af74fe159fa800bf	Alosa
adffe89cac9682845c4d5103b1917461	Alosa
ae90024aabe1cceaa6de0662ed49420f	Alosa
af8c92f13c47fcd64c05ad935a9f7883	Alosa
b07ae39c33aee82761ad4850465b950e	Alosa
b0c5f02b388b0967c4624d133ca2ef9e	Alosa
b114741c6817a3cc380edc53087323f1	Alosa
b1f7c8ae27c185389eb0658db5cd78d7	Alosa
b2bd94a5a4359fc30f2953ccb8059d6b	Alosa
b3ab21cc2f00f5dc63b1e1d502bfe78e	Alosa
b3b09b69e8e1b65e374777309681fa55	Alosa
b3e5df77cc766feab6abdf8ceeeb667b	Alosa
b6408dcaaff54911a43b4148e7bf44d3	Alosa
b7b89605e143c18a5b93f3f9e669880f	Alosa
b7dfc5a75d61a11fe8f244c276c97bb8	Alosa
baad66c41a65405e058ab157d187085f	Alosa
bb6b3784994f4de6f6ccd231281cfe05	Alosa
bbbbbbbddb3bc4edac0017e4e7b79de1	Alosa
bc22867a8f7de2f8a42548d27d00a43f	Alosa
bc4cfe441ad050c4b7649247c790365c	Alosa
bc943e88280586f66098b7b1c464672a	Alosa
bea8b27164c336a3eb8dcb232908e241	Alosa
bec395905fceae16293184929f8cdf9b	Alosa
bface46486ef5ae8330f9fbd3ab0313e	Alosa
c070c20dbedeb565d5d74bfc340e2bd9	Alosa
c0ad158d68bcbb3746e110c57478d164	Alosa
