"","Taxon","CommonName","2A01S2","2A12S3","2B02S1","2B02S2","2B03B1","2B03B2","2B03S1","2B03S2","301B1","301S2","302S1","303S2","M01S1","M01S2","M01S3","M02S1","M04S1","M04S2","M04S3","M06S3","M07S1","M07S2","M08B1","M08S2","M08S3","M11S1","M11S2","M11S3","M15S1","M15S2","M15S3","M16S3","M19S1","M19S2","M19S3","M20B1","M20B2","M20B3","M22S1","M22S2","M24S2","M26S2","M28S2","M30B1","M30B2","M30S1","M32B3","M32S2","M32S3","Keep"
"1","Fundulus heteroclitus","Mummichog",375665,0,0,0,0,0,0,0,0,2280996,0,0,611659,1086910,557783,0,0,0,1598724,475048,1882917,1355204,1448099,858450,1678274,859333,984539,2496816,444333,2320091,0,1926492,702513,0,1612099,0,0,0,550281,0,0,0,0,0,1712,0,0,0,0,"Yes"
"2","Enchelyopus cimbrius","Fourbeard rockling",1340404,0,11432627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"3","Osmeridae","Smelt (Osmeridae)",43857,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165435,0,0,0,0,0,0,0,0,0,"Yes"
"4","Gaidropsaridae","Rocklings (Gaidropsaridae)",1881,0,65520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"5","Pleuronectidae","Flounders (Pleuronectidae)",6,8,39,0,6,0,0,0,14,0,0,0,4,7,0,10,3,6,5,0,0,0,0,4,0,4,7,7,7,0,6,5,38613,0,5,0,0,7,0,0,0,0,0,0,5,0,9,8,8,"Yes"
"6","Brevoortia","Menhaden (Brevoortia)",0,3315944,155,0,3429079,2122181,0,1092587,0,0,4095807,0,0,0,352618,0,0,0,0,1012591,0,0,0,0,0,0,0,0,1246097,0,0,0,0,56537,0,376669,0,0,0,0,0,1898943,769867,0,0,0,0,0,2340017,"Yes"
"7","Brevoortia tyrannus","Atlantic menhaden",0,55,0,0,175,21,0,9,0,0,204,0,0,0,108,0,0,0,0,30,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,52,16,0,0,0,0,0,235,"Yes"
"8","Clupea harengus","Atlantic herring",0,8,0,1777395,0,0,0,0,3213033,0,0,92951,0,0,0,0,0,0,0,0,0,0,0,1490239,0,0,0,0,4,0,0,0,0,0,0,0,1558613,0,582920,0,3249051,0,0,1198993,0,0,0,0,265101,"Yes"
"9","Sebastes","Rockfish (Sebastes)",0,0,11,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,"Yes"
"10","Scomber scombrus","Atlantic mackerel",0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Yes"
"11","Ammodytidae","Sand lance",0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Yes"
"12","Hemitripterus americanus","Sea raven",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"13","Lycodes","Wolffish (Lycodes)",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"14","Alosa","Shad (Alosa)",0,0,0,1767253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338223,0,627390,0,0,0,0,0,674686,0,0,0,"Yes"
"15","Merluccius bilinearis","Silver hake",0,0,0,0,0,0,1687699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384392,0,0,0,0,0,0,0,0,0,"Yes"
"16","Menidia menidia","Atlantic silverside",0,0,0,0,0,0,0,0,0,0,0,0,766785,267256,0,396018,141563,1549384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504386,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"17","Perca flavescens","Yellow perch",0,0,0,0,0,0,0,0,0,0,0,0,0,430925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"18","Gadidae","Cods (Gadidae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315166,693663,0,0,0,0,0,0,0,954388,1078678,487878,0,331730,0,2050856,0,0,767622,1216932,0,0,0,0,0,0,0,0,0,1184028,0,0,0,0,"Yes"
"19","Anguilla","Eels (Anguilla)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793528,0,995736,0,0,0,0,0,0,0,0,660714,0,0,0,1078961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"20","Semotilus corporalis","Fallfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"21","Microgadus tomcod","Tomcod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,295,0,0,0,0,0,0,0,31,36,225,0,4,0,42,0,0,14,29,0,0,0,0,0,0,0,0,0,15,0,0,0,0,"Yes"
"22","Phocoena phocoena","Habour porpoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4433,0,0,0,0,0,0,28358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"23","Anguilla rostrata","American eel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"24","Pseudopleuronectes","Flounder (winter)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"25","Squalus","Dogfish (Squalus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10923,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"26","Phocidae","Seal (Phocidae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"27","Clupeidae","Herrings (Clupeidae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,"Yes"
"28","Urophycis","Hakes (Urophysic)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2583789,0,0,"Yes"
"29","Urophycis chuss","Red hake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,"Yes"
"30","Gadiformes","Cods (Gadiformes)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"Yes"
