	2A01S2	2A12B3	2A12S2	2A12S3	2B01S2	2B02S1	2B02S2	2B03B1	2B03B2	2B03B3	2B03S1	2B03S2	301B1	301S1	301S2	301S3	302S1	303S2	M01S1	M01S2	M01S3	M02S1	M04S1	M04S2	M04S3	M06S2	M06S3	M07S1	M07S2	M08B1	M08S2	M08S3	M11S1	M11S2	M11S3	M15S1	M15S2	M15S3	M16S3	M19S1	M19S2	M19S3	M20B1	M20B2	M20B3	M22S1	M22S2	M24S1	M24S2	M26S1	M26S2	M28S1	M28S2	M28S3	M30B1	M30B2	M30B3	M30S1	M30S2	M32B1	M32B3	M32S2	M32S3	PCR_blank_002
2A01S2	0.0	1.0	0.968	1.0	1.0	0.322	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.794	1.0	1.0	1.0	0.7926666666666666	0.7946666666666666	0.7913333333333333	1.0	1.0	1.0	0.7906666666666666	1.0	0.798	0.766	0.7946666666666666	0.7913333333333333	0.7973333333333333	0.796	0.796	0.796	0.7926666666666666	0.798	0.792	1.0	0.792	0.7966666666666666	1.0	0.7913333333333333	1.0	1.0	1.0	0.794	0.974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9566666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.33866666666666667
2A12B3	1.0	0.0	0.8726666666666667	1.0	0.9973333333333333	1.0	1.0	0.9766666666666667	0.9766666666666667	0.9833333333333333	1.0	0.9766666666666667	0.9966666666666667	0.974	1.0	0.936	0.9766666666666667	1.0	1.0	1.0	0.9766666666666667	1.0	1.0	1.0	1.0	0.9986666666666667	0.9766666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9766666666666667	1.0	1.0	1.0	1.0	1.0	0.9986666666666667	0.9766666666666667	1.0	1.0	1.0	1.0	1.0	1.0	0.992	1.0	0.9986666666666667	0.9766666666666667	1.0	1.0	1.0	0.9826666666666667	1.0	1.0	1.0	1.0	1.0	0.9766666666666667	0.9986666666666667
2A12S2	0.968	0.8726666666666667	0.0	1.0	0.49533333333333335	0.968	1.0	1.0	1.0	0.9833333333333333	0.9873333333333333	1.0	0.9933333333333333	0.9813333333333333	1.0	0.982	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.5006666666666667	1.0	0.998	1.0	1.0	1.0	1.0	0.9573333333333334	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	0.998	1.0	0.8933333333333333	1.0	1.0	0.9826666666666667	1.0	1.0	0.996	1.0	0.49733333333333335	0.9973333333333333	0.47	1.0	0.4746666666666667	1.0	0.5013333333333333	0.986	0.9846666666666667	0.798	0.9846666666666667	1.0	0.4786666666666667	0.9906666666666667	1.0	1.0	0.968
2A12S3	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9433333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.188	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2B01S2	1.0	0.9973333333333333	0.49533333333333335	1.0	0.0	1.0	1.0	1.0	1.0	0.9973333333333333	0.9866666666666667	1.0	0.996	0.9973333333333333	1.0	0.9913333333333333	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.30933333333333335	1.0	0.998	1.0	1.0	1.0	1.0	0.9553333333333334	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	0.998	1.0	0.8913333333333333	1.0	1.0	0.982	1.0	1.0	0.996	1.0	0.16266666666666665	0.992	0.134	1.0	0.10866666666666666	1.0	0.348	0.986	0.9846666666666667	0.828	0.9846666666666667	0.9946666666666667	0.41133333333333333	0.9906666666666667	1.0	1.0	1.0
2B02S1	0.322	1.0	0.968	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.068
2B02S2	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.5113333333333333	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7373333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5173333333333333	1.0	0.558	1.0	1.0	0.64	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9053333333333333	1.0
2B03B1	1.0	0.9766666666666667	1.0	1.0	1.0	1.0	1.0	0.0	0.278	1.0	1.0	0.152	1.0	1.0	1.0	1.0	0.104	1.0	1.0	1.0	0.6246666666666667	1.0	1.0	1.0	1.0	1.0	0.43066666666666664	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.43733333333333335	1.0	1.0	1.0	1.0	1.0	1.0	0.10466666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.15133333333333332	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.158	0.9986666666666667
2B03B2	1.0	0.9766666666666667	1.0	1.0	1.0	1.0	1.0	0.278	0.0	1.0	1.0	0.2693333333333333	1.0	1.0	1.0	1.0	0.2753333333333333	1.0	1.0	1.0	0.6246666666666667	1.0	1.0	1.0	1.0	1.0	0.43666666666666665	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.432	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	0.272	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2753333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2866666666666667	0.9986666666666667
2B03B3	1.0	0.9833333333333333	0.9833333333333333	1.0	0.9973333333333333	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9986666666666667	0.9833333333333333	1.0	0.88	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.988	1.0	0.9926666666666667	1.0	0.9973333333333333	1.0	0.998	1.0	1.0	0.9553333333333334	1.0	0.9953333333333333	1.0	1.0	1.0	1.0	1.0
