Station,Date,Time,Sounding,Target Depth,Replicate,CastID,SampleID,SmithRootID,Lat,Long,Volume (l),sample volume,Pres,Notes
Zone_2B_2,9/12/2023,11:20:00,7.9,Surface,1,NA,424001,246,45 08.6088,66 15.7687,3.39,1.13,Self,made up a numbering system to match the PERLEY
Zone_2B_2,9/12/2023,11:20:00,7.9,Surface,2,NA,424002,246,45 08.6088,66 15.7687,3.39,1.13,Self,Samples in triplicate
Zone_2B_2,9/12/2023,11:20:00,9,Surface,3,NA,424003,246,45 08.6088,66 15.7687,3.39,1.13,Self,
Zone_2B_3,9/12/2023,11:35:00,11,Surface,1,NA,424004,247,45 08.5064,66 15.6083,3.47,1.156666667,Self,
Zone_2B_3,9/12/2023,11:35:00,11,Surface,2,NA,424005,247,45 08.5064,66 15.6083,3.47,1.156666667,Self,
Zone_2B_3,9/12/2023,11:35:00,11,Surface,3,NA,424006,247,45 08.5064,66 15.6083,3.47,1.156666667,Self,
Zone_2B_1,9/12/2023,11:47:00,13.7,Surface,1,NA,424007,248,45 08.4395,66 15.4798,3.36,1.12,Self,
Zone_2B_1,9/12/2023,11:47:00,13.7,Surface,2,NA,424008,248,45 08.4395,66 15.4798,3.36,1.12,Self,
Zone_2B_1,9/12/2023,11:47:00,13.7,Surface,3,NA,424009,248,45 08.4395,66 15.4798,3.36,1.12,Self,
Zone_3_1,9/12/2023,11:57:00,16.7,Surface,1,NA,424010,249,45 08.3203,66 15.4274,3.35,1.116666667,Self,
Zone_3_1,9/12/2023,11:57:00,16.7,Surface,2,NA,424011,249,45 08.3203,66 15.4274,3.35,1.116666667,Self,
Zone_3_1,9/12/2023,11:57:00,16.7,Surface,3,NA,424012,249,45 08.3203,66 15.4274,3.35,1.116666667,Self,
Zone_3_4,9/12/2023,12:13:00,15.8,Surface,1,NA,424013,250,45 08.4115,66 15.2976,3.36,1.12,Self,Previous 3 samples had the smithrootID off by 20 and the samples are labled as such. 426 vs 446
Zone_3_4,9/12/2023,12:13:00,15.8,Surface,2,NA,424014,250,45 08.4115,66 15.2976,3.36,1.12,Self,
Zone_3_4,9/12/2023,12:13:00,15.8,Surface,3,NA,424015,250,45 08.4115,66 15.2976,3.36,1.12,Self,
Zone_3-3,9/12/2023,12:27:00,17.2,Surface,1,NA,424016,251,45 08.519,66 15.0288,3.39,1.13,Self,
