sample-id	Sample_Type	Latitude	Longitude	Water Depth	Temperature	Specific Conductivity	Salinity	Turbidity	Chlorophyll	Year	Sample_type	Zone
#q2:types	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical	categorical
Musq_19	sea water	45.19013	-66.263253	9.3	14.37	47950	31.25	5.7	0.6	2024	surface	Zone_1
Musq_21	sea water	45.18383	-66.253374	13.1	14.28	48132	31.38	5.5	0.6	2024	surface	Zone_2A
Musq_23	sea water	45.177612	-66.243265	4.4	14	48883.51	31.47	0	0	2024	surface	Zone_2A
Musq_25	sea water	45.168732	-66.241461	7	13.81	48756	31.82	1.2	0.5	2024	surface	Zone_2A
Musq_27	sea water	45.161278	-66.248696	5.6	14.09	48781	31.85	0.3	0.3	2024	surface	Zone_2A
Musq_29	sea water	45.152131	-66.247381	7.8	13.76	48936	31.95	-0.1	0.4	2024	surface	Zone_2A
Musq_31	sea water	45.142614	-66.244492	14.7	13.98	49208.96	31.7	0	0	2024	surface	Zone_3
Zone_2B_1	sea water	45.141307	-66.257929	13.7	13.62	48995	31.99	0.7	0.3	2024	surface	Zone_2B
Zone_2B_2	sea water	45.143468	-66.261792	7.9	13.69	48950	31.96	0.3	0.3	2024	surface	Zone_2B
Zone_2B_3	sea water	45.141627	-66.259212	11	13.54	48974	31.97	0.1	0.3	2024	surface	Zone_2B
Zone_3_1	sea water	45.138543	-66.256033	16.7	13.39	49047	32.02	2	0.4	2024	surface	Zone_3
Zone_3_3	sea water	45.142036	-66.250255	17.2	13.51	49011	32	1	0.4	2024	surface	Zone_3
Zone_3_2	sea water	45.145291	-66.22339	20.1	13.45	49029	32.01	1.5	0.4	2024	surface	Zone_3
Zone_2A_12	sea water	45.153586	-66.235223	6.7	14.615	48504	31.665	8.15	0.6	2024	surface	Zone_2A
Zone_2A_10	sea water	45.154126	-66.25406	6.6	14.58	48540	31.69	2.4	0.5	2024	surface	Zone_2A
Zone_2A_1	sea water	45.157967	-66.257295	5.4	14.65	48468	31.64	13.9	0.7	2024	surface	Zone_2A
Musq_01	sea water	45.191883	-66.32003	4.7	17.82	27503	16.95	27.2	0.8	2024	surface	Zone_1
Musq_03	sea water	45.186437	-66.323194	4.9	17.47	36479	23.12	24.6	0.7	2024	surface	Zone_1
Musq_05	sea water	45.178728	-66.316173	5.7	16.84	40114	25.67	27.8	0.9	2024	surface	Zone_1
Musq_07	sea water	45.171344	-66.307403	6.8	15.9	43682	28.21	23.2	0.8	2024	surface	Zone_1
Musq_09	sea water	45.17424	-66.30081	6.1	15.52	45273	29.34	18.3	0.9	2024	surface	Zone_1
Musq_11	sea water	45.17988	-66.294873	5.7	15.22	46583	30.28	30.3	0.7	2024	surface	Zone_1
Musq_13	sea water	45.186585	-66.292287	6.3	16.19	41131.42857	30.79	25.44285714	0.8	2024	surface	Zone_1
Musq_15	sea water	45.186581	-66.282167	5.7	14.65	48006	31.3	27.6	0.9	2024	surface	Zone_1
Musq_17	sea water	45.193826	-66.275886	5.7	14.56	48286	31.5	26.7	0.8	2024	surface	Zone_1
