# Constructed from biom file
#OTU ID	Musq_19	Musq_21	Musq_23	Musq_25	Musq_27	Musq_29	Musq_31	Zone_2B_1	Zone_2B_2	Zone_2B_3	Zone_3_1	Zone_3_3	Zone_3_2	Zone_2A_12	Zone_2A_10	Zone_2A_1	Musq_01	Musq_03	Musq_05	Musq_07	Musq_09	Musq_11	Musq_13	Musq_15	Musq_17
k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Osmerus;s__Osmerus mordax (rainbow smelt)	1290.0	18654.0	34546.0	16116.0	14418.0	18.0	5.0	26830.0	4377.0	8997.0	21.0	6388.0	8517.0	6853.0	31.0	5792.0	4237.0	20.0	14.0	17282.0	4639.0	12103.0	9420.0	4781.0	11934.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod)	302617.0	97633.0	46577.0	269.0	4004.0	250.0	4067.0	439.0	213.0	8458.0	125.0	376.0	13683.0	7577.0	34096.0	6740.0	55887.0	83229.0	184859.0	89133.0	129710.0	112017.0	123967.0	222530.0	211588.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia tyrannus (Atlantic menhaden)	17734.0	52664.0	112551.0	30956.0	29368.0	37293.0	18314.0	88288.0	79521.0	55790.0	29922.0	113453.0	96593.0	105.0	71461.0	29944.0	10370.0	171465.0	29489.0	59558.0	121408.0	25158.0	34617.0	8551.0	5747.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Myoxocephalus;s__Myoxocephalus thompsonii (deepwater sculpin)	2918.0	7.0	0.0	0.0	10014.0	0.0	0.0	0.0	0.0	0.0	8643.0	14843.0	0.0	0.0	0.0	10.0	0.0	11.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__Clupea harengus (Atlantic herring)	19.0	7036.0	1474.0	14032.0	26014.0	33845.0	39804.0	6317.0	3055.0	8607.0	33916.0	60452.0	8263.0	4007.0	17946.0	8.0	7.0	35.0	48.0	8.0	0.0	8.0	4937.0	1556.0	2715.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__Fundulus heteroclitus (mummichog)	32631.0	27948.0	10030.0	279.0	6796.0	240.0	7372.0	215.0	136.0	5900.0	79.0	270.0	14937.0	85.0	38231.0	210122.0	139178.0	94861.0	116228.0	100504.0	103698.0	80841.0	74531.0	94943.0	175241.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Alosa;s__Alosa aestivalis (blueback shad)	13285.0	42330.0	57913.0	73286.0	20424.0	40193.0	11889.0	6874.0	3972.0	10483.0	0.0	15717.0	3366.0	16504.0	47889.0	43524.0	34.0	86.0	5882.0	9028.0	7006.0	23335.0	17541.0	23946.0	4287.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Pholidae;g__Pholis;s__Pholis gunnellus (rock gunnel)	21.0	14.0	5.0	15628.0	0.0	6805.0	0.0	18.0	33985.0	29525.0	10228.0	15170.0	0.0	6133.0	0.0	41.0	9.0	17.0	22.0	0.0	17.0	13.0	12.0	12.0	20.0
k__Metazoa;p__Chordata;c__Actinopteri;o__unclassified Actinopteri order;f__Moronidae;g__Morone;s__Morone saxatilis (striped sea-bass)	0.0	2273.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4533.0	2947.0	4.0	7549.0	9560.0	0.0	23496.0	4483.0	1494.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinopsidae;g__Menidia;s__Menidia menidia (Atlantic silverside)	51062.0	38747.0	63586.0	19622.0	5320.0	75.0	15.0	3972.0	52.0	6541.0	45.0	66.0	60790.0	12.0	40114.0	99782.0	3535.0	18756.0	13553.0	20465.0	40659.0	37486.0	45018.0	12830.0	35356.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cryptacanthodidae;g__Cryptacanthodes;s__Cryptacanthodes maculatus (wrymouth)	18.0	0.0	21823.0	0.0	10614.0	0.0	0.0	4.0	12970.0	0.0	5980.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7543.0	0.0	12.0	0.0	7.0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Rajiformes;f__Rajidae;g__Leucoraja;s__Leucoraja erinaceus (little skate)	2794.0	0.0	0.0	3766.0	0.0	0.0	3203.0	0.0	4175.0	0.0	0.0	11531.0	2858.0	0.0	0.0	0.0	0.0	0.0	2.0	898.0	0.0	2592.0	0.0	4.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Leuciscidae;g__Semotilus;s__Semotilus atromaculatus (creek chub)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3559.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Tautogolabrus;s__Tautogolabrus adspersus (cunner)	123.0	0.0	31.0	0.0	0.0	4.0	0.0	89756.0	16162.0	650.0	14.0	15999.0	8.0	0.0	0.0	30.0	12.0	5.0	18.0	0.0	0.0	0.0	16.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Pseudopleuronectes;s__Pseudopleuronectes americanus (winter flounder)	15.0	28437.0	11466.0	29.0	7.0	7588.0	9177.0	15.0	15.0	6.0	16.0	7070.0	20441.0	18281.0	26.0	3224.0	12.0	15.0	0.0	0.0	16.0	12.0	8684.0	7019.0	15134.0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Rajiformes;f__Rajidae;g__Leucoraja;s__Leucoraja ocellata (winter skate)	0.0	0.0	20.0	22.0	0.0	83631.0	0.0	28.0	0.0	0.0	0.0	0.0	22.0	0.0	21.0	0.0	0.0	23.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0
