Station,Date,Time,Sounding,Target Depth,Replicate,CastID,SampleID,SmithRootID,Lat,Long,Volume (l),sample volume,Pres,GPS Waypoint,Notes
MUSQ21,Sept10,12:03:00,9.4,Surface,1,NA,925001,509,45.184102,66.253713,3.05,1.016666667,Self,MUSQ-21-2025,Saw porpoises on the way in
MUSQ21,Sept10,12:03:00,9.4,Surface,2,NA,925002,509,45.184102,66.253713,3.05,1.016666667,Self,MUSQ-21-2025,"Some castaway issues, cast taken near station at 12:15"
MUSQ21,Sept10,12:03:00,9.4,Surface,3,NA,925003,509,45.184102,66.253713,3.05,1.016666667,Self,MUSQ-21-2025,Did a few extra casts
MUSQ19,Sept10,12:34:00,9.6,Surface,1,NA,925004,510,45.19023,66.263293,3.31,1.103333333,Self,MUSQ-19-2025,
MUSQ19,Sept10,12:34:00,9.6,Surface,2,NA,925005,510,45.19023,66.263293,3.31,1.103333333,Self,MUSQ-19-2025,
MUSQ19,Sept10,12:34:00,9.6,Surface,3,NA,925006,510,45.19023,66.263293,3.31,1.103333333,Self,MUSQ-19-2025,
MUSQ17,Sept10,12:50:00,5,Surface,1,NA,925007,511,45.1903169,66.2746,3.33,1.11,Self,MUSQ-17-2025,
MUSQ17,Sept10,12:50:00,5,Surface,2,NA,925008,511,45.1903169,66.2746,3.33,1.11,Self,MUSQ-17-2025,
MUSQ17,Sept10,12:50:00,5,Surface,3,NA,925009,511,45.1903169,66.2746,3.33,1.11,Self,MUSQ-17-2025,
MUSQ15,Sept10,13:04:00,3.5,Surface,1,NA,925010,512,45.186367,66.283292,3.17,1.056666667,Self,MUSQ-15-2025,
MUSQ15,Sept10,13:04:00,3.5,Surface,2,NA,925011,512,45.186367,66.283292,3.17,1.056666667,Self,MUSQ-15-2025,
MUSQ15,Sept10,13:04:00,3.5,Surface,3,NA,925012,512,45.186367,66.283292,3.17,1.056666667,Self,MUSQ-15-2025,
MUSQ13,Sept10,13:14:00,5.6,Surface,1,NA,925013,513,45.186448,66.294795,3.08,1.026666667,Self,MUSQ-13-2025,
MUSQ13,Sept10,13:14:00,5.6,Surface,2,NA,925014,513,45.186448,66.294795,3.08,1.026666667,Self,MUSQ-13-2025,
MUSQ13,Sept10,13:14:00,5.6,Surface,3,NA,925015,513,45.186448,66.294795,3.08,1.026666667,Self,MUSQ-13-2025,
MUSQ11,Sept10,13:29:00,3.8,Surface,1,NA,925016,514,45.179358,66.294568,3.05,1.016666667,Self,MUSQ-11-2025,
MUSQ11,Sept10,13:29:00,3.8,Surface,2,NA,925017,514,45.179358,66.294568,3.05,1.016666667,Self,MUSQ-11-2025,
MUSQ11,Sept10,13:29:00,3.8,Surface,3,NA,925018,514,45.179358,66.294568,3.05,1.016666667,Self,MUSQ-11-2025,
MUSQ09,Sept10,13:43:00,7.7,Surface,1,NA,925019,515,45.174165,66.300678,2.97,0.99,Self,MUSQ-09-2025,
MUSQ09,Sept10,13:43:00,7.7,Surface,2,NA,925020,515,45.174165,66.300678,2.97,0.99,Self,MUSQ-09-2025,
MUSQ09,Sept10,13:43:00,7.7,Surface,3,NA,925021,515,45.174165,66.300678,2.97,0.99,Self,MUSQ-09-2025,
MUSQ07,Sept10,13:52:00,5,Surface,1,NA,925022,516,45.171696,66.30789,2.94,0.98,Self,MUSQ-07-2025,
MUSQ07,Sept10,13:52:00,5,Surface,2,NA,925023,516,45.171696,66.30789,2.94,0.98,Self,MUSQ-07-2025,
MUSQ07,Sept10,13:52:00,5,Surface,3,NA,925024,516,45.171696,66.30789,2.94,0.98,Self,MUSQ-07-2025,
MUSQ05,Sept10,14:02:00,5.5,Surface,1,NA,925025,517,45.179045,66.315786,3.05,1.016666667,Self,MUSQ-05-2025,
MUSQ05,Sept10,14:02:00,5.5,Surface,2,NA,925026,517,45.179045,66.315786,3.05,1.016666667,Self,MUSQ-05-2025,
MUSQ05,Sept10,14:02:00,5.5,Surface,3,NA,925027,517,45.179045,66.315786,3.05,1.016666667,Self,MUSQ-05-2025,
