Fish_2022,Fish_2023,Fish_2024,Fish_2025,Inverts_2023,Inverts_2024,Inverts_2025,,,,
Ammodytes americanus,Alosa aestivalis,Alopias vulpinus,Alosa fallax,  Acartia hudsonica                 , Aetideus armatus                 , Amphiura joubini                 ,,,,
Ammodytes dubius,Alosa pseudoharengus,Amblyraja radiata,Alosa pseudoharengus,  Ammodytes dubius                  , Amphitrite cirrata               , Benthosema glaciale              ,,,,
Clupea harengus,Amblyraja radiata,Anarhichas denticulatus,Amblyraja radiata,  Amphitrite cirrata                , Asterocheres lilljeborgi         , Botrynema brucei                 ,,,,
Lumpenus lampretaeformis,Ammodytes americanus,Balaenoptera acutorostrata,Ammodytes americanus,  Artacama proboscidea              , Aurelia aurita                   , Brada villosa CMC01              ,,,,
Myoxocephalus scorpius,Ammodytes dubius,Cetorhinus maximus,Ammodytes dubius,  Aurelia aurita                    , Calanus finmarchicus             , Calanus finmarchicus             ,,,,
Pholis gunnellus,Anarhichas denticulatus,Clupea harengus,Anarhichas denticulatus,  Calanus finmarchicus              , Centropages hamatus              , Catablema vesicarium             ,,,,
Scomber scombrus,Anisarchus medius,Cyclothone microdon,Argentina silus,  Calanus glacialis                 , Chaetozone setosa                , Chlamys islandica                ,,,,
Sebastes fasciatus,Artediellus atlanticus,Delphinus delphis,Auxis rochei,  Calanus marshallae                , Chlamys islandica                , Clymenella zonalis               ,,,,
Sebastes viviparus,Artediellus uncinatus,Gadus morhua,Balaenoptera musculus,  Catablema vesicarium              , Clausocalanus lividus            , Coryphella verrucosa             ,,,,
Tautogolabrus adspersus,Aspidophoroides monopterygius,Globicephala melas,Cetorhinus maximus,  Centropages hamatus               , Clymenella zonalis               , Ctenodiscus crispatus            ,,,,
,Balaenoptera acutorostrata,Glyptocephalus zachirus,Clupea harengus,  Chlamys islandica                 , Crella elegans                   , Cyrtodaria siliqua               ,,,,
,Balaenoptera musculus,Hemitripterus americanus,Coryphaenoides armatus,  Clymenella zonalis                , Dendrobeania murrayana           , Dendrobeania murrayana           ,,,,
,Balaenoptera physalus,Hippoglossoides platessoides,Cottunculus thomsonii,  Coryphella orjani                 , Dorvillea kastjani               , Echinarachnius parma             ,,,,
,Carcharodon carcharias,Hyperoodon ampullatus,Delphinus delphis,  Crella elegans                    , Doto coronata                    , Ectyonopsis pluridentata         ,,,,
,Catostomus commersonii,Lagenorhynchus acutus,Dipturus laevis,  Dendrobeania murrayana            , Echinarachnius parma             , Eudendrium rameum                ,,,,
,Cetorhinus maximus,Lamna nasus,Enchelyopus cimbrius,  Dorvillea kastjani                , Ectyonopsis pluridentata         , Flabelligera affinis CMC01       ,,,,
,Clupea harengus,Leucoraja erinacea,Eumesogrammus praecisus,  Echinarachnius parma              , Evadne nordmanni                 , Gersemia rubiformis              ,,,,
,Delphinus delphis,Lycodes lavalaei,Eumicrotremus spinosus,  Ectyonopsis pluridentata          , Glycera capitata                 , Halocynthia pyriformis           ,,,,
,Enchelyopus cimbrius,Malacoraja kreffti,Gadus morhua,  Enchelyopus cimbrius              , Gorgonocephalus arcticus         , Kurtiella bidentata              ,,,,
,Eubalaena glacialis,Megaptera novaeangliae,Glyptocephalus cynoglossus,  Evadne nordmanni                  , Halichondria panicea             , Lafoea dumosa                    ,,,,
,Eumesogrammus praecisus,Melanogrammus aeglefinus,Gymnelus viridis,  Gorgonocephalus arcticus          , Halocynthia pyriformis           , Laonice cirrata                  ,,,,
,Gadus morhua,Merluccius bilinearis,Gymnocanthus tricuspis,  Halichondria panicea              , Kurtiella bidentata              , Leptasterias polaris             ,,,,
,Globicephala melas,Paraplagusia japonica,Hemitripterus americanus,  Halocynthia pyriformis            , Lanassa venusta                  , Macoma calcarea                  ,,,,
,Glyptocephalus zachirus,Phocoena phocoena,Hippoglossoides platessoides,  Lafoea dumosa                     , Laonice cirrata                  , Metridium senile                 ,,,,
,Gymnocanthus tricuspis,Tursiops truncatus,Hippoglossus hippoglossus,  Lanassa venusta                   , Leptasterias littoralis          , Micromonas pusilla               ,,,,
,Hemitripterus americanus,Zoarces americanus,Lagenorhynchus albirostris,  Laona quadrata                    , Leptasterias polaris             , Modiolus modiolus                ,,,,
,Hippoglossoides platessoides,,Leptoclinus maculatus,  Leptasterias littoralis           , Lithothamnion glaciale           , Neoamphitrite affinis            ,,,,
,Isurus oxyrinchus,,Leucoraja erinacea,  Leptasterias polaris              , Lizzia blondina                  , Nicolea zostericola              ,,,,
,Lagenorhynchus acutus,,Liparis fabricii,  Lithothamnion glaciale            , Lysippe labiata                  , Obelia geniculata                ,,,,
,Lamna nasus,,Liparis gibbus,  Lysippe labiata                   , Meganyctiphanes norvegica        , Oithona similis                  ,,,,
,Leptoclinus maculatus,,Lophius americanus,  Macoma calcarea                   , Melinna heterodonta              , Ophelina acuminata CMC01         ,,,,
,Liparis liparis,,Lumpenus lampretaeformis,  Meganyctiphanes norvegica         , Merluccius bilinearis            , Ophiopholis aculeata             ,,,,
,Lophius americanus,,Lycodes lavalaei,  Melinna heterodonta               , Metridia lucens                  , Ophiura sarsii                   ,,,,
,Lumpenus lampretaeformis,,Lycodes terraenovae,  Metridia lucens                   , Micromonas pusilla               , Orthopyxis integra               ,,,,
,Malacoraja kreffti,,Lycodes vahlii,  Micromonas pusilla                , Molpadia intermedia              , Pantachogon haeckeli             ,,,,
,Mallotus villosus,,Mallotus villosus,  Micrura varicolor                 , Nicomache minor                  , Pentamera calcigera              ,,,,
,Megaptera novaeangliae,,Melanogrammus aeglefinus,  Nicomache lumbricalis             , Nothria conchylega CMC02         , Phacellophora camtschatica       ,,,,
,Merluccius bilinearis,,Merluccius bilinearis,  Nicomache minor                   , Obelia geniculata                , Phocoena phocoena                ,,,,
,Microstomus kitt,,Mesoplodon bidens,  Ninoe nigripes                    , Oithona similis                  , Proclea malmgreni                ,,,,
,Myoxocephalus octodecemspinosus,,Myoxocephalus octodecemspinosus,  Obelia geniculata                 , Ophelina acuminata CMC01         , Pseudocalanus moultoni           ,,,,
